Unnamed: 0,Name,Nachname Vorname,Nachname,Vorname,Geburtsdatum
4000,"Heldt, E",Heldt E,Heldt,E,.
4001,"Helena, Dilia",Helena Dilia,Helena,Dilia,.
4002,Helene,Helene ,Helene,,.
4003,"Helene, Marie",Helene Marie,Helene,Marie,.
4004,"Helfenstein, Lothar",Helfenstein Lothar,Helfenstein,Lothar,.
4005,"Helfenstein, Ludwig",Helfenstein Ludwig,Helfenstein,Ludwig,.
4006,"Helix, Hedera",Helix Hedera,Helix,Hedera,.
4007,"Hell, Camillo",Hell Camillo,Hell,Camillo,.
4008,"Hellberg, Adalbert vom",Hellberg Adalbert,Hellberg,Adalbert,.
4009,"Helldorf, Jlse von",Helldorf Jlse,Helldorf,Jlse,23. März 1662
4010,"Helle, Friedrich Wilhelm",Helle Friedrich Wilhelm,Helle,Friedrich Wilhelm,28. Oktober 1834
4011,"Hellen, C. von",Hellen C.,Hellen,C.,.
4012,"Heller, Ernst",Heller Ernst,Heller,Ernst,9. Mai 1856
4013,"Heller, Heinrich Ferdinand",Heller Heinrich Ferdinand,Heller,Heinrich Ferdinand,29. Septbr. 1859
4014,"Heller, Heinrich Justus",Heller Heinrich Justus,Heller,Heinrich Justus,11. Novbr. 1812
4015,"Heller, Ottilie",Heller Ottilie,Heller,Ottilie,7. August 1849
4016,"Heller, Jsidor",Heller Jsidor,Heller,Jsidor,5. Mai1816
4017,"Heller, Leo",Heller Leo,Heller,Leo,18. März1876
4018,"Heller, Leopold",Heller Leopold,Heller,Leopold,10. Juli1853
4019,"Heller, Wilhelm Robert",Heller Wilhelm Robert,Heller,Wilhelm Robert,24.Novbr. 1812
4020,"Heller, Seligmann",Heller Seligmann,Heller,Seligmann,8.Juli 1831
4021,"Heller, Wilhelm",Heller Wilhelm,Heller,Wilhelm,12. Jan.1880
4022,"Hellinden, Martin",Hellinden Martin,Hellinden,Martin,.
4023,"Helling, Karl",Helling Karl,Helling,Karl,18. Dezbr.1877
4024,"Helling, Viktor",Helling Viktor,Helling,Viktor,.
4025,"Hellmann, Arnold",Hellmann Arnold,Hellmann,Arnold,30.Oktbr. 1870
4026,Hellmuth,Hellmuth ,Hellmuth,,.
4027,"Hellmuth, Ernst",Hellmuth Ernst,Hellmuth,Ernst,.
4028,"Hellmuth, Maria",Hellmuth Maria,Hellmuth,Maria,.
4029,"Hellmuth, Martha",Hellmuth Martha,Hellmuth,Martha,.
4030,"Helm, Clementine",Helm Clementine,Helm,Clementine,.
4031,"Helm, Feodor",Helm Feodor,Helm,Feodor,.
4032,"Helm, Friedrich",Helm Friedrich,Helm,Friedrich,.
4033,"Helm, Georg",Helm Georg,Helm,Georg,.
4034,"Helmer, Eduard",Helmer Eduard,Helmer,Eduard,.
4035,"Helmerding, Karl",Helmerding Karl,Helmerding,Karl,20. Dezbr. 1899
4036,"Helmers, Heinrich",Helmers Heinrich,Helmers,Heinrich,1. Dezbr. 1847
4037,"Helveticus, Th",Helveticus Th,Helveticus,Th,.
4038,"Hempel, Arno",Hempel Arno,Hempel,Arno,10. Oktober1843
4039,"Hempel, Max",Hempel Max,Hempel,Max,14. Juni 1863
4040,"Hempel, Thekla",Hempel Thekla,Hempel,Thekla,4. Juli1840
4041,"Hempfing, Karl Friedrich",Hempfing Karl Friedrich,Hempfing,Karl Friedrich,.
4042,"Hemsen, Theodor",Hemsen Theodor,Hemsen,Theodor,3.Juni 1826
4043,"Henckell, Karl Friedrich",Henckell Karl Friedrich,Henckell,Karl Friedrich,17. April 1864
4044,"Hengsbach, Arno",Hengsbach Arno,Hengsbach,Arno, Oktober1897
4045,"Henke, Theodor",Henke Theodor,Henke,Theodor,.
4046,"Henkel, Franz",Henkel Franz,Henkel,Franz,Juli 1894
4047,"Henkel, Friederike",Henkel Friederike,Henkel,Friederike,25.Dezbr. 1826
4048,"Henle, Elise",Henle Elise,Henle,Elise,.
4049,"Henne am Rhyn, Otto",Henne am Rhyn Otto,Henne am Rhyn,Otto,26.August 1828
4050,"Hennig, Albert",Hennig Albert,Hennig,Albert,Dezember 1839
4051,"Hennig, Alfred",Hennig Alfred,Hennig,Alfred,30. Juli1868
4052,"Hennig, Richard",Hennig Richard,Hennig,Richard,12. Jan. 1874
4053,"Henning, Karl",Henning Karl,Henning,Karl,14. Febr.1860
4054,"Henning, Ludwig Friedrich",Henning Ludwig Friedrich,Henning,Ludwig Friedrich,2. Jan. 1812
4055,"Henninger, Aloys",Henninger Aloys,Henninger,Aloys,30. Juni 1862
4056,"Henningsen, Hans Jürgen",Henningsen Hans Jürgen,Henningsen,Hans Jürgen,.
4057,"Hennrich, Johann",Hennrich Johann,Hennrich,Johann,.
4058,"Henop, Philipp",Henop Philipp,Henop,Philipp,16. Mai1822
4059,"Henoumont, Edmund",Henoumont Edmund,Henoumont,Edmund,.
4060,"Henri, Clemens",Henri Clemens,Henri,Clemens,.
4061,"Henrich, Albertine",Henrich Albertine,Henrich,Albertine,.
4062,"Henrich, Hedwig",Henrich Hedwig,Henrich,Hedwig,.
4063,"Henrici, Karl Ernst Julius",Henrici Karl Ernst Julius,Henrici,Karl Ernst Julius,10. Dezember 1854
4064,Henricus vom See,Henricus vom See ,Henricus vom See,,.
4065,"Henrion, Poly",Henrion Poly,Henrion,Poly,.
4066,"Henschel, Anna",Henschel Anna,Henschel,Anna,26. Jan. 1844
4067,"Henschke, Otto",Henschke Otto,Henschke,Otto,24. April1852
4068,"Henschke, Ulrike",Henschke Ulrike,Henschke,Ulrike,24. Novbr. 1830
4069,"Hensel, Wilhelmine",Hensel Wilhelmine,Hensel,Wilhelmine, Septbr. 1802
4070,"Henze, Wilhelm",Henze Wilhelm,Henze,Wilhelm,.
4071,"Henzen, Karl Georg Wilhelm",Henzen Karl Georg Wilhelm,Henzen,Karl Georg Wilhelm,30. Nov. 1850
4072,"Hepding, Johann Konrad",Hepding Johann Konrad,Hepding,Johann Konrad,1. Septbr. 1820
4073,"Hepp, Karl",Hepp Karl,Hepp,Karl,.
4074,"Herault (von Hautcharmoy), Ange von",Herault (von Hautcharmoy) Ange von,Herault (von Hautcharmoy),Ange von,30. Juli 1872
4075,"Herbart, August",Herbart August,Herbart,August,.
4076,"Herbeck, Joseph",Herbeck Joseph,Herbeck,Joseph,20.Novbr. 1854
4077,"Herberich, Joseph",Herberich Joseph,Herberich,Joseph,17.Novbr. 1875
4078,"Herbers, Gottfried",Herbers Gottfried,Herbers,Gottfried,25.Febr. 1863
4079,"Herbert, Johanna",Herbert Johanna,Herbert,Johanna,12.März 1891
4080,"Herbert, Lucian",Herbert Lucian,Herbert,Lucian,.
4081,"Herbert, M",Herbert M,Herbert,M,.
4082,"Herbert, M. G",Herbert M. G,Herbert,M. G,.
4083,"Herbst, Paula",Herbst Paula,Herbst,Paula,5. April 1818
4084,"Herchenbach, Wilhelm",Herchenbach Wilhelm,Herchenbach,Wilhelm,13. Novbr. 1818
4085,"Hercher, Wolfgang",Hercher Wolfgang,Hercher,Wolfgang,.
4086,"Herder, Natalie von",Herder Natalie,Herder,Natalie,30. Mai1802
4087,"Herdlicka, Theodor",Herdlicka Theodor,Herdlicka,Theodor,3. Juli 1904
4088,"Herff-Schacht, Rosa von",Herff-Schacht Rosa,Herff-Schacht,Rosa,6. Septbr. 1830
4089,"Herfurth, Bruno",Herfurth Bruno,Herfurth,Bruno,25.Juni 1884
4090,Herimann aus der Zelle,Herimann aus der Zelle ,Herimann aus der Zelle,,.
