Unnamed: 0,Name,Nachname Vorname,Nachname,Vorname,Geburtsdatum
7000,"Moser, Gustav von",Moser Gustav,Moser,Gustav,11. Mai 1825
7001,"Moser, Otto",Moser Otto,Moser,Otto,17. Novbr.1816
7002,"Moser, Peter",Moser Peter,Moser,Peter,5. Mai 1821
7003,"Möser, Georg Friedrich Albert",Möser Georg Friedrich Albert,Möser,Georg Friedrich Albert,7. Mai 1835
7004,"Moshammer, Joseph Alois",Moshammer Joseph Alois,Moshammer,Joseph Alois,7. Febr. 1800
7005,"Mosing, Guido Konrad",Mosing Guido Konrad,Mosing,Guido Konrad,18. Mai 1898
7006,"Moske, Johannes",Moske Johannes,Moske,Johannes,15. Oktober 1871
7007,"Moszkowski, Alexander",Moszkowski Alexander,Moszkowski,Alexander,15. Jan. 1851
7008,"Motz, Paulus",Motz Paulus,Motz,Paulus,29. Septbr.1817
7009,"Motzkau, Julius Hermann",Motzkau Julius Hermann,Motzkau,Julius Hermann,12. Nov. 1839
7010,"Moy de Sons, Karl Graf",Moy de Sons Karl,Moy de Sons,Karl,22.Juli 1827
7011,"Mrazovič, Milena",Mrazovič Milena,Mrazovič,Milena,.
7012,"Much, Hans",Much Hans,Much,Hans,24. März1880
7013,"Muckenschnabel, Karl",Muckenschnabel Karl,Muckenschnabel,Karl,17. Nov. 1865
7014,"Müffelmann, Hedwig",Müffelmann Hedwig,Müffelmann,Hedwig,9. März 1855
7015,"Mügge, Ernst Alexander",Mügge Ernst Alexander,Mügge,Ernst Alexander,28. Dezbr. 1855
7016,"Mügge, Theodor",Mügge Theodor,Mügge,Theodor,8.Novbr. 1806
7017,"Muggli, Hans",Muggli Hans,Muggli,Hans,.
7018,"Mühl, Gustav",Mühl Gustav,Mühl,Gustav,7. Mai1819
7019,"Mühlau, Helene von",Mühlau Helene,Mühlau,Helene,.
7020,"Mühlbach, Luise",Mühlbach Luise,Mühlbach,Luise,.
7021,"Mühle, W. von der",Mühle W.,Mühle,W.,.
7022,"Mühlenbach, Mathilde von",Mühlenbach Mathilde,Mühlenbach,Mathilde,.
7023,"Mühlenfels, Elfriede von",Mühlenfels Elfriede,Mühlenfels,Elfriede,12. Januar 1884
7024,"Mühlenfels, Hedwig von",Mühlenfels Hedwig,Mühlenfels,Hedwig,7. Aug. 1874
7025,"Mühler, Heinrich von",Mühler Heinrich,Mühler,Heinrich,4. November 1813
7026,"Mühlfeld, Julius",Mühlfeld Julius,Mühlfeld,Julius,.
7027,"Mühlfeld, Louis",Mühlfeld Louis,Mühlfeld,Louis,.
7028,"Mühsam, Erich",Mühsam Erich,Mühsam,Erich,.
7029,"Mulde, Wilhelm von der",Mulde Wilhelm,Mulde,Wilhelm,.
7030,"Müldener, Johann August",Müldener Johann August,Müldener,Johann August,2. Juni 1829
7031,"Muellenbach, Ernst",Muellenbach Ernst,Muellenbach,Ernst,3. März 1862
7032,"Müllendorff, Eugen",Müllendorff Eugen,Müllendorff,Eugen,3. Juli 1855
7033,"Müllenhoff, Emma",Müllenhoff Emma,Müllenhoff,Emma,22. Septbr.1871
7034,"Müller, Adolf",Müller Adolf,Müller,Adolf,16. Juli 1818
7035,"Müller, Adolf",Müller Adolf,Müller,Adolf,16.Januar 1821
7036,"Müller, Adolf",Müller Adolf,Müller,Adolf,.
7037,"Müller, Alphonse",Müller Alphonse,Müller,Alphonse,.
7038,"Müller, Anton",Müller Anton,Müller,Anton,.
7039,"Müller, Karl Arthur",Müller Karl Arthur,Müller,Karl Arthur,10. April 1873
7040,"Müller, Johann August Karl",Müller Johann August Karl,Müller,Johann August Karl,12. Dezbr. 1838
7041,"Müller, Benedikt",Müller Benedikt,Müller,Benedikt,10.Dezbr. 1829
7042,"Müller, Betty",Müller Betty,Müller,Betty, März 1890
7043,"Müller, C. C. E",Müller C. C. E,Müller,C. C. E,7. Juli1856
7044,"Müller, Christiana",Müller Christiana,Müller,Christiana,.
7045,"Müller, Karl Friedrich Curt",Müller Karl Friedrich Curt,Müller,Karl Friedrich Curt,16. März 1865
7046,"Müller, David Heinrich",Müller David Heinrich,Müller,David Heinrich,4. Oktbr. 1800
7047,"Müller, Eduard Joseph",Müller Eduard Joseph,Müller,Eduard Joseph,17. März 1851
7048,"Müller, Eduard",Müller Eduard,Müller,Eduard, Novbr. 1804
7049,"Müller, Elisabeth",Müller Elisabeth,Müller,Elisabeth,6. März 1898
7050,"Müller, Emil",Müller Emil,Müller,Emil,.
7051,"Müller, Ernst",Müller Ernst,Müller,Ernst,.
7052,"Müller, Ewald",Müller Ewald,Müller,Ewald,21. Jan.1862
7053,"Müller, Friedrich Jakob",Müller Friedrich Jakob,Müller,Friedrich Jakob,13. Oktober 1829
7054,"Müller, Fritz",Müller Fritz,Müller,Fritz,.
7055,"Müller, Gustav Adolf",Müller Gustav Adolf,Müller,Gustav Adolf,24. Mai 1866
7056,"Müller, Hans",Müller Hans,Müller,Hans,.
7057,"Müller, Hans",Müller Hans,Müller,Hans,.
7058,"Müller, Hedwig",Müller Hedwig,Müller,Hedwig,.
7059,"Müller, Hans Emil Felix",Müller Hans Emil Felix,Müller,Hans Emil Felix,18. Septbr. 1854
7060,"Müller, Hermann",Müller Hermann,Müller,Hermann,.
7061,"Müller, Christian Friedrich Hermann",Müller Christian Friedrich Hermann,Müller,Christian Friedrich Hermann,18. Juni 1834
7062,"Müller, Hermann Alexander",Müller Hermann Alexander,Müller,Hermann Alexander,14. Febr. 1814
7063,"Müller, Herbert Ludwig",Müller Herbert Ludwig,Müller,Herbert Ludwig,.März 1879
7064,"Müller, Hubert",Müller Hubert,Müller,Hubert,27. März1859
7065,"Müller, Hugo",Müller Hugo,Müller,Hugo,30. Oktbr.1831
7066,"Müller, Johann",Müller Johann,Müller,Johann,17. März1830
7067,"Müller, Johann Joseph",Müller Johann Joseph,Müller,Johann Joseph,19. März 1815
7068,"Müller, Johann Baptist",Müller Johann Baptist,Müller,Johann Baptist, Juli 1818
7069,"Müller, Johann Georg",Müller Johann Georg,Müller,Johann Georg,15. September 1822
7070,"Müller, Joseph",Müller Joseph,Müller,Joseph,12. Novbr.1802
7071,"Müller, Joseph",Müller Joseph,Müller,Joseph,14. Juli1855
7072,"Müller, Jsidor",Müller Jsidor,Müller,Jsidor,Septbr. 1900
7073,"Müller, Julius",Müller Julius,Müller,Julius,.
7074,"Müller, Karl",Müller Karl,Müller,Karl,28. Novbr. 1889
7075,"Müller, Karl",Müller Karl,Müller,Karl,16. Juli 1825
7076,"Müller, (auch: MüllerJahnke), Klara",Müller Klara,Müller,Klara,.
7077,"Müller, Ludwig Johann",Müller Ludwig Johann,Müller,Ludwig Johann,.
7078,"Müller, Ludwig",Müller Ludwig,Müller,Ludwig,.
7079,"Müller, Martin",Müller Martin,Müller,Martin,.
7080,"Müller, Mathilde",Müller Mathilde,Müller,Mathilde,.
7081,"Müller, Moritz Wilhelm Gotthard",Müller Moritz Wilhelm Gotthard,Müller,Moritz Wilhelm Gotthard,30. Novbr. 1806
7082,"Müller, Niklas",Müller Niklas,Müller,Niklas, Nov.1809
7083,"Müller, Otto",Müller Otto,Müller,Otto,1. Juni1816
7084,"Müller, Richard",Müller Richard,Müller,Richard,17. Juli 1861
7085,"Müller, Richard",Müller Richard,Müller,Richard,1. Juni1864
7086,"Müller, Robert",Müller Robert,Müller,Robert,.
7087,"Müller, Robert",Müller Robert,Müller,Robert,.
7088,"Müller, Rudolf",Müller Rudolf,Müller,Rudolf, Juli1809
7089,"Müller, Theodor",Müller Theodor,Müller,Theodor,29.März 1852
7090,"Müller, Valeria von",Müller Valeria von,Müller,Valeria von,28. März1826
7091,"Müller, Venanz",Müller Venanz,Müller,Venanz,22.März 1831
7092,"Müller (seit 1908: MüllerEberhart), Waldemar",Müller Waldemar,Müller,Waldemar,18. Oktbr. 1890
7093,"Müller, Walter",Müller Walter,Müller,Walter,9. Juni 1875
7094,"Müller, Wilhelm",Müller Wilhelm,Müller,Wilhelm,.
7095,"Müller, Wilibald",Müller Wilibald,Müller,Wilibald,9. März1845
7096,"Müller-Amorbach, Wilhelm",Müller-Amorbach Wilhelm,Müller-Amorbach,Wilhelm,22. Oktbr. 1843
7097,"Müller-Baden, Emanuel",Müller-Baden Emanuel,Müller-Baden,Emanuel,27. März 1867
7098,"Müller-Bertelmann, (früher: Müller-Jrminger), Hans",Müller-Bertelmann Hans,Müller-Bertelmann,Hans,27. März 1872
7099,"Müller-Bohn, Hermann",Müller-Bohn Hermann,Müller-Bohn,Hermann,6. August 1855
7100,Müller-Cassala,Müller-Cassala ,Müller-Cassala,,.
7101,"Müller von Davenport, A",Müller von Davenport A,Müller von Davenport,A,.
7102,"Müller-Eberhart, W",Müller-Eberhart W,Müller-Eberhart,W,.
7103,"Müller-Grählert, Martha",Müller-Grählert Martha,Müller-Grählert,Martha,.
7104,"Müller-Guttenbrunn, Adam",Müller-Guttenbrunn Adam,Müller-Guttenbrunn,Adam, März 1896
7105,"Müller-Herfurth, Jean Baptist Karl",Müller-Herfurth Jean Baptist Karl,Müller-Herfurth,Jean Baptist Karl,4. Dezbr. 1860
7106,"Müller-Kassel, Max",Müller-Kassel Max,Müller-Kassel,Max,22. Februar 1863
7107,"Müller-Jrminger, Hans",Müller-Jrminger Hans,Müller-Jrminger,Hans,.
7108,"Müller von Königswinter, Wolfgang",Müller von Königswinter Wolfgang,Müller von Königswinter,Wolfgang,5. März 1816
7109,"Müller v. d. Leppe, Hans",Müller v. d. Leppe Hans,Müller v. d. Leppe,Hans,.
7110,"Müller-Mann, Gustav",Müller-Mann Gustav,Müller-Mann,Gustav,26. April 1868
7111,"Müller-München (früher: Müller-Cassala), Gustav Adolf",Müller-München Gustav Adolf,Müller-München,Gustav Adolf,22. Januar 1872
7112,"Müller-Palm, Adolf",Müller-Palm Adolf,Müller-Palm,Adolf,21. Mai 1904
7113,"Müller-Plattensteiner, Th",Müller-Plattensteiner Th,Müller-Plattensteiner,Th,.
7114,"Müller-Poyritz, Karl Hermann",Müller-Poyritz Karl Hermann,Müller-Poyritz,Karl Hermann,29. März 1875
7115,"Müller-Rastatt, Karl",Müller-Rastatt Karl,Müller-Rastatt,Karl,29. Juli 1861
7116,"Müller-Rüdersdorf, Wilhelm",Müller-Rüdersdorf Wilhelm,Müller-Rüdersdorf,Wilhelm,1. Juli 1886
7117,"Müller-Saalfeld, Ferdinand",Müller-Saalfeld Ferdinand,Müller-Saalfeld,Ferdinand,31. Oktober 1845
7118,"Müller-Suderburg, Heinrich Gottlieb",Müller-Suderburg Heinrich Gottlieb,Müller-Suderburg,Heinrich Gottlieb,30. März 1849
7119,"Müller, Walther",Müller Walther,Müller,Walther,22. März 1877
7120,"Müller-Weilburg, Wilhelm",Müller-Weilburg Wilhelm,Müller-Weilburg,Wilhelm,24. Septbr. 1859
7121,"Müller von der Werra, Friedrich Konrad",Müller von der Werra Friedrich Konrad,Müller von der Werra,Friedrich Konrad,14. Novbr.1823
7122,"Müller-Wunderlich, M",Müller-Wunderlich M,Müller-Wunderlich,M,.
7123,"Müllern, Elisabeth von",Müllern Elisabeth,Müllern,Elisabeth,.
7124,"Münch, Paul Georg",Münch Paul Georg,Münch,Paul Georg,16.Februar 1877
7125,"Münch, Wilhelm",Münch Wilhelm,Münch,Wilhelm,.
