Unnamed: 0,Name,Nachname Vorname,Nachname,Vorname,Geburtsdatum
13000,"Heubner, Rudolf",Heubner Rudolf,Heubner,Rudolf,.
13001,"Hevesi, Ludwig",Hevesi Ludwig,Hevesi,Ludwig,.
13002,"Heyer, Franz",Heyer Franz,Heyer,Franz,.
13003,"Heym, Georg",Heym Georg,Heym,Georg,16. Januar 1912
13004,"Heymann, Robert",Heymann Robert,Heymann,Robert,.
13005,"Heymer, Ludmilla",Heymer Ludmilla,Heymer,Ludmilla,.
13006,"Heyse, Paul",Heyse Paul,Heyse,Paul,.
13007,"Heyßler, Max",Heyßler Max,Heyßler,Max,.
13008,"Hildebrand (-von Renauld), Maximiliana oder Lina",Hildebrand (-von Renauld) Maximiliana oder Lina,Hildebrand (-von Renauld),Maximiliana oder Lina,.
13009,"Hildenbrand, Theodor",Hildenbrand Theodor,Hildenbrand,Theodor,.
13010,"Hill, Anna",Hill Anna,Hill,Anna,13. Novbr. 1912
13011,"Hill, Karl Heinz",Hill Karl Heinz,Hill,Karl Heinz,.
13012,"Hillern, Wilhelmine von",Hillern Wilhelmine,Hillern,Wilhelmine, Oktober 1909
13013,"Hillmann, Franz",Hillmann Franz,Hillmann,Franz,.
13014,"Hillmann, Robert",Hillmann Robert,Hillmann,Robert,.
13015,"Himmelbauer, Franz",Himmelbauer Franz,Himmelbauer,Franz,.
13016,"Hinnius, Anna",Hinnius Anna,Hinnius,Anna,1. Januar1911
13017,"Hinrichsen, Adolf",Hinrichsen Adolf,Hinrichsen,Adolf,.
13018,"Hinrichsen, Otto",Hinrichsen Otto,Hinrichsen,Otto,.
13019,"Hintmann, Friedrich",Hintmann Friedrich,Hintmann,Friedrich,.
13020,"Hirsch, Joseph Julius",Hirsch Joseph Julius,Hirsch,Joseph Julius,26. Januar 1866
13021,"Hirsch, Marie",Hirsch Marie,Hirsch,Marie,17. November 1911
13022,"Hirschberg, Rudolf",Hirschberg Rudolf,Hirschberg,Rudolf,.
13023,"Hirschfeld, Georg",Hirschfeld Georg,Hirschfeld,Georg,.
13024,"Hirschfeld, Hermann",Hirschfeld Hermann,Hirschfeld,Hermann,.
13025,"Hirschfeld, Ludwig",Hirschfeld Ludwig,Hirschfeld,Ludwig,.
13026,"Hladny, Ernst",Hladny Ernst,Hladny,Ernst,1. April1883
13027,"Hobein, Eduard",Hobein Eduard,Hobein,Eduard,.
13028,"Hobrecht, Arthur",Hobrecht Arthur,Hobrecht,Arthur,7. Juli 1912
13029,"Hochdorf, Max",Hochdorf Max,Hochdorf,Max,.
13030,"Hochstetter, Gustav",Hochstetter Gustav,Hochstetter,Gustav,.
13031,"Hoechstetter, Sophie",Hoechstetter Sophie,Hoechstetter,Sophie,.
13032,"Höcker, Gustav",Höcker Gustav,Höcker,Gustav,9. Oktober 1911
13033,"Höcker, Paul Oskar",Höcker Paul Oskar,Höcker,Paul Oskar,.
13034,"Höfer, Jrma von",Höfer Jrma von,Höfer,Jrma von,8. August 1875
13035,"Höfer, Paul",Höfer Paul,Höfer,Paul,.
13036,"Höffer, Else",Höffer Else,Höffer,Else,.
13037,"Hoffmann, Adalbert",Hoffmann Adalbert,Hoffmann,Adalbert,.
13038,"Hoffmann, K. Emil",Hoffmann K. Emil,Hoffmann,K. Emil,.
13039,"Hoffmann, Max",Hoffmann Max,Hoffmann,Max,.
13040,"Hoffmann, Oskar",Hoffmann Oskar,Hoffmann,Oskar,.
