Unnamed: 0,Name,Nachname Vorname,Nachname,Vorname,Geburtsdatum
2022,"Düring-Oetken, Helene von",Düring-Oetken Helene,Düring-Oetken,Helene,19. August 1848
2023,"Düringer, Philipp Jakob",Düringer Philipp Jakob,Düringer,Philipp Jakob,1. Febr. 1841
2024,"Düringsfeld, Jda von",Düringsfeld Jda,Düringsfeld,Jda,23. Juli 1809
2025,"Dürow, Joachim",Dürow Joachim,Dürow,Joachim,25. Oktober 1876
2026,"Duroy-Warnatz, A",Duroy-Warnatz A,Duroy-Warnatz,A,.
2027,"Dusmann, Silvester",Dusmann Silvester,Dusmann,Silvester,.
2028,"Dusch, Wilhelm",Dusch Wilhelm,Dusch,Wilhelm,31. Dezbr. 1843
2029,"Düsterbrock, M",Düsterbrock M,Düsterbrock,M,29. Juni1871
2030,"Düsterhoff, Klara",Düsterhoff Klara,Düsterhoff,Klara,.
2031,"Dutezynski, Alfred Ritter von",Dutezynski Alfred,Dutezynski,Alfred,28.Juli 1847
2032,"Duttenhofer, Friedrich Martin",Duttenhofer Friedrich Martin,Duttenhofer,Friedrich Martin,.
2033,"Dux, Adolf",Dux Adolf,Dux,Adolf,7. Febr. 1810
2034,"Dworaczek, Konrad",Dworaczek Konrad,Dworaczek,Konrad,25. Oktbr. 1822
2035,"Dworaczek, Wilhelm",Dworaczek Wilhelm,Dworaczek,Wilhelm, Novbr.1900
2036,"Dyherrn, George Baron von",Dyherrn George Baron von,Dyherrn,George Baron von,.April 1873
2037,"Dyhrn (Dyherrn), Konrad",Dyhrn (Dyherrn) Konrad,Dyhrn (Dyherrn),Konrad,1. Jan.1848
2038,"Ebart, Paul J. von",Ebart Paul J. von,Ebart,Paul J. von,21. Nov.1803
2039,"Ebel, Eduard",Ebel Eduard,Ebel,Eduard,15. März 1855
2040,"Ebeling, Adolf",Ebeling Adolf,Ebeling,Adolf,7. August1839
2041,"Ebeling, Friedrich Wilhelm",Ebeling Friedrich Wilhelm,Ebeling,Friedrich Wilhelm,24.Oktbr. 1827
2042,"Ebell, Max",Ebell Max,Ebell,Max,15. Januar 1822
2043,"Eben, Karl Theodor",Eben Karl Theodor,Eben,Karl Theodor,16. Juni1869
2044,"Ebenhoch, Alfred",Ebenhoch Alfred,Ebenhoch,Alfred,.
2045,"Ebenspanger, Johannes",Ebenspanger Johannes,Ebenspanger,Johannes,18. Mai1855
2046,"Ebenstein, Erich",Ebenstein Erich,Ebenstein,Erich,3. Mai 1845
2047,Eberhard,Eberhard ,Eberhard,,.
2048,"Eberhardt-Bürck, Adelheid",Eberhardt-Bürck Adelheid,Eberhardt-Bürck,Adelheid,.
2049,"Eberhardt, Max",Eberhardt Max,Eberhardt,Max,23. Juli1836
2050,"Eberhardt, Oskar",Eberhardt Oskar,Eberhardt,Oskar,12.Juni 1843
2051,"Eberhart, Ernst Erik",Eberhart Ernst Erik,Eberhart,Ernst Erik,13. Oktober 1867
2052,"Eberl, Georg",Eberl Georg,Eberl,Georg,.
2053,"Eberl, Heinz",Eberl Heinz,Eberl,Heinz,12. März1851
2054,"Eberlein, Maria",Eberlein Maria,Eberlein,Maria,11. Jan.1890
2055,"Eberlein, Richard",Eberlein Richard,Eberlein,Richard, Oktober1897
2056,"Ebers, Georg Moritz",Ebers Georg Moritz,Ebers,Georg Moritz,9. März 1821
2057,"Ebersberg, Julius Karl",Ebersberg Julius Karl,Ebersberg,Julius Karl,1. März 1837
2058,"Ebersberg, Otto Franz",Ebersberg Otto Franz,Ebersberg,Otto Franz,4. April 1870
2059,"Ebersberger, Karl Justus",Ebersberger Karl Justus,Ebersberger,Karl Justus, November1862
2060,"Ebert, Karl Egon Ritter von",Ebert Karl Egon,Ebert,Karl Egon,29. April 1819
2061,"Ebhardt, Ferdinand von",Ebhardt Ferdinand,Ebhardt,Ferdinand,5. Juni 1801
2062,"Ebhardt, Melanie",Ebhardt Melanie,Ebhardt,Melanie,.
2063,"Ebner, Alois",Ebner Alois,Ebner,Alois,11. April 1879
2064,"Ebner, Theodor",Ebner Theodor,Ebner,Theodor,.
2065,"Ebner von Eschenbach, Marie",Ebner von Eschenbach Marie,Ebner von Eschenbach,Marie,9. Aug.1856
2066,"Ebner-Eschenbach, Moritz Freiherr von",Ebner-Eschenbach Moritz,Ebner-Eschenbach,Moritz,.
2067,"Ebrard, Johann Heinrich August",Ebrard Johann Heinrich August,Ebrard,Johann Heinrich August,27. Nov. 1815
2068,"Echtlitz, Hans von",Echtlitz Hans,Echtlitz,Hans,18. Januar 1818
2069,"Eck, Miriam",Eck Miriam,Eck,Miriam,.
2070,"Eck, Ulla von",Eck Ulla,Eck,Ulla,.
2071,"Eckardt, Guido Heinrich",Eckardt Guido Heinrich,Eckardt,Guido Heinrich,.
2072,"Eckardt, Guido Hermann",Eckardt Guido Hermann,Eckardt,Guido Hermann, Febr. 1843
2073,"Eckardt, Ludwig",Eckardt Ludwig,Eckardt,Ludwig, Septbr. 1873
2074,"Eckardt, Raimund",Eckardt Raimund,Eckardt,Raimund,16.Mai 1827
2075,"Eckardt, Richard",Eckardt Richard,Eckardt,Richard,.
2076,"Eckart, Rudolf Theodor Abraham",Eckart Rudolf Theodor Abraham,Eckart,Rudolf Theodor Abraham,26.Febr. 1862
2077,"Eckart, Joh. Christian Theodor",Eckart Joh. Christian Theodor,Eckart,Joh. Christian Theodor,1. Dezbr. 1861
2078,"Eckelmann, Hermann",Eckelmann Hermann,Eckelmann,Hermann,9. Oktbr. 1828
2079,"Eckenbrecher, Karl Gustav v",Eckenbrecher Karl Gustav,Eckenbrecher,Karl Gustav,11. Novbr. 1817
2080,"Ecker, Jakob",Ecker Jakob,Ecker,Jakob,13. April 1807
2081,"Eckers, Gustav",Eckers Gustav,Eckers,Gustav,27. Febr. 1851
2082,"Eckhardt, Fritz",Eckhardt Fritz,Eckhardt,Fritz,17. Aug.1811
2083,"Eckhardt, Philipp",Eckhardt Philipp,Eckhardt,Philipp,18. März1838
2084,"Ecknah, G",Ecknah G,Ecknah,G,6.April 1842
2085,"Eckstein, Ernst",Eckstein Ernst,Eckstein,Ernst,.
2086,"Ed, Christoph Marquard",Ed Christoph Marquard,Ed,Christoph Marquard, Februar 1874
2087,"Edel, Edmund",Edel Edmund,Edel,Edmund,20. Januar 1809
2088,"Edel, Emil",Edel Emil,Edel,Emil,.
2089,"Edel, Karl Franz Wilhelm",Edel Karl Franz Wilhelm,Edel,Karl Franz Wilhelm,6. Jan. 1825
2090,"Edel, Margarete",Edel Margarete,Edel,Margarete,10. August 1806
2091,"Edelmann, August",Edelmann August,Edelmann,August,7. März 1846
2092,"Edelmann, Wilhelm, v. Muhlen",Edelmann Wilhelm,Edelmann,Wilhelm,13.Oktbr. 1858
2093,"Eden, Carla",Eden Carla,Eden,Carla,30. Mai 1843
2094,"Eder, Joseph",Eder Joseph,Eder,Joseph,.
2095,"Edlefsen, Sophus",Edlefsen Sophus,Edlefsen,Sophus,3. März 1823
2096,"Edler, Karl Erdmann",Edler Karl Erdmann,Edler,Karl Erdmann,.
2097,"Edler, Wilhelm",Edler Wilhelm,Edler,Wilhelm,8. Mai 1844
2098,"Edmund, Gustav",Edmund Gustav,Edmund,Gustav,29.März 1873
2099,"Edon, Richard A",Edon Richard A,Edon,Richard A,.
2100,"Eduard, Gustav",Eduard Gustav,Eduard,Gustav,27. Dezbr. 1876
2101,Edward,Edward ,Edward,,.
2102,"Edward, Georg",Edward Georg,Edward,Georg,.
2103,"Edzardi, Anton",Edzardi Anton,Edzardi,Anton,13.Dezember 1869
2104,"Eelbo, Bruno Heinrich",Eelbo Bruno Heinrich,Eelbo,Bruno Heinrich,11. März1849
2105,"Effing, Alois Heinrich",Effing Alois Heinrich,Effing,Alois Heinrich,10. Oktbr. 1853
2106,"Egbert, W",Egbert W,Egbert,W,1. August 1852
2107,"Ege, Ernst",Ege Ernst,Ege,Ernst,.
2108,"Egenter, Franz Joseph",Egenter Franz Joseph,Egenter,Franz Joseph,4. Dezember1863
2109,"Eger, Paul",Eger Paul,Eger,Paul,14. Januar 1890
2110,"Egestorff, Georg",Egestorff Georg,Egestorff,Georg,23. Januar1881
2111,"Egg, Karl",Egg Karl,Egg,Karl,.
2112,"Eggebrecht, Albrecht",Eggebrecht Albrecht,Eggebrecht,Albrecht,.
2113,"Egger, Ludwig",Egger Ludwig,Egger,Ludwig,.
2114,"Egger-Schmitzhausen, Marie Edle von",Egger-Schmitzhausen Marie,Egger-Schmitzhausen,Marie,10. Novbr.1859
2115,"Eggers, genannt Ettenburg",Eggers ,Eggers,,Febr. 1871
2116,"Eggers, Hartwig, Karl Friedrich",Eggers Hartwig Karl Friedrich,Eggers,Hartwig Karl Friedrich,17. Januar 1858
2117,"Eggers, Karl Friedrich Peter",Eggers Karl Friedrich Peter,Eggers,Karl Friedrich Peter,27. Novbr. 1819
2118,"Eggers, Johannes Martin Heinrich",Eggers Johannes Martin Heinrich,Eggers,Johannes Martin Heinrich,7.Juni 1826
2119,"Eggersdorf, Max",Eggersdorf Max,Eggersdorf,Max,23. Februar 1815
2120,"Eggersglüß, Heinrich",Eggersglüß Heinrich,Eggersglüß,Heinrich,.
2121,"Eggert, Eduard",Eggert Eduard,Eggert,Eduard,10. März 1875
2122,"Eggert(-Windegg), Walther",Eggert Walther,Eggert,Walther,13.Januar 1852
2123,"Egidy, Emmy von",Egidy Emmy,Egidy,Emmy,18.Juni 1880
2124,Eginhard,Eginhard ,Eginhard,,5. April1872
2125,"Egler, Karl",Egler Karl,Egler,Karl,.
2126,"Egler, Ludwig",Egler Ludwig,Egler,Ludwig,3. Februar1853
2127,"Egli, Gottlieb",Egli Gottlieb,Egli,Gottlieb,24. August1828
2128,"Egloff, Luise",Egloff Luise,Egloff,Luise,26. März1842
2129,"Ehegasser, Franz",Ehegasser Franz,Ehegasser,Franz,14. Febr.1802
2130,"Ehlen, Hanna",Ehlen Hanna,Ehlen,Hanna,.
2131,"Ehlers, Johannes",Ehlers Johannes,Ehlers,Johannes,.
2132,"Ehlers, Julius",Ehlers Julius,Ehlers,Julius,20. Jan.1837
2133,"Ehlers, Otto Ehrenfried",Ehlers Otto Ehrenfried,Ehlers,Otto Ehrenfried,.
2134,"Ehlert, Friedrich August",Ehlert Friedrich August,Ehlert,Friedrich August,31. Jan. 1855
2135,"Ehn, Frau Marie",Ehn Frau Marie,Ehn,Frau Marie,3. Novbr. 1846
2136,"Ehrenberg, Adolf von",Ehrenberg Adolf,Ehrenberg,Adolf,4. April 1875
2137,"Ehrenberg, E",Ehrenberg E,Ehrenberg,E,7. Juni 1849
2138,"Ehrenfels, Christian Freiherr von",Ehrenfels Christian,Ehrenfels,Christian,.
2139,"Ehrenfreund, Edmund O",Ehrenfreund Edmund O,Ehrenfreund,Edmund O,20. Juni 1859
2140,"Ehrenreich, Eduard",Ehrenreich Eduard,Ehrenreich,Eduard,12. Febr. 1875
2141,"Ehrentraut, Paul",Ehrentraut Paul,Ehrentraut,Paul,.
2142,"Ehrhardt, Karl Ludwig Adolf",Ehrhardt Karl Ludwig Adolf,Ehrhardt,Karl Ludwig Adolf,28. Jan. 1856
2143,"Ehrhardt, (seit 1891: Ehrhardt-Korte), Friedr. Wilh. Ernst Eugen Adolf",Ehrhardt Friedr. Wilh. Ernst Eugen Adolf,Ehrhardt,Friedr. Wilh. Ernst Eugen Adolf,21. Novbr. 1813
2144,"Ehrhardt, F",Ehrhardt F,Ehrhardt,F,8.August 1843
2145,"Ehrhardt, Helene",Ehrhardt Helene,Ehrhardt,Helene,.
2146,"Ehrhart, Vincenz von",Ehrhart Vincenz,Ehrhart,Vincenz,.
2147,"Ehrlich, Alois",Ehrlich Alois,Ehrlich,Alois,13.Septbr. 1823
2148,"Ehrlich, Alfred Heinrich",Ehrlich Alfred Heinrich,Ehrlich,Alfred Heinrich,12. August1867
2149,"Ehrlich, Joseph R",Ehrlich Joseph R,Ehrlich,Joseph R,5. Oktbr. 1822
2150,"Ehrlich, Wilhelm",Ehrlich Wilhelm,Ehrlich,Wilhelm,3.Febr. 1842
2151,"Ehrmann, Daniel",Ehrmann Daniel,Ehrmann,Daniel,30. Juni1857
2152,"Eiben, Emerich",Eiben Emerich,Eiben,Emerich,15. Novbr. 1882
2153,"Eiben, G",Eiben G,Eiben,G,.
2154,"Eichbaum-Lange, Wilhelm",Eichbaum-Lange Wilhelm,Eichbaum-Lange,Wilhelm,10. Novbr.1835
2155,"Eichberg, Fritz",Eichberg Fritz,Eichberg,Fritz,.
2156,"Eichel, Karl Wilhelm",Eichel Karl Wilhelm,Eichel,Karl Wilhelm,5. Aug.1864
2157,"Eichen, M. von der",Eichen M. von der,Eichen,M. von der,12.März 1812
2158,"Eichenloew, Hadwiga",Eichenloew Hadwiga,Eichenloew,Hadwiga,.
2159,"Eichert, Franz",Eichert Franz,Eichert,Franz,.
2160,"Eichholz, Johann Eduard Ehrenreich",Eichholz Johann Eduard Ehrenreich,Eichholz,Johann Eduard Ehrenreich,.
2161,"Eichhorn, Christian Friedrich",Eichhorn Christian Friedrich,Eichhorn,Christian Friedrich,19. Septbr. 1807
2162,"Eichhorn, Karl",Eichhorn Karl,Eichhorn,Karl,3. Jan. 1804
2163,"Eichhorn, Maria",Eichhorn Maria,Eichhorn,Maria,4. Novbr.1844
2164,"Eichler, Karoline",Eichler Karoline,Eichler,Karoline,.
2165,"Eichler, Marie",Eichler Marie,Eichler,Marie,29. Aug. 1856
2166,"Eichner, August Robert",Eichner August Robert,Eichner,August Robert,19. Septbr.1854
2167,"Eichner, Walter",Eichner Walter,Eichner,Walter,31. Mai 1844
2168,"Eichrodt, Ludwig",Eichrodt Ludwig,Eichrodt,Ludwig,.
2169,"Eichwald, Karl",Eichwald Karl,Eichwald,Karl,2. Februar1827
2170,"Eick, Johann Friedrich Wilhelm",Eick Johann Friedrich Wilhelm,Eick,Johann Friedrich Wilhelm,.
2171,"Eicke, Theodor",Eicke Theodor,Eicke,Theodor,29. Mai 1850
2172,"Eidam, Rosa",Eidam Rosa,Eidam,Rosa,15. Nov.1861
2173,"Eigenbrodt, Wolrad",Eigenbrodt Wolrad,Eigenbrodt,Wolrad,30. Dezbr.1861
2174,"Eilers, Ernst",Eilers Ernst,Eilers,Ernst,.
2175,"Eimer, Manfred",Eimer Manfred,Eimer,Manfred,10. Aug.1865
2176,"Einsiedel, Johannes",Einsiedel Johannes,Einsiedel,Johannes,29.Oktober 1871
2177,"Einsiedel, Klaus",Einsiedel Klaus,Einsiedel,Klaus,.
2178,"Einsiedler, der Rothenburger",Einsiedler der Rothenburger,Einsiedler,der Rothenburger,.
2179,"Einstmann, Lucy",Einstmann Lucy,Einstmann,Lucy,.
2180,"Eisele, Friedrich",Eisele Friedrich,Eisele,Friedrich,7.Juni 1871
2181,"Eisenberg, Ludwig Julius",Eisenberg Ludwig Julius,Eisenberg,Ludwig Julius, März 1848
2182,"Eisenhardt, Siegfried",Eisenhardt Siegfried,Eisenhardt,Siegfried,5. März 1858
2183,"Eisenhart, Luise von",Eisenhart Luise,Eisenhart,Luise,29. Januar 1835
2184,"Eisenlohr, August",Eisenlohr August,Eisenlohr,August,13. Dezbr. 1828
2185,"Eisenlohr, Gustav Wilhelm",Eisenlohr Gustav Wilhelm,Eisenlohr,Gustav Wilhelm,26. Dezember 1822
2186,"Eisenmann, Oskar",Eisenmann Oskar,Eisenmann,Oskar,18. Mai 1811
2187,"Eisenring, Karl Jakob",Eisenring Karl Jakob,Eisenring,Karl Jakob,14.Januar 1842
2188,"Eisenschitz, Friedrich",Eisenschitz Friedrich,Eisenschitz,Friedrich,2. März 1845
2189,"Eisenschitz, Siddy",Eisenschitz Siddy,Eisenschitz,Siddy,.
2190,"Eisenstein, Arthur, Freiherr von und zu",Eisenstein Arthur,Eisenstein,Arthur,.
2191,"Eisenstein, Dela von und zu",Eisenstein Dela,Eisenstein,Dela,.
2192,"Eisenstein, Joseph",Eisenstein Joseph,Eisenstein,Joseph,.
2193,"Eisenträger, Hans",Eisenträger Hans,Eisenträger,Hans,25. Juni 1888
2194,"Eisert, Albert",Eisert Albert,Eisert,Albert,31.Oktbr. 1861
2195,"Eisler, Julius",Eisler Julius,Eisler,Julius,29. Jan.1868
2196,"Eißler, Hermann",Eißler Hermann,Eißler,Hermann,21. Juli1858
2197,"Eitle, Gottlob",Eitle Gottlob,Eitle,Gottlob,20. Juli1860
2198,"Eitle, Otto",Eitle Otto,Eitle,Otto,3. Febr. 1820
2199,"Eitner, Karl",Eitner Karl,Eitner,Karl,5. Mai 1860
2200,"Eitner, Martha",Eitner Martha,Eitner,Martha,14. Juli 1805
2201,"Eken, Anne van den",Eken Anne,Eken,Anne,.
2202,"Ekensteen, M. von",Ekensteen M.,Ekensteen,M.,25.Dezbr. 1866
2203,"Elbe, A. von der",Elbe A.,Elbe,A.,.
2204,"Elbe, R",Elbe R,Elbe,R,.
2205,"Elbe, Walther von der",Elbe Walther,Elbe,Walther,.
2206,"Elben, Hans",Elben Hans,Elben,Hans,.
2207,"Elbogen, Friedrich",Elbogen Friedrich,Elbogen,Friedrich,.
2208,"Elchinger, Richard",Elchinger Richard,Elchinger,Richard,20.Mai 1854
2209,"Elcho, Rudolf",Elcho Rudolf,Elcho,Rudolf,2. Mai1879
2210,El Correi,El Correi ,El Correi,,3. März 1839
2211,"Elda, G. von der",Elda G.,Elda,G.,.
2212,"Elden, Sophus",Elden Sophus,Elden,Sophus,.
2213,Eleonore Fürstin Reuß,Eleonore Fürstin Reuß ,Eleonore Fürstin Reuß,,.
2214,"Elert, Emmi",Elert Emmi,Elert,Emmi,20. Febr.1835
2215,"Elfinger, Hannibal",Elfinger Hannibal,Elfinger,Hannibal,.
2216,Elimar Anton Günther Friedrich Herzog von Oldenburg, Elimar Anton Günther Friedrich,,Elimar Anton Günther Friedrich,14. Jan. 1845
2217,Elisabeth Pauline Ottilie Luise Königin von Rumänien, Elisabeth Pauline Ottilie Luise ,,Elisabeth Pauline Ottilie Luise , April1865
2218,Ellen,Ellen ,Ellen,,15. November 1869
2219,"Ellersberg, Eduard",Ellersberg Eduard,Ellersberg,Eduard,.
2220,"Ellgau, M. von",Ellgau M.,Ellgau,M.,.
2221,Ellheim,Ellheim ,Ellheim,,.
2222,"Elling, Franz von",Elling Franz,Elling,Franz,.
2223,"Ellissen, Adolf",Ellissen Adolf,Ellissen,Adolf,.
2224,"Ellissen, Hans",Ellissen Hans,Ellissen,Hans,14. März1815
2225,"Ellissen, Otto Adolf",Ellissen Otto Adolf,Ellissen,Otto Adolf,1. Jan. 1845
2226,"Ellmenreich, Albert",Ellmenreich Albert,Ellmenreich,Albert,9. Dezember1859
2227,"Elm, Andreas Hugo",Elm Andreas Hugo,Elm,Andreas Hugo,10. Febr.1816
2228,"Elmar, Karl",Elmar Karl,Elmar,Karl,17. Mai1900
2229,El Neccar,El Neccar ,El Neccar,,.
2230,"Elsas, Hugo",Elsas Hugo,Elsas,Hugo,.
2231,"Elsenau, Walther",Elsenau Walther,Elsenau,Walther,3. Septbr.1860
2232,"Elsenhans, Wilhelm",Elsenhans Wilhelm,Elsenhans,Wilhelm,.
2233,"Elsner, Heinrich",Elsner Heinrich,Elsner,Heinrich,15.Oktbr. 1824
2234,"Elsner, Oskar",Elsner Oskar,Elsner,Oskar,30. Juni1858
2235,"Elsner von Gronow, Klara",Elsner von Gronow Klara,Elsner von Gronow,Klara,.
2236,"Elsner von Gronow, Kurt Johannes Wilhelm Otto Ernst",Elsner von Gronow Kurt Johannes Wilhelm Otto Ernst,Elsner von Gronow,Kurt Johannes Wilhelm Otto Ernst,1. Mai 1893
2237,"Elster, Alexander",Elster Alexander,Elster,Alexander,13. März 1863
2238,"Elster, Otto",Elster Otto,Elster,Otto,8. April 1877
2239,"Elton, M",Elton M,Elton,M,1. Febr.1887
2240,"Eltz, Hugo von",Eltz Hugo von,Eltz,Hugo von,.
2241,"Elwert, Wilhelm Ludwig",Elwert Wilhelm Ludwig,Elwert,Wilhelm Ludwig, April 1854
2242,"Elz, Hugo von der",Elz Hugo,Elz,Hugo,29. Jan. 1834
2243,"Elze, Karl Friedrich",Elze Karl Friedrich,Elze,Karl Friedrich,.
2244,"Elze, Ludwig Theodor",Elze Ludwig Theodor,Elze,Ludwig Theodor,22. Mai 1821
2245,"Emch, Albrecht",Emch Albrecht,Emch,Albrecht,17. Juli 1823
2246,"Emeran, Eusebius",Emeran Eusebius,Emeran,Eusebius,.
2247,"Emmer, Johannes",Emmer Johannes,Emmer,Johannes,.
2248,"Emperger, Alexandrine Edle v",Emperger Alexandrine,Emperger,Alexandrine,.
2249,"Empiricus, Orbilius",Empiricus Orbilius,Empiricus,Orbilius,12. Juni 1867
2250,"Emrich, Philipp",Emrich Philipp,Emrich,Philipp,.
2251,"Ems, Dr",Ems Dr,Ems,Dr,.
2252,"Enberg, A. V. R",Enberg A. V. R,Enberg,A. V. R,.
2253,"Enckevort, Johanna Balcke v",Enckevort Johanna Balcke,Enckevort,Johanna Balcke,.
2254,"Enckhausen, Malwine",Enckhausen Malwine,Enckhausen,Malwine,5. September 1838
2255,"End, Jörg von",End Jörg,End,Jörg,.
2256,"Ende, Amalie von",Ende Amalie,Ende,Amalie,.
2257,"Ende, Georg Heinrich von",Ende Georg Heinrich,Ende,Georg Heinrich,.
2258,Ende am,Ende am ,Ende am,,27. Juli 1847
2259,"Enderling, Paul",Enderling Paul,Enderling,Paul,.
2260,"Enders, M. A",Enders M. A,Enders,M. A,22. April 1876
2261,"Enders, Johann Nepomuk",Enders Johann Nepomuk,Enders,Johann Nepomuk,.
2262,"Endersdorf, Anton",Endersdorf Anton,Endersdorf,Anton,3. Mai 1815
2263,"Endler, Viktorine",Endler Viktorine,Endler,Viktorine,.
2264,"Endrulat, Bernhard Ferdinand Julius",Endrulat Bernhard Ferdinand Julius,Endrulat,Bernhard Ferdinand Julius, Mai 1878
2265,"Engel, Agnes",Engel Agnes,Engel,Agnes,24. August1828
2266,"Engel, Alexander",Engel Alexander,Engel,Alexander,21. Jan.1862
2267,"Engel, Eduard",Engel Eduard,Engel,Eduard,10.April 1869
2268,"Engel, Emmy von",Engel Emmy,Engel,Emmy,12.Nov. 1851
2269,"Engel, Franz",Engel Franz,Engel,Franz,.
2270,"Engel, Georg",Engel Georg,Engel,Georg,21. Juli1834
2271,"Engel, Ernst Johann Jakob",Engel Ernst Johann Jakob,Engel,Ernst Johann Jakob,29. Oktbr.1866
2272,"Engel, Moritz v",Engel Moritz,Engel,Moritz,15. Juli 1851
2273,"Engel de Jánosi, Joseph",Engel de Jánosi Joseph,Engel de Jánosi,Joseph,6. Aug.1858
2274,"Engelbach, Georg",Engelbach Georg,Engelbach,Georg,20. Novbr. 1851
2275,"Engelberger, Karl",Engelberger Karl,Engelberger,Karl,23. Mai1823
2276,"Engelhard, Karl",Engelhard Karl,Engelhard,Karl,.
2277,"Engelhardt, Alexis Freiherr v",Engelhardt Alexis,Engelhardt,Alexis,16.August 1879
2278,"Engelhardt, E",Engelhardt E,Engelhardt,E,24. Juni 1868
2279,"Engelhardt, Ewald",Engelhardt Ewald,Engelhardt,Ewald,15. Dezember 1852
2280,"Engelhardt, Karl",Engelhardt Karl,Engelhardt,Karl,16.Septbr. 1879
2281,"Engelhardt, Otto",Engelhardt Otto,Engelhardt,Otto, Oktober1900
2282,"Engelhardt, Karl Friedrich Wilhelm",Engelhardt Karl Friedrich Wilhelm,Engelhardt,Karl Friedrich Wilhelm,30. Juni1847
2283,"Engelhardt-Schnellenstein, Helene",Engelhardt-Schnellenstein Helene,Engelhardt-Schnellenstein,Helene,10. Oktbr. 1851
2284,"Engelhart, C",Engelhart C,Engelhart,C,.
2285,"Engell-Günther, Juliane",Engell-Günther Juliane,Engell-Günther,Juliane,.
2286,"Engelmann, Emil",Engelmann Emil,Engelmann,Emil,3. Aug. 1819
2287,"Engelmann, Max",Engelmann Max,Engelmann,Max,26. August 1837
2288,"Engels, Gustav Alexander",Engels Gustav Alexander,Engels,Gustav Alexander,2. Jan.1849
2289,"Englert, Franz",Englert Franz,Englert,Franz,6. Dezbr. 1871
2290,"Englert, Franz Joseph",Englert Franz Joseph,Englert,Franz Joseph,13.März 1817
2291,"Englert, Joseph",Englert Joseph,Englert,Joseph,22. Jan.1823
2292,"Englert, Georg",Englert Georg,Englert,Georg,10. Aug.1824
2293,"Englert, Sebastian",Englert Sebastian,Englert,Sebastian,23. Januar1827
2294,"Enis, Jrene Baronin",Enis Jrene Baronin,Enis,Jrene Baronin,13. Juli 1854
2295,"Enking, Ottomar",Enking Ottomar,Enking,Ottomar,.
2296,"Enslin, Karl",Enslin Karl,Enslin,Karl, April 1906
2297,"Enzberg, Eugen Freiherr von",Enzberg Eugen,Enzberg,Eugen,Septbr. 1819
2298,"Enzio, R. W",Enzio R. W,Enzio,R. W,26. Febr. 1858
2299,"Eperjésy, Armgard von",Eperjésy Armgard,Eperjésy,Armgard,.
2300,"Eppler, Christoph Friedrich",Eppler Christoph Friedrich,Eppler,Christoph Friedrich,.
2301,"Epstein, Georg",Epstein Georg,Epstein,Georg,10. Juli 1822
2302,"Epstein, Moritz",Epstein Moritz,Epstein,Moritz,20. März1874
2303,"Erb, Anna Regula",Erb Anna Regula,Erb,Anna Regula,29. März1844
2304,"Erbrich, Emil",Erbrich Emil,Erbrich,Emil,5. März 1836
2305,"Erbschloe, Reinhold",Erbschloe Reinhold,Erbschloe,Reinhold,26. Nov.1846
2306,Erdberg-Krczenciewski; Robert von,Erdberg-Krczenciewski Robert,Erdberg-Krczenciewski,Robert,.
2307,"Erdmann, Bruno",Erdmann Bruno,Erdmann,Bruno,1. Mai 1891
2308,"Erdmann, Gustav Adolf",Erdmann Gustav Adolf,Erdmann,Gustav Adolf,24.Dezbr. 1876
2309,"Erft, M. von",Erft M.,Erft,M.,16. Juli 1859
