Unnamed: 0,Name,Nachname Vorname,Nachname,Vorname,Geburtsdatum
2000,"Duller, Eduard",Duller Eduard,Duller,Eduard,17. Juni 1819
2001,"Dumann, Karl",Dumann Karl,Dumann,Karl,8. Novbr.1809
2002,"Dumas, Karl August Kasimir",Dumas Karl August Kasimir,Dumas,Karl August Kasimir, November 1898
2003,"Du Moulin-Eckart auf Bertolzheim, Richard Graf",Du Moulin-Eckart auf Bertolzheim Richard Graf,Du Moulin-Eckart auf Bertolzheim,Richard Graf,3. April1853
2004,"Dunajew, Wanda von",Dunajew Wanda,Dunajew,Wanda,27. Novbr. 1864
2005,"Dunanus, Friedrich",Dunanus Friedrich,Dunanus,Friedrich,.
2006,"Duncker, Alexander",Duncker Alexander,Duncker,Alexander,.
2007,"Duncker, Dora",Duncker Dora,Duncker,Dora,18.Febr. 1813
2008,"Dungern, Julie",Dungern Julie,Dungern,Julie,28. März 1855
2009,"Dungern, Otto Freiherr v",Dungern Otto,Dungern,Otto,21. Februar 1886
2010,"Dünheim, W. von",Dünheim W.,Dünheim,W.,.
2011,"Dunker, Wilhelm",Dunker Wilhelm,Dunker,Wilhelm,.
2012,"Düntzer, Heinrich",Düntzer Heinrich,Düntzer,Heinrich,25.Dezbr. 1829
2013,"Dupont, Hermann",Dupont Hermann,Dupont,Hermann,16. Dezbr. 1901
2014,"Dupré, Eduard",Dupré Eduard,Dupré,Eduard, Septbr. 1898
2015,"Dupré, Heinz",Dupré Heinz,Dupré,Heinz,.
2016,Durangelo,Durangelo ,Durangelo,,.
2017,"Dürauer, Franz Joseph",Dürauer Franz Joseph,Dürauer,Franz Joseph,.
2018,"Duren, Otto",Duren Otto,Duren,Otto,24. Febr. 1854
2019,"Dürer, Emile",Dürer Emile,Dürer,Emile,.
2020,"Düring, Christine",Düring Christine,Düring,Christine,5. Mai1859
2021,"Düring, Clara von",Düring Clara,Düring,Clara,14. Mai 1846
