Unnamed: 0,Name,Nachname Vorname,Nachname,Vorname,Geburtsdatum
5000,"Kassau, Friedrich August Adolf",Kassau Friedrich August Adolf,Kassau,Friedrich August Adolf,24. Jan. 1868
5001,"Kassebeer, Fritz",Kassebeer Fritz,Kassebeer,Fritz,8. Juni1861
5002,"Kastner, Eduard Fedor",Kastner Eduard Fedor,Kastner,Eduard Fedor,13. Januar 1859
5003,"Kastner(-Michalitschke), Else",Kastner(-Michalitschke) Else,Kastner(-Michalitschke),Else,28. April 1866
5004,"Kastner, Alexander Kornelius Willy",Kastner Alexander Kornelius Willy,Kastner,Alexander Kornelius Willy,18. Dezbr. 1861
5005,"Kästner, Viktor",Kästner Viktor,Kästner,Viktor,1. Jan.1828
5006,"Kastropp, Gustav",Kastropp Gustav,Kastropp,Gustav,30. Aug.1844
5007,"Kászony, Daniel von",Kászony Daniel,Kászony,Daniel,Februar 1861
5008,"Kathan, Robert",Kathan Robert,Kathan,Robert,.
5009,"Katsch, Gustav Adolf",Katsch Gustav Adolf,Katsch,Gustav Adolf,21. April 1813
5010,"Katsch, Hermann",Katsch Hermann,Katsch,Hermann,10.Septbr. 1853
5011,"Katscher, Bertha",Katscher Bertha,Katscher,Bertha,12.Juni 1860
5012,"Katscher, Leopold",Katscher Leopold,Katscher,Leopold,30. Aug. 1853
5013,"Kattentidt, Gottfried Ludwig",Kattentidt Gottfried Ludwig,Kattentidt,Gottfried Ludwig,.
5014,"Kattner, Emma Elise",Kattner Emma Elise,Kattner,Emma Elise,8. Dezbr. 1844
5015,"Katzenberger, Fridolin",Katzenberger Fridolin,Katzenberger,Fridolin,11. Febr. 1853
5016,"Katzer, Friedrich",Katzer Friedrich,Katzer,Friedrich,7. Febr.1844
5017,"Kauders, Albert",Kauders Albert,Kauders,Albert,20. Jan.1854
5018,"Kauffer, Eduard",Kauffer Eduard,Kauffer,Eduard,8. Januar1824
5019,"Kaufhold, Ernst",Kaufhold Ernst,Kaufhold,Ernst,15.März 1847
5020,"Kaufholz-Opačić, Berta",Kaufholz-Opačić Berta,Kaufholz-Opačić,Berta,4. Juli 1865
5021,"Kaufmann, Alexander",Kaufmann Alexander,Kaufmann,Alexander,15. Mai 1821
5022,"Kaufmann, Mathilde",Kaufmann Mathilde,Kaufmann,Mathilde,5. Dezember 1835
5023,"Kaufmann, Karl Maria",Kaufmann Karl Maria,Kaufmann,Karl Maria,2. März 1872
5024,"Kaufmann, Max",Kaufmann Max,Kaufmann,Max,24.Juni 1864
5025,"Kaufmann, Wilhelm",Kaufmann Wilhelm,Kaufmann,Wilhelm,23.Februar 1830
5026,"Kausch, Agnes",Kausch Agnes,Kausch,Agnes,29.April 1871
5027,"Kausen, Armin",Kausen Armin,Kausen,Armin,10. Jan.1855
5028,"Kausler, Rudolf",Kausler Rudolf,Kausler,Rudolf,26.August 1811
5029,"Kautsky, Minna",Kautsky Minna,Kautsky,Minna,11.Juni 1835
5030,"Kawaczinsky, Friedrich Wilhelm von",Kawaczinsky Friedrich Wilhelm,Kawaczinsky,Friedrich Wilhelm,4. Mai 1806
5031,"Kaysel, Otto",Kaysel Otto,Kaysel,Otto,.
5032,"Kayser, Georg Friedrich",Kayser Georg Friedrich,Kayser,Georg Friedrich,21. Februar 1817
5033,"Kayser, Karl Adolf Fr. Aug",Kayser Karl Adolf Fr. Aug,Kayser,Karl Adolf Fr. Aug,1. Febr. 1843
5034,"Kayser, Wilhelm",Kayser Wilhelm,Kayser,Wilhelm,21. März1848
5035,"Kayser-Langerhannß, Agnes",Kayser-Langerhannß Agnes,Kayser-Langerhannß,Agnes,21. April 1902
5036,"Kayßler, Friedrich",Kayßler Friedrich,Kayßler,Friedrich,7. April1874
5037,"Keben, Georg",Keben Georg,Keben,Georg,17. Febr.1859
5038,"Keck, Karl Heinr. Christian",Keck Karl Heinr. Christian,Keck,Karl Heinr. Christian,20. März 1824
5039,"Keen, Nathanael",Keen Nathanael,Keen,Nathanael,.
5040,"Keetz, Wilhelm",Keetz Wilhelm,Keetz,Wilhelm,12. Febr.1870
5041,"Kegel, Franz",Kegel Franz,Kegel,Franz,.
5042,"Kegel, Hugo",Kegel Hugo,Kegel,Hugo,Nov. 1876
5043,"Kegel, Max",Kegel Max,Kegel,Max,6. Jan. 1850
5044,"Kehren, Berta",Kehren Berta,Kehren,Berta,.
5045,"Keilmann, Wilhelm",Keilmann Wilhelm,Keilmann,Wilhelm,14. Juli1845
5046,"Keim, Franz",Keim Franz,Keim,Franz, Juni 1898
5047,"Keiser, Heinrich Alois",Keiser Heinrich Alois,Keiser,Heinrich Alois,30.April 1844
5048,"Keiter, Ernst",Keiter Ernst,Keiter,Ernst, Oktbr.1907
5049,"Keiter, Heinrich",Keiter Heinrich,Keiter,Heinrich, Mai 1873
5050,"Keiter, Therese",Keiter Therese,Keiter,Therese,20. Juni 1859
5051,"Kekulé, Karl Ludwig",Kekulé Karl Ludwig,Kekulé,Karl Ludwig,30. September 1802
5052,"Kel, M. H. van",Kel M. H. van,Kel,M. H. van,.
5053,"Kelber, Karl",Kelber Karl,Kelber,Karl,10. Aug.1862
5054,"Kelber, Ludwig",Kelber Ludwig,Kelber,Ludwig,25. Novbr.1824
5055,"Kell, Hermann Alfred",Kell Hermann Alfred,Kell,Hermann Alfred,20. April 1870
5056,"Kellen, Oskar von",Kellen Oskar,Kellen,Oskar,.
5057,"Kellen, Tony",Kellen Tony,Kellen,Tony,24. Januar 1869
5058,"Keller, Augustin",Keller Augustin,Keller,Augustin,10. Novbr.1805
5059,"Keller, Erich",Keller Erich,Keller,Erich,26. Jan.1881
