Unnamed: 0,Name,Nachname Vorname,Nachname,Vorname,Geburtsdatum
8000,"Pramberger, Romuald",Pramberger Romuald,Pramberger,Romuald,Oktober 1902
8001,"Prantner, Ferdinand",Prantner Ferdinand,Prantner,Ferdinand,28. April1871
8002,"Prasch, Alois",Prasch Alois,Prasch,Alois,2. Oktober1858
8003,"Praxmarer, Joseph",Praxmarer Joseph,Praxmarer,Joseph,19.Mai 1820
8004,"Precht, Viktor",Precht Viktor,Precht,Viktor,14. Juni1820
8005,"Prechtler, Otto",Prechtler Otto,Prechtler,Otto,21.Januar 1813
8006,"Preczang, Ernst",Preczang Ernst,Preczang,Ernst,16.Januar 1870
8007,"Preger, Johann Wilhelm",Preger Johann Wilhelm,Preger,Johann Wilhelm,25. Aug. 1827
8008,"Preindlsberger, Milena",Preindlsberger Milena,Preindlsberger,Milena,28. Dezbr. 1868
8009,"du Prel, Karl Freiherr",du Prel Karl Freiherr,du Prel,Karl Freiherr,3. April 1839
8010,"Prell, Konrad Gustav",Prell Konrad Gustav,Prell,Konrad Gustav,.Septbr. 1822
8011,"Preller, Karl Heinrich",Preller Karl Heinrich,Preller,Karl Heinrich,20.Febr. 1830
8012,"Prellwitz, Gertrud",Prellwitz Gertrud,Prellwitz,Gertrud,5. April 1869
8013,"Prels, Max Franz Lambert",Prels Max Franz Lambert,Prels,Max Franz Lambert,28. Juli 1878
8014,"Prenzlau, Karl von",Prenzlau Karl von,Prenzlau,Karl von,.
8015,"Presber, Hermann",Presber Hermann,Presber,Hermann,9. Dezember 1830
8016,"Presber, Hermann Otto Rudolf",Presber Hermann Otto Rudolf,Presber,Hermann Otto Rudolf,4. Juli 1868
8017,"Presbyter, Johannes",Presbyter Johannes,Presbyter,Johannes,.
8018,"Preser, Karl",Preser Karl,Preser,Karl, Dezember 1868
8019,"Presler(-Flohr), Johanna",Presler Johanna,Presler,Johanna,17. Febr. 1862
8020,"Pressel, Ludwig Heinrich",Pressel Ludwig Heinrich,Pressel,Ludwig Heinrich,23. November 1800
8021,"Pressel, Paul",Pressel Paul,Pressel,Paul,16. Juni1824
8022,"Pressel, Wilhelm Friedrich Martin",Pressel Wilhelm Friedrich Martin,Pressel,Wilhelm Friedrich Martin,25. Novbr. 1818
8023,"Pressentin, genannt v. Rautter, Botho von",Pressentin Botho,Pressentin,Botho,10. April 1840
8024,"Pretzell, Hermann Ernst Ferdinand",Pretzell Hermann Ernst Ferdinand,Pretzell,Hermann Ernst Ferdinand,.
8025,"Preu, Eduard Friedrich Adolf",Preu Eduard Friedrich Adolf,Preu,Eduard Friedrich Adolf,11. März 1849
8026,"Preuschen-Telmann, Baronin Hermione v",Preuschen-Telmann Hermione,Preuschen-Telmann,Hermione,7. Aug. 1857
8027,"Preuß(-Laudien), Henriette",Preuß Henriette,Preuß,Henriette,19. Januar 1825
8028,"Prévôt, René",Prévôt René,Prévôt,René,.
8029,"Preyer, Johann Nepomuk",Preyer Johann Nepomuk,Preyer,Johann Nepomuk, Dezember 1871
8030,"Priem, Johann Paul",Priem Johann Paul,Priem,Johann Paul,10.Juli 1815
8031,"Přibyl, Leo E",Přibyl Leo E,Přibyl,Leo E,8. Mai1848
