Unnamed: 0,Name,Nachname Vorname,Nachname,Vorname,Geburtsdatum
12000,"Zieger, Marie",Zieger Marie,Zieger,Marie,.
12001,"Ziegler, Ernst",Ziegler Ernst,Ziegler,Ernst,22. Nov.1847
12002,"Ziegler, Eugen",Ziegler Eugen,Ziegler,Eugen,21. August 1871
12003,"Ziegler, Franz Wilhelm",Ziegler Franz Wilhelm,Ziegler,Franz Wilhelm,3. Febr. 1803
12004,"Ziegler, Johannes",Ziegler Johannes,Ziegler,Johannes,8. Febr.1837
12005,"Ziegler, Karl",Ziegler Karl,Ziegler,Karl,. April 1812
12006,"Ziegler, Klara",Ziegler Klara,Ziegler,Klara,1. Oktober 1868
12007,"Ziegler, Regine",Ziegler Regine,Ziegler,Regine,30. August 1864
12008,"Ziegler, Rudolf O",Ziegler Rudolf O,Ziegler,Rudolf O,2.März 1828
12009,"Ziehen, Eduard August Philipp",Ziehen Eduard August Philipp,Ziehen,Eduard August Philipp,29. Oktbr. 1819
12010,"Ziel, Ernst",Ziel Ernst,Ziel,Ernst,5. Mai 1841
12011,"Zielénziger, Bernhard",Zielénziger Bernhard,Zielénziger,Bernhard,23. Januar1906
12012,"Ziemann, Franz",Ziemann Franz,Ziemann,Franz,23.März 1860
12013,"Ziemssen, Ludwig",Ziemssen Ludwig,Ziemssen,Ludwig,29. September 1823
12014,"Zientner, Johann Baptist",Zientner Johann Baptist,Zientner,Johann Baptist,.
12015,"Ziersch, Walther",Ziersch Walther,Ziersch,Walther,.
12016,"Zifferer, Paul",Zifferer Paul,Zifferer,Paul,9. März1879
12017,"Zilcken, Fritz",Zilcken Fritz,Zilcken,Fritz,19. Juli 1846
12018,"Zille, Moritz Alexander",Zille Moritz Alexander,Zille,Moritz Alexander,31. März 1814
12019,"Zilligstein, E. von",Zilligstein E.,Zilligstein,E.,.
12020,"Zimmer, Hans",Zimmer Hans,Zimmer,Hans,.
12021,"Zimmerer, Heinrich",Zimmerer Heinrich,Zimmerer,Heinrich,12. Juli 1860
12022,"Zimmerli, G. W",Zimmerli G. W,Zimmerli,G. W,.
12023,"Zimmermann, Elsa",Zimmermann Elsa,Zimmermann,Elsa,.
12024,"Zimmermann, Friedrich",Zimmermann Friedrich,Zimmermann,Friedrich,.
12025,"Zimmermann, Georg",Zimmermann Georg,Zimmermann,Georg,.Februar 1814
12026,"Zimmermann, Hans Wilhelm Georg",Zimmermann Hans Wilhelm Georg,Zimmermann,Hans Wilhelm Georg,12. Jan. 1855
12027,"Zimmermann, Heinrich Karl Sigismund Edler von",Zimmermann Heinrich Karl Sigismund Edler,Zimmermann,Heinrich Karl Sigismund Edler,1Februar 1847
12028,Zimmermann,Zimmermann ,Zimmermann,,1. Juni 1861
12029,"Zimmermann, Moritz B",Zimmermann Moritz B,Zimmermann,Moritz B,.
12030,"Zimmermann, Paul Aug. Bernhard von",Zimmermann Paul Aug. Bernhard,Zimmermann,Paul Aug. Bernhard,3. Septbr. 1843
12031,"Zimmermann, Robert v",Zimmermann Robert v,Zimmermann,Robert v,2. Novbr. 1824
12032,"Zimmermann, Wernine",Zimmermann Wernine,Zimmermann,Wernine,.
12033,"Zimmermann, Balthasar Friedrich Wilhelm",Zimmermann Balthasar Friedrich Wilhelm,Zimmermann,Balthasar Friedrich Wilhelm, Dezbr. 1850
12034,"Zimmermann-Schoepp, Meta",Zimmermann-Schoepp Meta,Zimmermann-Schoepp,Meta,.
12035,"Zimper, Oskar",Zimper Oskar,Zimper,Oskar,.
12036,"Zinck, Auguste",Zinck Auguste,Zinck,Auguste,23. Mai 1895
12037,"Zingeler, Karl Theodor",Zingeler Karl Theodor,Zingeler,Karl Theodor,7. Juni 1845
12038,"Zingerle, Edler von Summersberg, Jgnaz Vincenz",Zingerle Jgnaz Vincenz,Zingerle,Jgnaz Vincenz,September 1892
12039,"Zingerle, Pius",Zingerle Pius,Zingerle,Pius,17.März 1801
12040,"Zink(-Maishof), Jenny",Zink(-Maishof) Jenny,Zink(-Maishof),Jenny,10.Mai 1904
12041,"Zinn, Adalbert Alexander",Zinn Adalbert Alexander,Zinn,Adalbert Alexander,18. März 1880
12042,"Zipper, Albert",Zipper Albert,Zipper,Albert,8. Mai 1855
12043,"Zipperer, Wilhelm Paul Johannes",Zipperer Wilhelm Paul Johannes,Zipperer,Wilhelm Paul Johannes,18. Dezbr. 1847
12044,"Zippert, Ludwig",Zippert Ludwig,Zippert,Ludwig,2. Nov.1865
12045,"Zirbes, Peter",Zirbes Peter,Zirbes,Peter,10. Jan.1825
12046,"Zirndorf, Heinrich",Zirndorf Heinrich,Zirndorf,Heinrich,7. Mai 1829
12047,"Zistler, Franz",Zistler Franz,Zistler,Franz,25. März1839
12048,"Zitelmann, Ernst",Zitelmann Ernst,Zitelmann,Ernst,7.Aug. 1852
12049,"Zitelmann, Katharina",Zitelmann Katharina,Zitelmann,Katharina,26. Dezbr. 1844
12050,"Zitelmann, Otto Konrad",Zitelmann Otto Konrad,Zitelmann,Otto Konrad,7. Mai 1889
12051,"Zitelmann, Ernst Otto Konrad",Zitelmann Ernst Otto Konrad,Zitelmann,Ernst Otto Konrad,.
12052,"Zitz, Kathinka Therese Pauline Modesta",Zitz Kathinka Therese Pauline Modesta,Zitz,Kathinka Therese Pauline Modesta,4. Novbr. 1801
12053,"Zlatnik, Franz Joseph",Zlatnik Franz Joseph,Zlatnik,Franz Joseph,20. Novbr. 1871
12054,"Zobel, Eugen Johann F",Zobel Eugen Johann F,Zobel,Eugen Johann F,24. Juni 1838
12055,"Zobeltitz, Karl Maria Fedor von",Zobeltitz Karl Maria Fedor von,Zobeltitz,Karl Maria Fedor von,.
12056,"Zobeltitz, Hanns v",Zobeltitz Hanns v,Zobeltitz,Hanns v,.
12057,"Zoder, Paul",Zoder Paul,Zoder,Paul,25. Juli1872
12058,"Zöhrer, Eduard",Zöhrer Eduard,Zöhrer,Eduard,7. April1810
12059,"Zöhrer, Ferdinand",Zöhrer Ferdinand,Zöhrer,Ferdinand,17.Mai 1844
12060,"Zoiler, J. N",Zoiler J. N,Zoiler,J. N,.
12061,"Zois, Michelangelo Freiherr von",Zois Michelangelo,Zois,Michelangelo,18. Juni 1874
12062,"Zoller, Bruno",Zoller Bruno,Zoller,Bruno,.
12063,"Zoeller (auch Zoeller-Lionheart), Charlotte",Zoeller (auch Zoeller-Lionheart) Charlotte,Zoeller (auch Zoeller-Lionheart),Charlotte,.
12064,"Zoeller, Ludwig",Zoeller Ludwig,Zoeller,Ludwig,20.Febr. 1868
12065,"Zollern, Hans von",Zollern Hans von,Zollern,Hans von,.
12066,"Zolling, Theophil",Zolling Theophil,Zolling,Theophil,1. Oktober1881
12067,"Zöllner, Karl Friedrich",Zöllner Karl Friedrich,Zöllner,Karl Friedrich,19. Januar 1800
12068,"Zoellner, Margarete",Zoellner Margarete,Zoellner,Margarete,.
12069,"Zoozmann, Richard Hugo Max",Zoozmann Richard Hugo Max,Zoozmann,Richard Hugo Max,13. März 1863
12070,"Zoepf, Ludwig",Zoepf Ludwig,Zoepf,Ludwig,.
12071,"Zschalig, Heinrich",Zschalig Heinrich,Zschalig,Heinrich,20.Jan. 1848
12072,"Zschimmer, Gustav Emil",Zschimmer Gustav Emil,Zschimmer,Gustav Emil,20. April 1879
12073,"Zschokke, Jakob Friedrich Emil",Zschokke Jakob Friedrich Emil,Zschokke,Jakob Friedrich Emil,5.Juni 1808
12074,"Zschopau, W. von der",Zschopau W.,Zschopau,W.,.
12075,"Zuccalmaglio, Anton Wilhelm Florentin von",Zuccalmaglio Anton Wilhelm Florentin,Zuccalmaglio,Anton Wilhelm Florentin,12. April 1803
12076,"Zuccalmaglio, Vincenz v",Zuccalmaglio Vincenz,Zuccalmaglio,Vincenz,26. Mai 1806
12077,"Zuchhold, Hans Ernst",Zuchhold Hans Ernst,Zuchhold,Hans Ernst,14. Juni 1876
12078,"Zülch, Karl",Zülch Karl,Zülch,Karl,22. April 1847
12079,"Zumbroock, Ferdinand",Zumbroock Ferdinand,Zumbroock,Ferdinand,18. Juni 1816
12080,"Zumstein, Karl",Zumstein Karl,Zumstein,Karl,30. Jan.1867
12081,"Zünd, Luise",Zünd Luise,Zünd,Luise,8. Septbr. 1829
12082,"Zündt, Ernst Anton Joseph",Zündt Ernst Anton Joseph,Zündt,Ernst Anton Joseph,2. Mai 1897
12083,"Zurhellen-Pfleiderer, Else",Zurhellen-Pfleiderer Else,Zurhellen-Pfleiderer,Else,3. März 1877
12084,"Zürn, Dorrit",Zürn Dorrit,Zürn,Dorrit,.
12085,"Zu Rhein, Friedrich August Freiherr von",Zu Rhein Friedrich August,Zu Rhein,Friedrich August,7. August 1802
12086,"Zusner, Vincenz",Zusner Vincenz,Zusner,Vincenz,1Jan. 1803
12087,"Zwangssohn, Jakob",Zwangssohn Jakob,Zwangssohn,Jakob,.
12088,"Zweig, Stefan",Zweig Stefan,Zweig,Stefan,28. Nov.1881
12089,"Zwerenz, Karl Georg",Zwerenz Karl Georg,Zwerenz,Karl Georg,7. Juli 1874
12090,"Zwerger, Karl Dankwart",Zwerger Karl Dankwart,Zwerger,Karl Dankwart,11. Dezbr. 1889
12091,"Zwicker, Albert",Zwicker Albert,Zwicker,Albert,7. April1868
12092,"Zwickert, Max Witold",Zwickert Max Witold,Zwickert,Max Witold,9. Febr. 1862
12093,"Zwicky, Leberecht",Zwicky Leberecht,Zwicky,Leberecht,29. Nov. 1906
12094,"Zwicky, Nelly",Zwicky Nelly,Zwicky,Nelly,.
12095,Zyböri,Zyböri ,Zyböri,,.
12096,"Abel, Hans",Abel Hans,Abel,Hans,.
