Unnamed: 0,Name,Nachname Vorname,Nachname,Vorname,Geburtsdatum
3038,"Geiger, Benno",Geiger Benno,Geiger,Benno,21. Aug.1841
3039,"Geiger, Hermann",Geiger Hermann,Geiger,Hermann,.
3040,"Geisler, Karl Oskar",Geisler Karl Oskar,Geisler,Karl Oskar,21. Febr.1882
3041,"Geißel, Julius",Geißel Julius,Geißel,Julius,14.März 1827
3042,"Geißler, Friedrich Adolf",Geißler Friedrich Adolf,Geißler,Friedrich Adolf,16.Oktober 1836
3043,"Geißler, Karl Wilhelm",Geißler Karl Wilhelm,Geißler,Karl Wilhelm,.
3044,"Geißler, Friedrich Jakob Kurt",Geißler Friedrich Jakob Kurt,Geißler,Friedrich Jakob Kurt,1. April 1895
3045,"Geißler, Max",Geißler Max,Geißler,Max,15. Aug. 1863
3046,"Geißler, Franz Wilhelm Robert",Geißler Franz Wilhelm Robert,Geißler,Franz Wilhelm Robert,10. Juli 1859
3047,"Geißler, Wilhelmine",Geißler Wilhelmine,Geißler,Wilhelmine,26. April1868
3048,"Gelbcke, Ferdinand Adolf",Gelbcke Ferdinand Adolf,Gelbcke,Ferdinand Adolf,7. Febr. 1819
3049,"Gelbert, Paul",Gelbert Paul,Gelbert,Paul,23. Februar 1872
3050,"Gelderblom, Hermann",Gelderblom Hermann,Gelderblom,Hermann,6. November 1812
3051,"Geldern, Richard",Geldern Richard,Geldern,Richard,.
3052,"Gellert, Georg",Gellert Georg,Gellert,Georg,29. Januar 1860
3053,"Gellert, Grete",Gellert Grete,Gellert,Grete,.
3054,"Gellhorn, Mathilde von",Gellhorn Mathilde,Gellhorn,Mathilde,30. Jan.1868
3055,"Gelling, Hans",Gelling Hans,Gelling,Hans,.
3056,"Gelpke, Ernst Frdr",Gelpke Ernst Frdr,Gelpke,Ernst Frdr,15. Juli 1847
3057,"Geltch, Johann Friedrich",Geltch Johann Friedrich,Geltch,Johann Friedrich, April1908
3058,"Gemberg, Adine Adja Carlowna",Gemberg Adine Adja Carlowna,Gemberg,Adine Adja Carlowna,8. April1807
3059,"Gemmel, Helene",Gemmel Helene,Gemmel,Helene,18. Febr. 1815
3060,"Gemming, August",Gemming August,Gemming,August,. April 1860
3061,"Gemoll, Albert",Gemoll Albert,Gemoll,Albert,.
3062,"Gemuseus, Othmar",Gemuseus Othmar,Gemuseus,Othmar,.
3063,"Genast, Karl Albert Wilhelm",Genast Karl Albert Wilhelm,Genast,Karl Albert Wilhelm,17.August 1847
3064,"Genée, Rudolf",Genée Rudolf,Genée,Rudolf,1. Febr. 1823
3065,"Genelli, Christoph",Genelli Christoph,Genelli,Christoph,30. Juli 1822
3066,"Gengenbach, Franz August",Gengenbach Franz August,Gengenbach,Franz August,.
3067,"Gensel, Reinhold",Gensel Reinhold,Gensel,Reinhold,24.April 1800
3068,"Gensichen, Otto Franz",Gensichen Otto Franz,Gensichen,Otto Franz,1. August 1807
3069,"Gent, Paul",Gent Paul,Gent,Paul,24.Oktbr. 1882
3070,"Genth, Wilhelm",Genth Wilhelm,Genth,Wilhelm,.
3071,"Genthe, Friedrich Wilhelm",Genthe Friedrich Wilhelm,Genthe,Friedrich Wilhelm,28. März 1853
3072,"Gentzel, Adam Gottfried",Gentzel Adam Gottfried,Gentzel,Adam Gottfried,6. März1803
3073,Georg,Georg ,Georg,,28. Febr. 1805
3074,"Georg, Prinz von Preußen",Georg ,Georg,,5. Februar 1808
3075,"George, Amara",George Amara,George,Amara,.
3076,"George, Emil",George Emil,George,Emil,27. Juli 1863
3077,"George, Stefan",George Stefan,George,Stefan,.
3078,"Georgi, Amadeus, Georgi von der See",Georgi Amadeus,Georgi,Amadeus,3. Dezbr. 1812
3079,"Georgi, Amanda",Georgi Amanda,Georgi,Amanda,12. Juli1868
3080,"Georgi, Arnold Ascan",Georgi Arnold Ascan,Georgi,Arnold Ascan,.
3081,"Georgi, Otto August Karl",Georgi Otto August Karl,Georgi,Otto August Karl,26. April 1858
3082,"Georgi, Karl August",Georgi Karl August,Georgi,Karl August,3. April 1854
3083,Georgine,Georgine ,Georgine,,13. Januar 1855
3084,"Georgy, Ernst",Georgy Ernst,Georgy,Ernst,1. April1802
3085,"Ger, Gerhad",Ger Gerhad,Ger,Gerhad,.
3086,"Gerbel-Embach (bis zum Jahre 1879 einfach: Gerbel), C. Nikolaus von",Gerbel-Embach (bis zum Jahre 1879 einfach: Gerbel) C. Nikolaus,Gerbel-Embach (bis zum Jahre 1879 einfach: Gerbel),C. Nikolaus,.
3087,"Gerber, Hans",Gerber Hans,Gerber,Hans,.
3088,"Gerber, Paul Henry",Gerber Paul Henry,Gerber,Paul Henry,21. Mai1837
3089,"Gerbrandt, Marie",Gerbrandt Marie,Gerbrandt,Marie,5. Oktbr.1868
3090,"Gerdenitsch, Hans",Gerdenitsch Hans,Gerdenitsch,Hans,14. Mai 1863
3091,"Gerdinger, Hans",Gerdinger Hans,Gerdinger,Hans,3.Febr. 1861
3092,"Gerhard, Adele",Gerhard Adele,Gerhard,Adele,24.Dezember 1860
3093,"Gerhard, Adolar Johannes Dietrich",Gerhard Adolar Johannes Dietrich,Gerhard,Adolar Johannes Dietrich,.
3094,"Gerhard, C",Gerhard C,Gerhard,C,8. Juni1868
3095,"Gerhard, Hans Ferdinand",Gerhard Hans Ferdinand,Gerhard,Hans Ferdinand,17. Juni 1825
3096,"Gerhard, Similde",Gerhard Similde,Gerhard,Similde,.
3097,"Gerhardi, August",Gerhardi August,Gerhardi,August,14. März 1868
3098,"Gerhardt, Dagobert von",Gerhardt Dagobert,Gerhardt,Dagobert,9. Juli 1830
3099,"Gerhardt, Julie Henriette",Gerhardt Julie Henriette,Gerhardt,Julie Henriette,2. Mai 1864
3100,"Gerhart, Arthur",Gerhart Arthur,Gerhart,Arthur,12. Juli 1831
3101,"Gerhauser, Andreas",Gerhauser Andreas,Gerhauser,Andreas,.
3102,"Gerke, Friedrich Clemens",Gerke Friedrich Clemens,Gerke,Friedrich Clemens,.
3103,"Gerlach, Hugo",Gerlach Hugo,Gerlach,Hugo,.
3104,"Gerlach, Klara Julie",Gerlach Klara Julie,Gerlach,Klara Julie,22. Januar1801
3105,"Gerling, Reinhold Robert Oskar",Gerling Reinhold Robert Oskar,Gerling,Reinhold Robert Oskar,.
3106,"German, Wilhelm",German Wilhelm,German,Wilhelm,.
3107,Germanis,Germanis ,Germanis,,30. August 1863
3108,"Germany, Theodor",Germany Theodor,Germany,Theodor,2.April 1858
3109,"Germonik, Ludwig",Germonik Ludwig,Germonik,Ludwig,.
3110,"Gerner, Marie",Gerner Marie,Gerner,Marie,.
3111,"Gernitz, F. von",Gernitz F. von,Gernitz,F. von,29. Nov. 1823
3112,"Gernsdorf, Paul",Gernsdorf Paul,Gernsdorf,Paul,2. April1845
3113,"Gerok, Friedrich Karl (von",Gerok Friedrich Karl,Gerok,Friedrich Karl,.
3114,"Gerolstein, Julius",Gerolstein Julius,Gerolstein,Julius,.
3115,"Gersdorff, Ada von",Gersdorff Ada,Gersdorff,Ada,30. Jan. 1815
3116,"Gersdorff, Julius",Gersdorff Julius,Gersdorff,Julius,.
3117,"Gersdorff, Wolfgang von",Gersdorff Wolfgang,Gersdorff,Wolfgang,.
3118,"Gerson, Artur",Gerson Artur,Gerson,Artur,15. Juni 1849
3119,"Gerstäcker, Friedrich",Gerstäcker Friedrich,Gerstäcker,Friedrich,20. Septbr. 1876
3120,"Gerstel, Gustav",Gerstel Gustav,Gerstel,Gustav,23. Juli 1912
3121,"Gerstell, Albrecht",Gerstell Albrecht,Gerstell,Albrecht,10. Mai1816
3122,"Gerstenberg, Franz Karl Louis Heinrich Georg von",Gerstenberg Franz Karl Louis Heinrich Georg,Gerstenberg,Franz Karl Louis Heinrich Georg,16. Juni 1844
3123,"Gerstfeldt, Olga von",Gerstfeldt Olga,Gerstfeldt,Olga,24. Jan.1819
3124,"Gerstmann, Adolf",Gerstmann Adolf,Gerstmann,Adolf,15.Juli 1838
3125,"Gerstner, Paul",Gerstner Paul,Gerstner,Paul,.
3126,"Gert, Gertrud",Gert Gertrud,Gert,Gertrud,31. Juli1855
3127,"Gertler, Joseph",Gertler Joseph,Gertler,Joseph,.
3128,"Gertner, August Julius Heinrich",Gertner August Julius Heinrich,Gertner,August Julius Heinrich,.
3129,"Gervais, Friedrich Wilhelm Julius Eduard",Gervais Friedrich Wilhelm Julius Eduard,Gervais,Friedrich Wilhelm Julius Eduard,10. Jan.1852
3130,"Gery, Theo von",Gery Theo,Gery,Theo,28. Febr. 1827
3131,"Gerzer, Oskar",Gerzer Oskar,Gerzer,Oskar,24. Juli1808
3132,"Gesellhofen, Julius",Gesellhofen Julius,Gesellhofen,Julius,.
3133,"Gesky, Theodor",Gesky Theodor,Gesky,Theodor,.
3134,"Geßler, Friedrich",Geßler Friedrich,Geßler,Friedrich,.
3135,"Geucke, Kurt Ehrenfried",Geucke Kurt Ehrenfried,Geucke,Kurt Ehrenfried,27. Aug.1837
3136,"Geyder, August Friedrich Hermann",Geyder August Friedrich Hermann,Geyder,August Friedrich Hermann,14.Novbr. 1844
3137,"Geyern, Detlev von",Geyern Detlev von,Geyern,Detlev von,22. Juni 1864
3138,"Gheri, Leopold",Gheri Leopold,Gheri,Leopold,.
3139,"Gibara, Léo Felicie",Gibara Léo Felicie,Gibara,Léo Felicie,.
3140,"Giebelhausen, Karl Friedrich August",Giebelhausen Karl Friedrich August,Giebelhausen,Karl Friedrich August,1. Juli 1866
3141,"Giehrl, Emmy",Giehrl Emmy,Giehrl,Emmy,6. Juni 1865
3142,"Gierow, F",Gierow F,Gierow,F,28. Dezbr. 1800
3143,"Gierse, Albert",Gierse Albert,Gierse,Albert,1. Novbr. 1837
3144,"Gies, L",Gies L,Gies,L,8. Juni 1891
3145,"Giese, Franz",Giese Franz,Giese,Franz,31. März1851
3146,"Giese, Christian Joseph van der",Giese Christian Joseph,Giese,Christian Joseph,.
3147,"Gieseke, Bernhard Ludwig",Gieseke Bernhard Ludwig,Gieseke,Bernhard Ludwig, Dezbr. 1868
3148,"Giesel, Johann Georg",Giesel Johann Georg,Giesel,Johann Georg,3. März 1803
3149,"Giesen, Georg Ludwig",Giesen Georg Ludwig,Giesen,Georg Ludwig,28. September 1823
3150,"Giger von Eichkron, Hermine Baronin",Giger von Eichkron Hermine,Giger von Eichkron,Hermine,10.Januar 1890
3151,"Gigl, Alexander",Gigl Alexander,Gigl,Alexander,19. August 1818
3152,"Gildemeister, Karl",Gildemeister Karl,Gildemeister,Karl,26. August 1845
3153,"Gilles, Ferdinand",Gilles Ferdinand,Gilles,Ferdinand,2. Juni 1878
3154,"Gilm zu Rosenegg, Hermann von",Gilm zu Rosenegg Hermann,Gilm zu Rosenegg,Hermann,17. Juni 1857
3155,"Gilow, Christian",Gilow Christian,Gilow,Christian,22. Febr. 1856
3156,"Giltersberg, Konstantin von",Giltersberg Konstantin,Giltersberg,Konstantin,1. November 1812
3157,"Gimmerthal, Armin",Gimmerthal Armin,Gimmerthal,Armin,15. März1808
3158,"Ginsberg, Elsa",Ginsberg Elsa,Ginsberg,Elsa,.
3159,"Ginzkey, Franz Karl",Ginzkey Franz Karl,Ginzkey,Franz Karl,29. Juli 1858
3160,"Giorg, Kara",Giorg Kara,Giorg,Kara,.
3161,"Giorgi, Antonie di",Giorgi Antonie,Giorgi,Antonie,8. Septbr. 1871
3162,"Girardelli, Ettore",Girardelli Ettore,Girardelli,Ettore,.
3163,"Girgensohn, Lotta (Antonie Mathilde Katarina Charlotte",Girgensohn Lotta,Girgensohn,Lotta,.Juni 1842
3164,"Girndt, Otto",Girndt Otto,Girndt,Otto,8.Mai 1856
3165,"Girsberger, Johannes",Girsberger Johannes,Girsberger,Johannes, August 1869
3166,"Girsberger, Sophie",Girsberger Sophie,Girsberger,Sophie,.
3167,"Girth, Karl",Girth Karl,Girth,Karl,12. Septbr. 1808
3168,"Gisbert, Paul",Gisbert Paul,Gisbert,Paul,.
3169,"Giseke, Heinrich Ludwig Robert",Giseke Heinrich Ludwig Robert,Giseke,Heinrich Ludwig Robert,7. Aug. 1864
3170,"Gitschthaler, Anton",Gitschthaler Anton,Gitschthaler,Anton,.
3171,"Giugno, Karl",Giugno Karl,Giugno,Karl,15. Jan. 1827
3172,"Gizycka-Gosdowa, Karoline v",Gizycka-Gosdowa Karoline,Gizycka-Gosdowa,Karoline,21. Jan. 1868
3173,"Gjellerup, Karl",Gjellerup Karl,Gjellerup,Karl,10. August 1891
3174,"Glagau, Otto",Glagau Otto,Glagau,Otto,22. Januar1845
3175,"Glaise von Horstenau, Edmund",Glaise von Horstenau Edmund,Glaise von Horstenau,Edmund,2.Juni 1857
3176,"Glas, Elsa",Glas Elsa,Glas,Elsa,16. Januar1834
3177,"Glaser, Adolf",Glaser Adolf,Glaser,Adolf,27. Febr. 1882
3178,"Glaser, Joseph",Glaser Joseph,Glaser,Joseph,16. März1871
3179,"Glaser, Marie von",Glaser Marie,Glaser,Marie,.
3180,"Glaser, Rudolf",Glaser Rudolf,Glaser,Rudolf,7. Juni 1906
3181,"Glaß, Anna",Glaß Anna,Glaß,Anna,26.Septbr. 1871
3182,"Glaß, Richard",Glaß Richard,Glaß,Richard,14.Juni 1801
3183,"Glaß, Luise",Glaß Luise,Glaß,Luise,.
3184,"Glaßbrenner, Adolf",Glaßbrenner Adolf,Glaßbrenner,Adolf,13.Juli 1809
3185,"Glaubrecht, Otto",Glaubrecht Otto,Glaubrecht,Otto,4. Febr. 1857
3186,"Glehn, Nicolai von",Glehn Nicolai,Glehn,Nicolai,.März 1810
3187,"Gleich, Ferdinand Theodor",Gleich Ferdinand Theodor,Gleich,Ferdinand Theodor,.
3188,"Gleichen-Rußwurm, Karl Alexander Schiller, Freiherr von",Gleichen-Rußwurm Karl Alexander Schiller,Gleichen-Rußwurm,Karl Alexander Schiller,16. Juli 1841
3189,"Gleim, W",Gleim W,Gleim,W,22. Mai 1898
3190,"Gleye, Maria Carlita",Gleye Maria Carlita,Gleye,Maria Carlita,6. Nov. 1865
3191,"Glitsch, Konstantin",Glitsch Konstantin,Glitsch,Konstantin,.
3192,"Gloede, Karl",Gloede Karl,Gloede,Karl, Dezbr. 1877
3193,"Glogau, Bertha",Glogau Bertha,Glogau,Bertha,18. Aug. 1820
3194,"Glogau(-Nikolsburg), Otto",Glogau Otto,Glogau,Otto,28. Septbr.1814
3195,"Glökler, Johann Philipp",Glökler Johann Philipp,Glökler,Johann Philipp,.
3196,"Glück, Babette Elisabeth",Glück Babette Elisabeth,Glück,Babette Elisabeth,.
3197,"Glück, Karl",Glück Karl,Glück,Karl,12. Jan. 1819
3198,"Glücklich, Johann Christian",Glücklich Johann Christian,Glücklich,Johann Christian,5. Juli 1894
3199,"Glücksmann, Heinrich",Glücksmann Heinrich,Glücksmann,Heinrich, April 1887
3200,"Glümer, Claire von",Glümer Claire,Glümer,Claire,30. Juli 1839
3201,"Gluth, Oskar Raoul",Gluth Oskar Raoul,Gluth,Oskar Raoul,7. Juli 1864
3202,"Gmeiner, Christiane",Gmeiner Christiane,Gmeiner,Christiane, Oktbr. 1825
3203,"Gnade, Elisabeth",Gnade Elisabeth,Gnade,Elisabeth,16. September 1887
3204,"Gnauck(-Kühne), Elisabeth",Gnauck Elisabeth,Gnauck,Elisabeth,17. Juni 1840
3205,"Gneisenau, Marie Gräfin",Gneisenau Marie,Gneisenau,Marie,17.August 1863
3206,"Gneist, Dr. von",Gneist Dr.,Gneist,Dr.,2. Jan. 1850
3207,"Gnevkow, Anna",Gnevkow Anna,Gnevkow,Anna,.
3208,"Goebel, Eduard",Goebel Eduard,Goebel,Eduard,.
3209,"Goebel, Julius",Goebel Julius,Goebel,Julius,.
3210,"Goebeler, Dorothea",Goebeler Dorothea,Goebeler,Dorothea,1. März1831
3211,"Gödeke, Karl",Gödeke Karl,Gödeke,Karl,23. Mai1857
3212,"Goedicke, Elisabeth",Goedicke Elisabeth,Goedicke,Elisabeth,26. Oktober 1867
3213,"Godin, Amélie",Godin Amélie,Godin,Amélie,Februar 1849
3214,"Godow, Fritz",Godow Fritz,Godow,Fritz,21. Mai 1873
3215,"Goedsche, Hermann Ottomar Friedrich",Goedsche Hermann Ottomar Friedrich,Goedsche,Hermann Ottomar Friedrich,.
3216,"Goës, Herma",Goës Herma,Goës,Herma,27. Juli1851
3217,"Gogh, Otto von",Gogh Otto,Gogh,Otto,8. November 1878
3218,"Göhring, Edmund",Göhring Edmund,Göhring,Edmund,.
3219,"Gold, Alfred",Gold Alfred,Gold,Alfred,.
3220,"Goldammer, Leo",Goldammer Leo,Goldammer,Leo,28.Juli 1860
3221,"Goldbacher, Gregor",Goldbacher Gregor,Goldbacher,Gregor,28. Juni1874
3222,"Goldbaum, Wenzel",Goldbaum Wenzel,Goldbaum,Wenzel,7. April1813
3223,"Goldbaum, Wilhelm",Goldbaum Wilhelm,Goldbaum,Wilhelm, Juni 1899
3224,"Goldbeck, Eduard",Goldbeck Eduard,Goldbeck,Eduard,19.Septbr. 1881
3225,"Goldbeck-Löwe, Adolf",Goldbeck-Löwe Adolf,Goldbeck-Löwe,Adolf,6. Jan. 1843
3226,"Goldegg, Jtha Maria",Goldegg Jtha Maria,Goldegg,Jtha Maria,21.April 1866
3227,"Goldhammer, Karl Reinhold",Goldhammer Karl Reinhold,Goldhammer,Karl Reinhold,September 1885
3228,"Goldhann, Franz",Goldhann Franz,Goldhann,Franz,.
3229,"Goldhann, Ludwig",Goldhann Ludwig,Goldhann,Ludwig,26. August1808
3230,"Goldheim, Margarete",Goldheim Margarete,Goldheim,Margarete,10. Jan. 1859
3231,"Goldmar, Jon von",Goldmar Jon,Goldmar,Jon,8. Dezbr. 1823
3232,"Goldscheider, Paul",Goldscheider Paul,Goldscheider,Paul,.
3233,"Goldschmidt, Hermann",Goldschmidt Hermann,Goldschmidt,Hermann,.
3234,"Goldschmidt, Hermann",Goldschmidt Hermann,Goldschmidt,Hermann,14.Juli 1854
3235,"Goldschmidt, Jonas",Goldschmidt Jonas,Goldschmidt,Jonas,.
3236,"Goldschmidt, Kurt Walter",Goldschmidt Kurt Walter,Goldschmidt,Kurt Walter,.Juli 1860
3237,"Goldschmidt, Lothar",Goldschmidt Lothar,Goldschmidt,Lothar,28. März1806
3238,"Goldschmidt, Moritz",Goldschmidt Moritz,Goldschmidt,Moritz,2. Juli 1877
3239,"Goldschmidt, Wilhelm",Goldschmidt Wilhelm,Goldschmidt,Wilhelm,.Juni 1862
3240,"Goll, Heinrich",Goll Heinrich,Goll,Heinrich,26.September 1865
3241,"Goller, Elsa",Goller Elsa,Goller,Elsa,21. Dezember 1841
3242,"Göller, August",Göller August,Göller,August,26. April1820
3243,"Golling, Ernst",Golling Ernst,Golling,Ernst,1. Oktober1868
3244,"Gollmer, Richard",Gollmer Richard,Gollmer,Richard,8. Febr.1844
3245,"Göllner, Luise",Göllner Luise,Göllner,Luise,19.Oktober 1866
3246,"Gollnow, Ernst von",Gollnow Ernst,Gollnow,Ernst,4. Dezbr. 1866
3247,"Gollos, Reinhold",Gollos Reinhold,Gollos,Reinhold,.
3248,"Golm, Rudolf",Golm Rudolf,Golm,Rudolf,.
3249,"Golmen, Otto von",Golmen Otto,Golmen,Otto,17.Septbr. 1858
3250,"Goltdammer, Theodor",Goltdammer Theodor,Goltdammer,Theodor,12. Aug.1870
3251,"Goltermann, Heinrich",Goltermann Heinrich,Goltermann,Heinrich,.
3252,"Goltsch, Franz",Goltsch Franz,Goltsch,Franz,5. Jan. 1801
3253,"Goltz, Johanna Berta",Goltz Johanna Berta,Goltz,Johanna Berta,11. Mai 1823
3254,"Goltz, Bogumil",Goltz Bogumil,Goltz,Bogumil,8. Nov.1865
3255,"Goltz, Colmar Freiherr von der",Goltz Colmar,Goltz,Colmar,5. April 1845
3256,"Golz, Marcell",Golz Marcell,Golz,Marcell,20.März 1801
3257,"Gomoll, Wilhelm Konrad",Gomoll Wilhelm Konrad,Gomoll,Wilhelm Konrad,12. Aug. 1843
3258,"Gömöry, Anton von",Gömöry Anton,Gömöry,Anton,17. Jan. 1881
3259,"Gonner, Nikolaus",Gonner Nikolaus,Gonner,Nikolaus,14. Nov. 1877
3260,"Gonschorowski, Stanislaus",Gonschorowski Stanislaus,Gonschorowski,Stanislaus, Febr. 1852
3261,"Goosch, Arthur Julius",Goosch Arthur Julius,Goosch,Arthur Julius,8.Januar 1835
3262,"Gopčevič, Spiridion Graf",Gopčevič Spiridion,Gopčevič,Spiridion,6. Oktbr. 1853
3263,"Göpel, Karoline",Göpel Karoline,Göpel,Karoline,28. Novbr. 1876
3264,"Goepfert, Paul",Goepfert Paul,Goepfert,Paul,9. Juli 1855
3265,"Gorbach, Joseph",Gorbach Joseph,Gorbach,Joseph,22. Oktbr. 1809
3266,"Görde, A",Görde A,Görde,A,.
3267,"Gordon, Emy",Gordon Emy,Gordon,Emy,17.Septbr. 1870
3268,"Gordon, Marie",Gordon Marie,Gordon,Marie,.
3269,"Görg, Thor",Görg Thor,Görg,Thor,6. März1843
3270,"Görgen, Wilhelm",Görgen Wilhelm,Görgen,Wilhelm,13.November 1863
3271,"Gorges, Sidonie Klara",Gorges Sidonie Klara,Gorges,Sidonie Klara,.
3272,"Göring, Adolf Hugo",Göring Adolf Hugo,Göring,Adolf Hugo,30.April 1867
3273,"Goeringer, Jrma",Goeringer Jrma,Goeringer,Jrma,.
3274,"Görlich, Martin",Görlich Martin,Görlich,Martin,4. Dezbr. 1827
3275,"Görling, Adolf",Görling Adolf,Görling,Adolf,8. April 1910
3276,"Görlitz, Karl",Görlitz Karl,Görlitz,Karl,18.Septbr. 1880
3277,"Görlitzer, Heinrich",Görlitzer Heinrich,Görlitzer,Heinrich,12. April 1820
3278,"Gormann, Franz Clemens",Gormann Franz Clemens,Gormann,Franz Clemens,31.März 1830
3279,"Görner, Karl August",Görner Karl August,Görner,Karl August,4. Juni 1833
3280,"Görner, Nora",Görner Nora,Görner,Nora,9. Febr. 1834
3281,"Görres, Guido",Görres Guido,Görres,Guido,29. Januar 1806
3282,"Görß, Gustav",Görß Gustav,Görß,Gustav,14. Juli 1855
3283,"Goslar, Emma",Goslar Emma,Goslar,Emma,28.Mai 1805
3284,"Gosseck, Hermann",Gosseck Hermann,Gosseck,Hermann,4. Juni1845
3285,"Goßmann, Johann Bartholomäus",Goßmann Johann Bartholomäus,Goßmann,Johann Bartholomäus,23.Mai 1849
3286,"Goßmann, Friederike",Goßmann Friederike,Goßmann,Friederike,.
3287,"Gothe, Ludwig",Gothe Ludwig,Gothe,Ludwig,28. Septbr. 1811
3288,"Goethe, Wolfgang, Maximilian von",Goethe Wolfgang Maximilian,Goethe,Wolfgang Maximilian,.
3289,"Gött, Emil",Gött Emil,Gött,Emil,10. Juni1835
3290,"Gottberg, Adelaide von",Gottberg Adelaide,Gottberg,Adelaide, Septbr. 1839
3291,"Gottberg, Anna von",Gottberg Anna,Gottberg,Anna,13.April 1908
3292,"Goette, Rudolf",Goette Rudolf,Goette,Rudolf,.
3293,"Gottesheim, Rudolf Frhr. v",Gottesheim Rudolf,Gottesheim,Rudolf,10. März 1826
3294,"Gottfried, Detlev",Gottfried Detlev,Gottfried,Detlev,25. Febr.1860
3295,"Gotthardi, W. G",Gotthardi W. G,Gotthardi,W. G,12. März 1847
3296,"Gottheil, Walther",Gottheil Walther,Gottheil,Walther,.
3297,"Gotthelf, Ernst",Gotthelf Ernst,Gotthelf,Ernst,.
3298,"Gotthelf, Henriette",Gotthelf Henriette,Gotthelf,Henriette,15. März 1860
3299,"Gottlieb, Arthur",Gottlieb Arthur,Gottlieb,Arthur,.
3300,"Gottschalk, Hermann",Gottschalk Hermann,Gottschalk,Hermann,27. August 1856
3301,"Gottschall, Karl Rudolf von",Gottschall Karl Rudolf,Gottschall,Karl Rudolf,.
3302,"Gottscheid, Franz",Gottscheid Franz,Gottscheid,Franz,16. April 1868
3303,"Gottwald, Alfred",Gottwald Alfred,Gottwald,Alfred,21. März1909
