Unnamed: 0,Name,Nachname Vorname,Nachname,Vorname,Geburtsdatum
3000,"Gaßmann, Theodor",Gaßmann Theodor,Gaßmann,Theodor,21. April1857
3001,"Gassner, J. Franz",Gassner J. Franz,Gassner,J. Franz,9.Febr. 1834
3002,"Gast, Ernst Reinhard",Gast Ernst Reinhard,Gast,Ernst Reinhard,23. April 1828
3003,"Gattermann, Eugen Ludwig",Gattermann Eugen Ludwig,Gattermann,Eugen Ludwig,.
3004,"Gattersberg, Rolf",Gattersberg Rolf,Gattersberg,Rolf, Dezember 1866
3005,"Gatti, Edler von Campofiore",Gatti ,Gatti,,12. Oktbr. 1886
3006,"Gaudy, Alice Freiin von",Gaudy Alice Freiin von,Gaudy,Alice Freiin von,.
3007,"Gaudy, Franz Bernhard Heinrich Wilhelm v",Gaudy Franz Bernhard Heinrich Wilhelm,Gaudy,Franz Bernhard Heinrich Wilhelm,4. Oktbr.1869
3008,"Gaulke, Johannes",Gaulke Johannes,Gaulke,Johannes,10. März 1863
3009,"Gaulke, Ludwig Martin",Gaulke Ludwig Martin,Gaulke,Ludwig Martin,19. April1800
3010,"Gawalowski, Karl Wilhelm",Gawalowski Karl Wilhelm,Gawalowski,Karl Wilhelm,25.Juli 1869
3011,"Gayelin, Johann Georg",Gayelin Johann Georg,Gayelin,Johann Georg,20. Nov. 1819
3012,"Gayer, O",Gayer O,Gayer,O,30. Juni 1861
3013,"Gayette-Georgens, Jeanne Marie von",Gayette-Georgens Jeanne Marie,Gayette-Georgens,Jeanne Marie, Februar 1889
3014,"Gayworowsky, Olga von",Gayworowsky Olga,Gayworowsky,Olga,.
3015,"Gburek, Paul",Gburek Paul,Gburek,Paul,11. Oktober 1817
3016,"Gebauer, Hulda",Gebauer Hulda,Gebauer,Hulda,15. Septbr. 1891
3017,"Gebauer, Ottomar",Gebauer Ottomar,Gebauer,Ottomar,1. März 1875
3018,"Gebhardt, Heinrich Ernst",Gebhardt Heinrich Ernst,Gebhardt,Heinrich Ernst,26. Septbr. 1857
3019,"Gebhardt, Ferdinand",Gebhardt Ferdinand,Gebhardt,Ferdinand, Mai 1845
3020,"Gebhardt, Florentine",Gebhardt Florentine,Gebhardt,Florentine,12. Juli 1832
3021,"Gebhardt, Georg Jakob Heinrich",Gebhardt Georg Jakob Heinrich,Gebhardt,Georg Jakob Heinrich,.November 1863
3022,"Gebler, Anna",Gebler Anna,Gebler,Anna,18. April 1865
3023,"Gebuhr, August",Gebuhr August,Gebuhr,August,18. Juni 1817
3024,"Geck, Rudolf",Geck Rudolf,Geck,Rudolf,.
3025,Gedeon von der Heide,Gedeon von der Heide ,Gedeon von der Heide,,31. Aug.1845
3026,"Geerling, Karl Franz Ambrosius",Geerling Karl Franz Ambrosius,Geerling,Karl Franz Ambrosius,8. Juni1868
3027,"Geffken, Friedrich Heinrich",Geffken Friedrich Heinrich,Geffken,Friedrich Heinrich,.
3028,"Gehren, Wilhelmine von",Gehren Wilhelmine,Gehren,Wilhelmine,11. März 1836
3029,"Gehrhardt, Mary",Gehrhardt Mary,Gehrhardt,Mary,9. Dezbr. 1830
3030,"Gehricke, Friedrich Leopold",Gehricke Friedrich Leopold,Gehricke,Friedrich Leopold,10. März 1907
3031,"Gehring, Hans",Gehring Hans,Gehring,Hans,.
3032,"Gehring, Margarete",Gehring Margarete,Gehring,Margarete,10. November 1812
3033,"Gehrke, Albert",Gehrke Albert,Gehrke,Albert,25.Mai 1860
3034,"Geib, August",Geib August,Geib,August,.April 1864
3035,"Geibel, Emanuel (von",Geibel Emanuel,Geibel,Emanuel,25. März1840
3036,"Geibel, Peter",Geibel Peter,Geibel,Peter,10. April 1842
3037,"Geiger, Albert",Geiger Albert,Geiger,Albert,17. Oktober 1815
