Unnamed: 0,Name,Nachname Vorname,Nachname,Vorname,Geburtsdatum
9000,"Schaer, Wilhelm",Schaer Wilhelm,Schaer,Wilhelm,24. Mai1866
9001,"Scharbusch, Franz",Scharbusch Franz,Scharbusch,Franz,.
9002,"Scharf, Ludwig",Scharf Ludwig,Scharf,Ludwig,25. März1844
9003,"Scharf, Ludwig",Scharf Ludwig,Scharf,Ludwig,2. Februar 1864
9004,"Scharfenberg, Ernst",Scharfenberg Ernst,Scharfenberg,Ernst,.
9005,"Scharfenort, Hedwig",Scharfenort Hedwig,Scharfenort,Hedwig,.
9006,"Scharffenberg, Sigismund",Scharffenberg Sigismund,Scharffenberg,Sigismund,.
9007,"Scharl, Robert",Scharl Robert,Scharl,Robert,15.März 1873
9008,"Scharlan, Willi",Scharlan Willi,Scharlan,Willi,10. Oktober 1849
9009,"Scharnweber, P",Scharnweber P,Scharnweber,P, Juli 1873
9010,"Scharre, Otto Max",Scharre Otto Max,Scharre,Otto Max,26. Septbr. 1867
9011,"Scharrelmann, Heinrich",Scharrelmann Heinrich,Scharrelmann,Heinrich,1.Dezbr. 1871
9012,"Scharrelmann, Wilhelm",Scharrelmann Wilhelm,Scharrelmann,Wilhelm,3. Septbr. 1875
9013,"Schartenmayer, Philipp Ulrich",Schartenmayer Philipp Ulrich,Schartenmayer,Philipp Ulrich,.
9014,"Schartmann, Karl",Schartmann Karl,Schartmann,Karl,21. Juli 1802
9015,"Schätzler-Perasini, Gebhard",Schätzler-Perasini Gebhard,Schätzler-Perasini,Gebhard,4. Septbr. 1866
9016,"Schatzmayer, Emil",Schatzmayer Emil,Schatzmayer,Emil,6. November 1835
9017,"Schaubach, Friedrich",Schaubach Friedrich,Schaubach,Friedrich,.Januar 1827
9018,"Schaubach, Georg Karl Friedrich",Schaubach Georg Karl Friedrich,Schaubach,Georg Karl Friedrich,25. Oktober 1833
9019,"Schauenburg, Karl Hermann",Schauenburg Karl Hermann,Schauenburg,Karl Hermann,23. April 1819
9020,"Schauer, Elisabeth",Schauer Elisabeth,Schauer,Elisabeth,.
9021,"Schaufert, Hippolyt August",Schaufert Hippolyt August,Schaufert,Hippolyt August,5. März 1835
9022,"Schaukal, Richard",Schaukal Richard,Schaukal,Richard,27. Mai 1874
9023,"Schauke, B",Schauke B,Schauke,B,.
9024,"Schaumberg (auch HoffmannSchaumberg), Georg",Schaumberg  Georg,Schaumberg ,Georg,30. Oktober 1855
9025,"Schaumberger, Heinrich",Schaumberger Heinrich,Schaumberger,Heinrich,15. Dezember 1843
9026,"Schaumberger, Julius",Schaumberger Julius,Schaumberger,Julius,29. August 1858
9027,"Schaumburg, Paul",Schaumburg Paul,Schaumburg,Paul,.
9028,"Schauroth, Charlotte Baronin von",Schauroth Charlotte,Schauroth,Charlotte,.
9029,"Schawaller, Fritz",Schawaller Fritz,Schawaller,Fritz,15. Dezbr. 1860
9030,"Scheel, Emilie",Scheel Emilie,Scheel,Emilie,14. August1897
9031,"Scheele, Karl",Scheele Karl,Scheele,Karl,31. Mai1810
9032,"Scheerbart, Paul Karl Wilhelm",Scheerbart Paul Karl Wilhelm,Scheerbart,Paul Karl Wilhelm,8. Januar 1863
9033,"Scheerenberg, Hans",Scheerenberg Hans,Scheerenberg,Hans,.
9034,"Scheffel, Joseph Viktor von",Scheffel Joseph Viktor,Scheffel,Joseph Viktor,16. Febr. 1826
9035,"Scheffel, Josephine",Scheffel Josephine,Scheffel,Josephine,22. Oktbr. 1805
9036,"Scheffel, Reinhold",Scheffel Reinhold,Scheffel,Reinhold,.
9037,"Scheffer, Thassilo von",Scheffer Thassilo,Scheffer,Thassilo,1.Juli 1873
9038,"Scheffer, Theodor",Scheffer Theodor,Scheffer,Theodor,1. Oktober 1872
9039,"Scheibe, Theodor",Scheibe Theodor,Scheibe,Theodor,18.August 1820
9040,"Scheibe(-Mervarid), Luz",Scheibe Luz,Scheibe,Luz,.
9041,"Scheibenhof, Betty-Rosl von",Scheibenhof Betty-Rosl,Scheibenhof,Betty-Rosl,10. Septbr. 1885
9042,"Scheibert, Justus",Scheibert Justus,Scheibert,Justus,16.Mai 1831
9043,"Scheicher, Joseph",Scheicher Joseph,Scheicher,Joseph,18.Febr. 1842
9044,"Scheichl, Franz",Scheichl Franz,Scheichl,Franz,.
9045,"Scheid, Richard",Scheid Richard,Scheid,Richard,11. Mai1876
9046,"Scheidlin, Cäsar Edler v",Scheidlin Cäsar,Scheidlin,Cäsar,24. April 1842
9047,"Scheidlin(-Wenrich), Karoline Edle von",Scheidlin Karoline,Scheidlin,Karoline,10. Juli 1824
9048,"Scheifele, Johann Georg",Scheifele Johann Georg,Scheifele,Johann Georg,8. Februar 1825
9049,"Scheiner, Leopold",Scheiner Leopold,Scheiner,Leopold,.
9050,"Scheirl, Friedrich Franz",Scheirl Friedrich Franz,Scheirl,Friedrich Franz,.
9051,"Schelble, F. J",Schelble F. J,Schelble,F. J,.
9052,"Scheliha, Maria Doris von",Scheliha Maria Doris,Scheliha,Maria Doris,Juli 1847
9053,"Schellander, Jrene von",Schellander Jrene von,Schellander,Jrene von,3. April 1873
9054,"Schellbach, Reinhold",Schellbach Reinhold,Schellbach,Reinhold,2. Mai1825
9055,"Schellenberg, Ernst Viktor",Schellenberg Ernst Viktor,Schellenberg,Ernst Viktor,19. Juli1896
9056,"Schellenberg, Ernst Ludwig",Schellenberg Ernst Ludwig,Schellenberg,Ernst Ludwig,16.Juni 1883
