Unnamed: 0,Name,Nachname Vorname,Nachname,Vorname,Geburtsdatum
1068,"Born, G. F",Born G. F,Born,G. F,.
1069,"Born, Stephan",Born Stephan,Born,Stephan,28. Dezbr.1824
1070,"Bornefeld, Wilhelm",Bornefeld Wilhelm,Bornefeld,Wilhelm,2. April 1834
1071,"Bornemann, Robert",Bornemann Robert,Bornemann,Robert,29. Aug. 1857
1072,"Bornemann, Wilhelm",Bornemann Wilhelm,Bornemann,Wilhelm,14. Mai 1860
1073,"Börner, Sophie",Börner Sophie,Börner,Sophie,.
1074,"Borngräber, Otto",Borngräber Otto,Borngräber,Otto,19.Novbr. 1874
1075,"Bornhak, Friederike",Bornhak Friederike,Bornhak,Friederike,18. Septbr. 1835
1076,"Born-Ommer, Alfons",Born-Ommer Alfons,Born-Ommer,Alfons,.
1077,"Bornowski, Theodor",Bornowski Theodor,Bornowski,Theodor,25. Oktober 1829
1078,"Bornstedt, Luise von",Bornstedt Luise,Bornstedt,Luise,11. Dezbr. 1807
1079,"Bornstein, Arthur",Bornstein Arthur,Bornstein,Arthur,23.März 1867
1080,"Bornstein, Paul",Bornstein Paul,Bornstein,Paul,8. April1868
1081,"Börnstein, Heinrich",Börnstein Heinrich,Börnstein,Heinrich,4. Novbr. 1805
1082,"Börnstein, Karl",Börnstein Karl,Börnstein,Karl,.
1083,"Bors, Alfred Friedrich",Bors Alfred Friedrich,Bors,Alfred Friedrich,.
1084,"Bors (auch: Bors de Borsod), August Baron",Bors August,Bors,August,.
1085,"Borstell, Friedrich",Borstell Friedrich,Borstell,Friedrich,.
1086,"Bosch, Jda",Bosch Jda,Bosch,Jda,27. Juli 1856
1087,"Boesch, Nina",Boesch Nina,Boesch,Nina,.
1088,"Boese, Jenny",Boese Jenny,Boese,Jenny,.
1089,"Bossart, Gustav Friedrich",Bossart Gustav Friedrich,Bossart,Gustav Friedrich,.
1090,"Bosse, Auguste von",Bosse Auguste,Bosse,Auguste,10. Oktbr. 1829
1091,"Bosse, Georg von",Bosse Georg von,Bosse,Georg von,3. Novbr. 1862
1092,"Bosse, Heinrich Christoph Friedrich",Bosse Heinrich Christoph Friedrich,Bosse,Heinrich Christoph Friedrich,14. Januar 1848
1093,"Boesser, Julius",Boesser Julius,Boesser,Julius,.
1094,"Boßhart, Jakob",Boßhart Jakob,Boßhart,Jakob,7. Aug.1862
1095,"Bossi-Fredigotti, Jtha Maria Gräfin",Bossi-Fredigotti Jtha Maria,Bossi-Fredigotti,Jtha Maria,26. Febr. 1864
1096,"Bossong, Franz",Bossong Franz,Bossong,Franz,1. Januar 1887
1097,"Both, L. W",Both L. W,Both,L. W,.
1098,"Bothfeld, Julius",Bothfeld Julius,Bothfeld,Julius,.
1099,"Boethke, Karl August",Boethke Karl August,Boethke,Karl August,2. Febr. 1830
1100,"Böttcher, Dorothea",Böttcher Dorothea,Böttcher,Dorothea,.
1101,"Böttcher, Friedrich",Böttcher Friedrich,Böttcher,Friedrich,13. Febr. 1842
1102,"Böttcher, Johann Karl",Böttcher Johann Karl,Böttcher,Johann Karl,12. Mai 1852
1103,"Böttcher, Karl Julius",Böttcher Karl Julius,Böttcher,Karl Julius,11. Mai 1831
1104,"Böttcher, Mathilde von",Böttcher Mathilde,Böttcher,Mathilde,28. November 1840
1105,"Böttcher, Maximilian Paul Richard",Böttcher Maximilian Paul Richard,Böttcher,Maximilian Paul Richard,20. Juni 1872
1106,"Böttcher, Viktor",Böttcher Viktor,Böttcher,Viktor,12. Novbr. 1834
1107,"Böttger, Adolf",Böttger Adolf,Böttger,Adolf,21.Mai 1815
1108,"Böttger, Clementine",Böttger Clementine,Böttger,Clementine,.
1109,"Böttger, Ernst",Böttger Ernst,Böttger,Ernst,6. Dezbr. 1878
1110,"Bötticher, Clarissa",Bötticher Clarissa,Bötticher,Clarissa,19.Juni 1889
1111,"Bötticher, Hans Georg",Bötticher Hans Georg,Bötticher,Hans Georg,.
1112,"Bournot, Moritz Heinrich",Bournot Moritz Heinrich,Bournot,Moritz Heinrich,5. März 1829
1113,"Bourset, Adolf",Bourset Adolf,Bourset,Adolf,11.Februar 1844
1114,"Bowitsch, Ludwig",Bowitsch Ludwig,Bowitsch,Ludwig, April1839
1115,"Boxberger, Emil v",Boxberger Emil,Boxberger,Emil,20. Januar 1898
1116,"Boxberger, Richard von",Boxberger Richard,Boxberger,Richard,6. Jan. 1843
1117,"Boy, Johanna",Boy Johanna,Boy,Johanna,.
1118,"Boy-Ed, Jda",Boy-Ed Jda,Boy-Ed,Jda,17.April 1852
1119,"Boyen, Marc",Boyen Marc,Boyen,Marc,.
1120,"Boysen, Johannes Wilhelm",Boysen Johannes Wilhelm,Boysen,Johannes Wilhelm,24. Jan. 1834
1121,"Brachvogel, Albert Emil",Brachvogel Albert Emil,Brachvogel,Albert Emil,29. April 1824
1122,"Brachvogel, Carry",Brachvogel Carry,Brachvogel,Carry,.
1123,"Brachvogel, Udo",Brachvogel Udo,Brachvogel,Udo,.
1124,"Bracke, Toni",Bracke Toni,Bracke,Toni,5. April 1857
1125,"Brackel, Ferdinande Maria Theresia Freiin von",Brackel Ferdinande Maria Theresia,Brackel,Ferdinande Maria Theresia,24. Novbr. 1835
1126,"Brackel, Franz Karl Freiherr v",Brackel Franz Karl,Brackel,Franz Karl,19. Juli 1875
1127,"Brahmüller, G",Brahmüller G,Brahmüller,G,.
1128,"Bramer, Jeannette",Bramer Jeannette,Bramer,Jeannette,13.September 1845
1129,"Branchart, Albert",Branchart Albert,Branchart,Albert,24.Novbr. 1813
1130,"Branco, Dilia Thelyma Nelly",Branco Dilia Thelyma Nelly,Branco,Dilia Thelyma Nelly,28. Febr. 1894
1131,"Brand, Franz",Brand Franz,Brand,Franz,.
1132,"Brand, H",Brand H,Brand,H,.
1133,"Brand, Julius",Brand Julius,Brand,Julius,.
1134,"Brand, Silvia",Brand Silvia,Brand,Silvia,28. Mai1848
1135,"Brand, Wilhelm F",Brand Wilhelm F,Brand,Wilhelm F,.
1136,"Brand-Vrabély, S",Brand-Vrabély S,Brand-Vrabély,S,.
1137,"Brandau, Hermann",Brandau Hermann,Brandau,Hermann,14. Juli 1870
1138,"Brandenburg, Bernh. v",Brandenburg Bernh.,Brandenburg,Bernh.,.
1139,"Brandenburg, Hans",Brandenburg Hans,Brandenburg,Hans,18. Oktbr. 1885
1140,"Brandes, Friedrich H",Brandes Friedrich H,Brandes,Friedrich H,März 1853
1141,"Brandes, Friedrich",Brandes Friedrich,Brandes,Friedrich,18.Novbr. 1864
1142,"Brandes, Wilhelm",Brandes Wilhelm,Brandes,Wilhelm,21. Juli1854
1143,"Brandis-Zelion, Emma von",Brandis-Zelion Emma von,Brandis-Zelion,Emma von,24. Novbr. 1840
1144,"Brandner, Paul",Brandner Paul,Brandner,Paul,.
1145,"Brandrup, Marie",Brandrup Marie,Brandrup,Marie,19. März 1848
1146,"Brands, Wilhelm",Brands Wilhelm,Brands,Wilhelm,6. März 1857
1147,"Brandstädter, Hermann",Brandstädter Hermann,Brandstädter,Hermann,11. Dezbr. 1851
1148,"Brandstäter, Franz Emil",Brandstäter Franz Emil,Brandstäter,Franz Emil,.
1149,"Brandt, Adolf",Brandt Adolf,Brandt,Adolf,Juni 1876
1150,"Brandt, Bertha",Brandt Bertha,Brandt,Bertha,9.Jan. 1899
1151,"Brandt, Oskar",Brandt Oskar,Brandt,Oskar,.
1152,"Brandt, Rolf",Brandt Rolf,Brandt,Rolf,1. Febr.1886
