Original,Name Vorname,Name,Vorname,Titel,Sonstiges
"Ploch, Frl. Mathilde",Ploch Mathilde,Ploch,Mathilde,Frl.,
"Ploennies, Maria von",Ploennies Maria,Ploennies,Maria,,von
"Plönnies, Luise v",Plönnies Luise,Plönnies,Luise,,v
"Plothow, Frau Anna",Plothow Anna,Plothow,Anna,Frau,
"Plüddemann, Frl. Elfriede",Plüddemann Elfriede,Plüddemann,Elfriede,Frl.,
"Plümacher, Frau Olga",Plümacher Olga,Plümacher,Olga,Frau,
"Plümer, E",Plümer E,Plümer,E,,
"Pochhammer, Frau Margarete",Pochhammer Margarete,Pochhammer,Margarete,Frau,
"Podzahradsky, Frau Käthe",Podzahradsky Käthe,Podzahradsky,Käthe,Frau,
"Pohl, Henriette",Pohl Henriette,Pohl,Henriette,,
"Pohle, Therese",Pohle Therese,Pohle,Therese,,
"Pohlidal, Frau Helene",Pohlidal Helene,Pohlidal,Helene,Frau,
"Polenz, Hertha v",Polenz Hertha,Polenz,Hertha,,v
"Polier, Marie Elisabeth",Polier Marie Elisabeth,Polier,Marie Elisabeth,,
"Polko, Frau Elise",Polko Elise,Polko,Elise,Frau,
"Polko, Elise",Polko Elise,Polko,Elise,,
"Polko, Elise",Polko Elise,Polko,Elise,,
"Polko, Elise",Polko Elise,Polko,Elise,,
"Pollak, Alice",Pollak Alice,Pollak,Alice,,
"Pommerenike, Frl. Emma",Pommerenike Emma,Pommerenike,Emma,Frl.,
"Pommerin, Maria",Pommerin Maria,Pommerin,Maria,,
"Pomtow, Frau Anna",Pomtow Anna,Pomtow,Anna,Frau,
"Pongrácz, Gräfin Anna",Pongrácz Anna,Pongrácz,Anna,Gräfin,
"Poninska, Adelheid Gräfin",Poninska Adelheid,Poninska,Adelheid,Gräfin,
"Poninska, Gräfin W",Poninska W,Poninska,W,Gräfin,
"Ponsonby, Lady Emily",Ponsonby Emily,Ponsonby,Emily,Lady,
"Pontini, Rosa",Pontini Rosa,Pontini,Rosa,,
"Popp, Frau Adelheid",Popp Adelheid,Popp,Adelheid,Frau,
"Poppée, Frl. Dolphine",Poppée Dolphine,Poppée,Dolphine,Frl.,
"Popper, Frl. Wilma",Popper Wilma,Popper,Wilma,Frl.,
"Pornitz, Laura",Pornitz Laura,Pornitz,Laura,,
"Port, Frl. Frieda Jos",Port Jos Frieda,Port,Jos Frieda,Frl.,
"Poschinger, Frau Kommerzienrat Heriberte von",Poschinger Heriberte,Poschinger,Heriberte,Frau Kommerzienrat,von
"Poschinger, Frau Margarete Edle von",Poschinger Margarete,Poschinger,Margarete,Frau,Edle von
"Possaner, Dr. G. Baronin",Possaner G.,Possaner,G.,Dr. Baronin,
"Pössenbacher, Frau Marie",Pössenbacher Marie,Pössenbacher,Marie,Frau,
"Postler, Frl. Elisabeth Marie Luise Ernestine Hulda",Postler Elisabeth Ernestine Hulda Marie Luise,Postler,Elisabeth Ernestine Hulda Marie Luise,Frl.,
"Postumus, Karl",Postumus Karl,Postumus,Karl,,
"Potier, Freiin Hermance",Potier Hermance,Potier,Hermance,Freiin,
"Pott, Gabriele von",Pott Gabriele,Pott,Gabriele,,von
"Pötting, Gräfin Hedwig",Pötting Hedwig,Pötting,Hedwig,Gräfin,
"Pozorny, Frl. Tony",Pozorny Tony,Pozorny,Tony,Frl.,
"Prager, Frau Mathilde",Prager Mathilde,Prager,Mathilde,Frau,
"Prato, Katharina",Prato Katharina,Prato,Katharina,,
"Prechtler, Maria",Prechtler Maria,Prechtler,Maria,,
"Preindlsberger-Mrazovič, Frau Milena",Preindlsberger-Mrazovič Milena,Preindlsberger-Mrazovič,Milena,Frau,
"Pressentin-Rautter, Frau Margot v",Pressentin-Rautter Margot,Pressentin-Rautter,Margot,Frau,v
"Pressentin-Rautter, Margot v",Pressentin-Rautter Margot,Pressentin-Rautter,Margot,,v
"Preuschen-Telmann, Frau Baronin Hermione von",Preuschen-Telmann Hermione,Preuschen-Telmann,Hermione,Frau Baronin,von
"Preuss-Laudien, Frau Henriette",Preuss-Laudien Henriette,Preuss-Laudien,Henriette,Frau,
"Preusser, Annette",Preusser Annette,Preusser,Annette,,
"Preusser, Louise und Gräfin Olga zu Eulenburg",Preusser Louise,Preusser,Louise,,Gräfin Olga zu Oldenburg
Primula Vera,Primula Vera,Primula Vera,,,
"Prinzhorn, Wilhelmine von",Prinzhorn Wilhelmine,Prinzhorn,Wilhelmine,,von
"Prochazka, Frau Tony",Prochazka Tony,Prochazka,Tony,Frau,
"Prockesch, Louise",Prockesch Louise,Prockesch,Louise,,
"Proelss, Frau Sera",Proelss Sera,Proelss,Sera,Frau,
"Prohl, Frau Hedwig",Prohl Hedwig,Prohl,Hedwig,Frau,
"Prohler, Clara",Prohler Clara,Prohler,Clara,,
"Prokesch-Osten, Gräfin Friederike",Prokesch-Osten Friederike,Prokesch-Osten,Friederike,Gräfin,
"Pröpper, Frau Lovica Edle v",Pröpper Lovica,Pröpper,Lovica,Frau,Edle v
"Pröpper, Lovica v",Pröpper Lovica,Pröpper,Lovica,,v
"Proschko, Frl. Hermine Camilla",Proschko Hermine Camilla,Proschko,Hermine Camilla,Frl.,
"Proschko, Hermine Camilla",Proschko Hermine Camilla,Proschko,Hermine Camilla,,
"Provence, Karoline",Provence Karoline,Provence,Karoline,,
"Pruckner, Karoline",Pruckner Karoline,Pruckner,Karoline,,
"Puddicombe, Julie",Puddicombe Julie,Puddicombe,Julie,,
"Pudor, Frau Emma",Pudor Emma,Pudor,Emma,Frau,
"Pufahl, Katharina",Pufahl Katharina,Pufahl,Katharina,,
"Pulszky, Therese",Pulszky Therese,Pulszky,Therese,,
"Pulvermacher, Frl. Auguste",Pulvermacher Auguste,Pulvermacher,Auguste,Frl.,
"Pupp-Mattoni, Frau Marie",Pupp-Mattoni Marie,Pupp-Mattoni,Marie,Frau,
"Pursch, Arminie",Pursch Arminie,Pursch,Arminie,,
"Purschke-Heimel, Frau Marie Sidonie",Purschke-Heimel Sidonie Marie,Purschke-Heimel,Sidonie Marie,Frau,
"Püschel, Emila",Püschel Emila,Püschel,Emila,,
"Putlitz, Elis. zu",Putlitz zu Elis.,Putlitz,zu Elis.,,
"Puttkamer, Frau Staatssekretär",Puttkamer,Puttkamer,,Frau Staatssekretär,
"Puttkamer, Hannely v",Puttkamer Hannely,Puttkamer,Hannely,,v
"Puttkamer-Schickerwitz, Freifrau Adelaide von",Puttkamer-Schickerwitz Adelaide,Puttkamer-Schickerwitz,Adelaide,Freifrau,von
"Püttner, Frl. Elise",Püttner Elise,Püttner,Elise,Frl.,
"Pütz zu Pütz, Frau Everilda Eleonora Felicité von",Pütz zu Pütz Felicité Everilda Eleonora,Pütz zu Pütz,Felicité Everilda Eleonora,Frau,von
"Quäbicker, Laura",Quäbicker Laura,Quäbicker,Laura,,
"Quadt, Frau Gräfin Julie",Quadt Julie,Quadt,Julie,Frau Gräfin,
"Quandt, Clara",Quandt Clara,Quandt,Clara,,
"Quednow, Frau Mathilde",Quednow Mathilde,Quednow,Mathilde,Frau,
"Quiding, Charlotte",Quiding Charlotte,Quiding,Charlotte,,
"R., Agnes",R. Agnes,R.,Agnes,,
"Rabanus, Gabriele",Rabanus Gabriele,Rabanus,Gabriele,,
"Rabe, Frau Pauline",Rabe Pauline,Rabe,Pauline,Frau,
"Rabenau, Freifrau J. v",Rabenau J.,Rabenau,J.,Freifrau,v
"Racowitzà-Schewitsch, Frau Helene von",Racowitzà-Schewitsch Helene,Racowitzà-Schewitsch,Helene,Frau,von
"Radau, Emilie",Radau Emilie,Radau,Emilie,,
"Radics-Kaltenbrunner, Frau Hedwig von",Radics-Kaltenbrunner Hedwig,Radics-Kaltenbrunner,Hedwig,Frau,von
"Radius, Anna",Radius Anna,Radius,Anna,,
"Radkersberg-Radnicki, M. v",Radkersberg-Radnicki M.,Radkersberg-Radnicki,M.,,v
"Radnicka, Maria, Frau Hauptmann",Radnicka Frau Hauptmann,Radnicka,Frau Hauptmann,,
"Rafael, L",Rafael L,Rafael,L,,
"Raff, C",Raff C,Raff,C,,
"Rahe, Marie",Rahe Marie,Rahe,Marie,,
Rahel,Rahel,Rahel,,,
"Raible, Frau Marie",Raible Marie,Raible,Marie,Frau,
"Raimund, Golo",Raimund Golo,Raimund,Golo,,
"Raimund, Golo",Raimund Golo,Raimund,Golo,,
"Ramann, Lina",Ramann Lina,Ramann,Lina,,
"Ramann, Lina",Ramann Lina,Ramann,Lina,,
"Ramm, Johanna",Ramm Johanna,Ramm,Johanna,,
"Rammelmeyer, Frau Martha",Rammelmeyer Martha,Rammelmeyer,Martha,Frau,
"Ránlom, Josephine",Ránlom Josephine,Ránlom,Josephine,,
"Ranold, Viktorie",Ranold Viktorie,Ranold,Viktorie,,
Rapp di Pauli,Rapp di Pauli,Rapp di Pauli,,,
"Rapp, Theodor",Rapp Theodor,Rapp,Theodor,,
"Rapp, Wilhelmine Susanne",Rapp Susanne Wilhelmine,Rapp,Susanne Wilhelmine,,
"Rappard, Dora",Rappard Dora,Rappard,Dora,,
"Rappold, Jenny",Rappold Jenny,Rappold,Jenny,,
"Rasch, Betty",Rasch Betty,Rasch,Betty,,
"Rasch, Jul",Rasch Jul,Rasch,Jul,,
"Rasch, Frau Marie",Rasch Marie,Rasch,Marie,Frau,
"Raschid-Bey, Madame Helena al",Raschid-Bey Helena,Raschid-Bey,Helena,Madame,al
"Raschke, Frl. Marie",Raschke Marie,Raschke,Marie,Frl.,
"Rasmus, Frl. Melanie",Rasmus Melanie,Rasmus,Melanie,Frl.,
"Rasmussen, Sara",Rasmussen Sara,Rasmussen,Sara,,
"Rathgeber, Marie",Rathgeber Marie,Rathgeber,Marie,,
"Rättig, Agnes",Rättig Agnes,Rättig,Agnes,,
"Rauch, Else v",Rauch Else,Rauch,Else,,v
"Rauchenegger, Sophie v",Rauchenegger Sophie,Rauchenegger,Sophie,,v
"Rausch, Emma",Rausch Emma,Rausch,Emma,,
"Rausche-Rauss, Frida",Rausche-Rauss Frida,Rausche-Rauss,Frida,,
"Rauschenbach, Frl. Helene",Rauschenbach Helene,Rauschenbach,Helene,Frl.,
"Rave, Judith",Rave Judith,Rave,Judith,,
"Raven, Mathilde",Raven Mathilde,Raven,Mathilde,,
"Raveneck, Cäcilie",Raveneck Cäcilie,Raveneck,Cäcilie,,
"Ravenegg, Antonie",Ravenegg Antonie,Ravenegg,Antonie,,
"Ravit, Julie",Ravit Julie,Ravit,Julie,,
"Ravit, Luise",Ravit Luise,Ravit,Luise,,
"Rebe, E",Rebe E,Rebe,E,,
"Rebe, Maria",Rebe Maria,Rebe,Maria,,
"Rebeg, Sibylla",Rebeg Sibylla,Rebeg,Sibylla,,
Rebekka und Amalia,Rebekka und Amalia,Rebekka und Amalia,,,
"Reber, Frl. Paula Margarete",Reber Paula Margarete,Reber,Paula Margarete,Frl.,
"Rechenberg, Luise Freiin v",Rechenberg Luise,Rechenberg,Luise,Freiin,v
"Reck, Christiane von der",Reck Christiane der,Reck,Christiane der,,von
"Recke, Elisa Charlotte Constantia Freifrau von der",Recke Elisa Charlotte Constantia der,Recke,Elisa Charlotte Constantia der,Freifrau,von
"Recke-Hohenthal, Gräfin",Recke-Hohenthal,Recke-Hohenthal,,Gräfin,
"Recke-Volmerstein, Gräfin Mathilde von",Recke-Volmerstein Mathilde,Recke-Volmerstein,Mathilde,Gräfin,von
"Redeatis, M",Redeatis M,Redeatis,M,,
"Redeatis, M",Redeatis M,Redeatis,M,,
"Reden, Philippine Augusta Amalie Freiin von",Reden Philippine Augusta Amalie,Reden,Philippine Augusta Amalie,Freiin,von
"Redenhall, Emma",Redenhall Emma,Redenhall,Emma,,
"Reder, Karoline v",Reder Karoline,Reder,Karoline,,v
"Redlich, Frau Pauline",Redlich Pauline,Redlich,Pauline,Frau,
"Redwitz-Schmölz, Freiin M. v",Redwitz-Schmölz M.,Redwitz-Schmölz,M.,Freiin,v
"Regenstein, Charlotte",Regenstein Charlotte,Regenstein,Charlotte,,
"Rehberger, Gisela",Rehberger Gisela,Rehberger,Gisela,,
"Rehbinder, Gräfin E",Rehbinder E,Rehbinder,E,Gräfin,
"Rehmke, Maria Karolina",Rehmke Karolina Maria,Rehmke,Karolina Maria,,
"Rehse, Frau L",Rehse L,Rehse,L,Frau,
"Reibnitz, Frau Clara v",Reibnitz Clara,Reibnitz,Clara,Frau,v
"Reibnitz, Joh. Adolphine v",Reibnitz Joh. Adolphine,Reibnitz,Joh. Adolphine,,v
"Reich, Amalie",Reich Amalie,Reich,Amalie,,
"Reich, Frau Elise",Reich Elise,Reich,Elise,Frau,
"Reich, Erika",Reich Erika,Reich,Erika,,
"Reich, Julie",Reich Julie,Reich,Julie,,
"Reichard, Frau Mea",Reichard Mea,Reichard,Mea,Frau,
"Reichard, Mea",Reichard Mea,Reichard,Mea,,
"Reichardt-Stromberg, Frau Mathilde",Reichardt-Stromberg Mathilde,Reichardt-Stromberg,Mathilde,Frau,
"Reiche, Caroline v",Reiche Caroline,Reiche,Caroline,,v
"Reichel, Frl. Emilie",Reichel Emilie,Reichel,Emilie,Frl.,
"Reichel, Frl. Emma",Reichel Emma,Reichel,Emma,Frl.,
"Reichelt, Auguste",Reichelt Auguste,Reichelt,Auguste,,
"Reichenau, Auguste von",Reichenau Auguste,Reichenau,Auguste,,von
"Reichenbach, Hermine von",Reichenbach Hermine,Reichenbach,Hermine,,von
"Reichenbach, Marie v",Reichenbach Marie,Reichenbach,Marie,,v
"Reichenbach, Gräfin Mathilde von",Reichenbach Mathilde,Reichenbach,Mathilde,Gräfin,von
"Reichenbach, Moritz v",Reichenbach Moritz,Reichenbach,Moritz,,v
"Reichenbach, Moritz v",Reichenbach Moritz,Reichenbach,Moritz,,v
"Reichmann, M",Reichmann M,Reichmann,M,,
"Reichner, Klara",Reichner Klara,Reichner,Klara,,
"Reichner, Klara",Reichner Klara,Reichner,Klara,,
"Reil, Helene",Reil Helene,Reil,Helene,,
"Reimar, F. L",Reimar L F.,Reimar,L F.,,
"Reimer-Walden, Gertrud",Reimer-Walden Gertrud,Reimer-Walden,Gertrud,,
"Rein, Veronika",Rein Veronika,Rein,Veronika,,
"Reinbold, Adelheid",Reinbold Adelheid,Reinbold,Adelheid,,
"Reindahl, Elise",Reindahl Elise,Reindahl,Elise,,
"Reineck, Freifrl. Minna v",Reineck Freifrl. Minna,Reineck,Freifrl. Minna,,v
"Reinhard, Frl. Lina",Reinhard Lina,Reinhard,Lina,Frl.,
"Reinhard, Luise",Reinhard Luise,Reinhard,Luise,,
"Reinhardt, Friederike",Reinhardt Friederike,Reinhardt,Friederike,,
"Reinhardt, Lina",Reinhardt Lina,Reinhardt,Lina,,
"Reinhardt, Veronika",Reinhardt Veronika,Reinhardt,Veronika,,
"Reinhardt, Wilhelmine",Reinhardt Wilhelmine,Reinhardt,Wilhelmine,,
"Reinhart, E",Reinhart E,Reinhart,E,,
"Reinhold, Amalie",Reinhold Amalie,Reinhold,Amalie,,
"Reinhold, Anna",Reinhold Anna,Reinhold,Anna,,
"Reinhold, die jüngere, Friederike",Reinhold Friederike,Reinhold,Friederike,,die jüngere
"Reinhold, K",Reinhold K,Reinhold,K,,
"Reinhold, Liane",Reinhold Liane,Reinhold,Liane,,
"Reinicke, Hans",Reinicke Hans,Reinicke,Hans,,
"Reinow, M",Reinow M,Reinow,M,,
"Reinsberg-Düringsfeld, Ida",Reinsberg-Düringsfeld Ida,Reinsberg-Düringsfeld,Ida,,
"Reinwald, Theodor",Reinwald Theodor,Reinwald,Theodor,,
"Reiske, Ernestine Christine",Reiske Ernestine Christine,Reiske,Ernestine Christine,,
"Reitler, Frau Rosa",Reitler Rosa,Reitler,Rosa,Frau,
"Reitzenstein, Adele Freifrau v",Reitzenstein Adele,Reitzenstein,Adele,Freifrau,v
"Reitzenstein, Freifrl. Editha v",Reitzenstein Freifrl. Editha,Reitzenstein,Freifrl. Editha,,v
"Reitzenstein, Franziska Freifrau v",Reitzenstein Franziska,Reitzenstein,Franziska,Freifrau,v
"Reitzenstein, Friederike v",Reitzenstein Friederike,Reitzenstein,Friederike,,v
"Reitzenstein, Freifrau Marie v",Reitzenstein Marie,Reitzenstein,Marie,Freifrau,v
"Reitzenstein, Therese Friederike von",Reitzenstein Friederike Therese,Reitzenstein,Friederike Therese,,von
"Relly, E",Relly E,Relly,E,,
"Remay, Maria Ilse",Remay Maria Ilse,Remay,Maria Ilse,,
"Rembrandt, Anna",Rembrandt Anna,Rembrandt,Anna,,
"Remekházy, Josefine Freifrau von",Remekházy Josefine,Remekházy,Josefine,Freifrau,von
"Remin, Frau Antonie",Remin Antonie,Remin,Antonie,Frau,
"Remin, Antonie",Remin Antonie,Remin,Antonie,,
"Remmers, Frau Oberamtmann",Remmers Oberamtmann,Remmers,Oberamtmann,Frau,
"Rempler, Marie",Rempler Marie,Rempler,Marie,,
"Remy, Marie",Remy Marie,Remy,Marie,,
"Remy, Nahida",Remy Nahida,Remy,Nahida,,
"René, E",René E,René,E,,
"René, Francis",René Francis,René,Francis,,
"René, H",René H,René,H,,
"René, J",René J,René,J,,
"Renelle, Lucie Elis",Renelle Lucie Elis,Renelle,Lucie Elis,,
"Renggli, Arbeitslehrerin M. Josepha",Renggli Josepha M. Arbeitslehrerin,Renggli,Josepha M. Arbeitslehrerin,,
"Rennecke, Frl. Pauline",Rennecke Pauline,Rennecke,Pauline,Frl.,
Renorga,Renorga,Renorga,,,
"Renthe-Fink, Frau General A. von",Renthe-Fink A.,Renthe-Fink,A.,Frau General,von
"Rentsch-Palfy, Frau Margarete",Rentsch-Palfy Margarete,Rentsch-Palfy,Margarete,Frau,
"Rentz, Marga, Freifrau v",Rentz Marga,Rentz,Marga,Freifrau v,
"Resa, T",Resa T,Resa,T,,
"Resch, Helene",Resch Helene,Resch,Helene,,
"Resch, Helene",Resch Helene,Resch,Helene,,
"Retcliff, Eli",Retcliff Eli,Retcliff,Eli,,
"Retcliff, Mara",Retcliff Mara,Retcliff,Mara,,
"Rething, Marie",Rething Marie,Rething,Marie,,
"Rettig, Magdalena",Rettig Magdalena,Rettig,Magdalena,,
"Reusch, Frl. Henriette",Reusch Henriette,Reusch,Henriette,Frl.,
"Reuss j. L., Fürstin Agnes",Reuss j. L. Agnes,Reuss j. L.,Agnes,Fürstin,
"Reuss, Fürstin Eleonore",Reuss Eleonore,Reuss,Eleonore,Fürstin,
"Reuss, Elly",Reuss Elly,Reuss,Elly,,
"Reuss von Ebersdorf, Gräfin Erdmuthe Dorothea",Reuss von Ebersdorf Dorothea Erdmuthe,Reuss von Ebersdorf,Dorothea Erdmuthe,Gräfin,
"Reuss, Jenny v",Reuss Jenny,Reuss,Jenny,,v
"Reuss, Frl. Zoë v",Reuss Zoë,Reuss,Zoë,Frl.,v
"Reussing, Marianne",Reussing Marianne,Reussing,Marianne,,
"Reuter, Emilie",Reuter Emilie,Reuter,Emilie,,
"Reuter, Frl. Gabriele",Reuter Gabriele,Reuter,Gabriele,Frl.,
"Reuter, Lilly",Reuter Lilly,Reuter,Lilly,,
"Reutern, Sophie v",Reutern Sophie,Reutern,Sophie,,v
"Reventlow, Frau Gräfin F. zu",Reventlow zu F.,Reventlow,zu F.,Frau Gräfin,
"Rex, Emmo",Rex Emmo,Rex,Emmo,,
"Reyer, Antonie, Freiin von",Reyer Antonie,Reyer,Antonie,Freiin,von
"Reyer, Irene Freifrau v",Reyer Irene,Reyer,Irene,Freifrau,v
"Reyher, Anna de",Reyher Anna,Reyher,Anna,,de
"Reyhle-Tellkampf, Frau Marie",Reyhle-Tellkampf Marie,Reyhle-Tellkampf,Marie,Frau,
Rézi Néni,Rézi Néni,Rézi Néni,,,
"Rheinau, Clara",Rheinau Clara,Rheinau,Clara,,
"Rheinau, Sophie",Rheinau Sophie,Rheinau,Sophie,,
"Rheinberger, Franziska",Rheinberger Franziska,Rheinberger,Franziska,,
"Rheinberger, Hermine",Rheinberger Hermine,Rheinberger,Hermine,,
"Rheingruber, Anna",Rheingruber Anna,Rheingruber,Anna,,
"Rheinhardt, W",Rheinhardt W,Rheinhardt,W,,
"Rhiem, Frl. Caroline",Rhiem Caroline,Rhiem,Caroline,Frl.,
"Rhoden, Emmy v",Rhoden Emmy,Rhoden,Emmy,,v
"Rhodin, Lehrerin Marie",Rhodin Lehrerin Marie,Rhodin,Lehrerin Marie,,
Rhön-Werra,Rhön-Werra,Rhön-Werra,,,
"Richard, Clara",Richard Clara,Richard,Clara,,
"Richard, Elise",Richard Elise,Richard,Elise,,
"Richards, Ellen u. A. Hohenheim",Richards Hohenheim A. Ellen u.,Richards,Hohenheim A. Ellen u.,,
"Richard-Schilling, Sophie",Richard-Schilling Sophie,Richard-Schilling,Sophie,,
"Richter, Frau Adph",Richter Adph,Richter,Adph,Frau,
"Richter, Frl. Helene",Richter Helene,Richter,Helene,Frl.,
"Richter, Johanna Sophie",Richter Sophie Johanna,Richter,Sophie Johanna,,
"Richter, Frl. Liddy",Richter Liddy,Richter,Liddy,Frl.,
"Richter, Louise",Richter Louise,Richter,Louise,,
"Richter, Frau Dr. Luise M",Richter M Luise,Richter,M Luise,Frau Dr.,
"Richter, L",Richter L,Richter,L,,
"Richter, Maria",Richter Maria,Richter,Maria,,
"Richter, Frl. Marie",Richter Marie,Richter,Marie,Frl.,
"Richter, Sophie",Richter Sophie,Richter,Sophie,,
"Richter, Sophie Wilh",Richter Sophie Wilh,Richter,Sophie Wilh,,
"Richthofen, Gertrud v",Richthofen Gertrud,Richthofen,Gertrud,,v
"Richthofen, Julie Freifrau v",Richthofen Julie,Richthofen,Julie,Freifrau,v
"Rickmeyer, Frl. Marie",Rickmeyer Marie,Rickmeyer,Marie,Frl.,
"Rieck, Elise",Rieck Elise,Rieck,Elise,,
"Riecke, Frau Adelheid",Riecke Adelheid,Riecke,Adelheid,Frau,
"Ried, Paula",Ried Paula,Ried,Paula,,
"Riedel-Ahrens, Frau Bertha",Riedel-Ahrens Bertha,Riedel-Ahrens,Bertha,Frau,
"Riedel-Ahrens, Bertha",Riedel-Ahrens Bertha,Riedel-Ahrens,Bertha,,
Riedel-Simonsen,Riedel-Simonsen,Riedel-Simonsen,,,
"Riedesel, Friederike Charlotte Luise Freiin von",Riedesel Friederike Luise Charlotte,Riedesel,Friederike Luise Charlotte,Freiin,von
"Riedl, Christine Charlotte",Riedl Christine Charlotte,Riedl,Christine Charlotte,,
"Riedl, Frau Elsa",Riedl Elsa,Riedl,Elsa,Frau,
"Rieger, Magdalena Sibylla",Rieger Sibylla Magdalena,Rieger,Sibylla Magdalena,,
"Ries, Frl. C. E",Ries E C.,Ries,E C.,Frl.,
"Riese, Natalie",Riese Natalie,Riese,Natalie,,
"Riesemann, Frau Hedda v",Riesemann Hedda,Riesemann,Hedda,Frau,v
"Riesen, Frau Gertrud",Riesen Gertrud,Riesen,Gertrud,Frau,
"Riess, Minna",Riess Minna,Riess,Minna,,
"Rieter, Anna",Rieter Anna,Rieter,Anna,,
"Rieve, Frau Certh",Rieve Certh,Rieve,Certh,Frau,
"Ringseis, Frl. Bettina von",Ringseis Bettina,Ringseis,Bettina,Frl.,von
"Ringseis, Emilie von",Ringseis Emilie,Ringseis,Emilie,,von
"Rinhart, K",Rinhart K,Rinhart,K,,
"Rink, Signe",Rink Signe,Rink,Signe,,
"Rinteln, Frau",Rinteln,Rinteln,,Frau,
"Riotte, Frl. Franziska",Riotte Franziska,Riotte,Franziska,Frl.,
"Ris, Frau Elise",Ris Elise,Ris,Elise,Frau,
"Ris, Jenny",Ris Jenny,Ris,Jenny,,
"Ris-Neumann, Frau Jenny",Ris-Neumann Jenny,Ris-Neumann,Jenny,Frau,
"Riss, Louise",Riss Louise,Riss,Louise,,
"Rita, E",Rita E,Rita,E,,
"Rittberg, Frau Gräfin Hedwig Adolfine Anna v",Rittberg Hedwig Anna Adolfine,Rittberg,Hedwig Anna Adolfine,Frau Gräfin,v
"Ritter, Frau Regierungsrat Anna",Ritter Anna,Ritter,Anna,Frau Regierungsrat,
"Ritter, Ernst",Ritter Ernst,Ritter,Ernst,,
"Ritter, Friederike",Ritter Friederike,Ritter,Friederike,,
"Rittersberg, Henriette von",Rittersberg Henriette,Rittersberg,Henriette,,von
"Ritzerow, Frida",Ritzerow Frida,Ritzerow,Frida,,
"Rivutat, Herbert",Rivutat Herbert,Rivutat,Herbert,,
"Robert, Clara",Robert Clara,Robert,Clara,,
"Robert, Helene",Robert Helene,Robert,Helene,,
"Robertin, H",Robertin H,Robertin,H,,
"Roberts, S",Roberts S,Roberts,S,,
"Roberts, Sophie",Roberts Sophie,Roberts,Sophie,,
"Robiano, Gräfin Luisa Mary von",Robiano Mary Luisa,Robiano,Mary Luisa,Gräfin,von
"Robinson, Therese Albertine",Robinson Albertine Therese,Robinson,Albertine Therese,,
"Robolsky, Frl. Antonie",Robolsky Antonie,Robolsky,Antonie,Frl.,
"Robolsky, Frl. Katharina Therese",Robolsky Katharina Therese,Robolsky,Katharina Therese,Frl.,
"Rocca, Fürstin della",Rocca,Rocca,,Fürstin,della
"Roche, Marie Sophie la",Roche Sophie Marie,Roche,Sophie Marie,,la
"Rochow, Gabriele v",Rochow Gabriele,Rochow,Gabriele,,v
"Rochow, Frau Hauptmann Helene",Rochow Helene,Rochow,Helene,Frau Hauptmann,
"Rodan, Emilie",Rodan Emilie,Rodan,Emilie,,
"Roda-Roda, M",Roda-Roda M,Roda-Roda,M,,
"Rodatz, Hedwig",Rodatz Hedwig,Rodatz,Hedwig,,
"Rodde, Dorothee v",Rodde Dorothee,Rodde,Dorothee,,v
"Rödern, Eleonore",Rödern Eleonore,Rödern,Eleonore,,
"Rodziewicz, Marie",Rodziewicz Marie,Rodziewicz,Marie,,
"Roehrich, Laura",Roehrich Laura,Roehrich,Laura,,
"Roennebeck, Agatha von",Roennebeck Agatha,Roennebeck,Agatha,,von
"Roesgen, Emma",Roesgen Emma,Roesgen,Emma,,
"Roessler-Ladé, Auguste v",Roessler-Ladé Auguste,Roessler-Ladé,Auguste,,v
"Roggenbucke, Henriette Marie Albertine von",Roggenbucke Henriette Albertine Marie,Roggenbucke,Henriette Albertine Marie,,von
"Röhde, Alide v",Röhde Alide,Röhde,Alide,,v
"Rohe, Sophie",Rohe Sophie,Rohe,Sophie,,
"Röhmer, Sophie",Röhmer Sophie,Röhmer,Sophie,,
"Rohr, Emma",Rohr Emma,Rohr,Emma,,
"Rokitansky, Frau Baronin Marie v",Rokitansky Marie,Rokitansky,Marie,Frau Baronin,v
"Roland, Almuth",Roland Almuth,Roland,Almuth,,
"Roland, Emil",Roland Emil,Roland,Emil,,
"Rolff, R",Rolff R,Rolff,R,,
"Rollmann, Lehrerin Emma",Rollmann Emma,Rollmann,Emma,,Lehrerin
"Romainville, Leontine",Romainville Leontine,Romainville,Leontine,,
"Romana, Camilla",Romana Camilla,Romana,Camilla,,
"Romanek, M. Andrae",Romanek Andrae M.,Romanek,Andrae M.,,
"Romanow, Dagmar",Romanow Dagmar,Romanow,Dagmar,,
"Römer, Alex",Römer Alex,Römer,Alex,,
"Römer, Auguste von",Römer Auguste,Römer,Auguste,,von
"Römer, Elise",Römer Elise,Römer,Elise,,
"Römer, Julie",Römer Julie,Römer,Julie,,
"Römer, Frl. Lina",Römer Lina,Römer,Lina,Frl.,
"Römheld, Amalie",Römheld Amalie,Römheld,Amalie,,
"Ronca, Frl. Anna M",Ronca Anna M,Ronca,Anna M,Frl.,
"Ronus, Susanna",Ronus Susanna,Ronus,Susanna,,
"Roodenfels, Fanny",Roodenfels Fanny,Roodenfels,Fanny,,
"Roos, Mathilde",Roos Mathilde,Roos,Mathilde,,
"Röper, Frl. Hedwig",Röper Hedwig,Röper,Hedwig,Frl.,
"Roquette, Julie von",Roquette Julie,Roquette,Julie,,von
