Original,Name Vorname,Name,Vorname,Titel,Sonstiges
"Marriot, Emil",Marriot Emil,Marriot,Emil,,
"Marschner, Amalie",Marschner Amalie,Marschner,Amalie,,
"Marthen, W",Marthen W,Marthen,W,,
"Martin, C",Martin C,Martin,C,,
"Martin, Henriette",Martin Henriette,Martin,Henriette,,
"Martin, Mathilde",Martin Mathilde,Martin,Mathilde,,
"Martinez, Marianne",Martinez Marianne,Martinez,Marianne,,
"Martini, Christiane Sophie Elisabeth",Martini Sophie Christiane Elisabeth,Martini,Sophie Christiane Elisabeth,,
"Martini, Selma",Martini Selma,Martini,Selma,,
"Marwitz, Marie v. d",Marwitz d Marie,Marwitz,d Marie,,v.
"Marx, Frl. Klara",Marx Klara,Marx,Klara,Frl.,
"Marx, Therese",Marx Therese,Marx,Therese,,
Mary,Mary,Mary,,,
"Masche, Fr",Masche Fr,Masche,Fr,,
"Masser, Frau Klara",Masser Klara,Masser,Klara,Frau,
"Massow, Frau Julie von",Massow Julie,Massow,Julie,Frau,von
"Massow, Julie v",Massow Julie,Massow,Julie,,v
"Massow, Klara v",Massow Klara,Massow,Klara,,v
"Massow, Frl. Margarete von",Massow Margarete,Massow,Margarete,Frl.,von
"Masur, Auguste",Masur Auguste,Masur,Auguste,,
"Mataja, Frl. Emilie",Mataja Emilie,Mataja,Emilie,Frl.,
"Mathé, Berta",Mathé Berta,Mathé,Berta,,
"Mathilde, Fürstin von Schwarzburg-Sondershausen",Mathilde Schwarzburg-Sondershausen,Mathilde,Schwarzburg-Sondershausen,Fürstin,von
"Mathilde, die Königin",Mathilde Königin die,Mathilde,Königin die,,
Mathildens Genesung,Mathildens Genesung,Mathildens Genesung,,,
"Matthes, Frl. Valerie",Matthes Valerie,Matthes,Valerie,Frl.,
"Matthey, Maja",Matthey Maja,Matthey,Maja,,
"Matthias-Tendering, Frau Bertha",Matthias-Tendering Bertha,Matthias-Tendering,Bertha,Frau,
"Matthys, Emma",Matthys Emma,Matthys,Emma,,
"Mättig-Willkomm, Frau Sophie",Mättig-Willkomm Sophie,Mättig-Willkomm,Sophie,Frau,
"Matzner, Josa",Matzner Josa,Matzner,Josa,,
"Maul, Frl. Anna",Maul Anna,Maul,Anna,Frl.,
"Maul, Frl. Elise",Maul Elise,Maul,Elise,Frl.,
Maune. Agnes,Maune. Agnes,Maune. Agnes,,,
"Max, Hero",Max Hero,Max,Hero,,
"May, Anna",May Anna,May,Anna,,
"May, George",May George,May,George,,
"May, Frl. Maria Theresia",May Theresia Maria,May,Theresia Maria,Frl.,
"May, Sophie",May Sophie,May,Sophie,,
"Mayenburg, Theodora v",Mayenburg Theodora,Mayenburg,Theodora,,v
"Mayer, Frl. Anna",Mayer Anna,Mayer,Anna,Frl.,
"Mayer-Bergwald, Anna",Mayer-Bergwald Anna,Mayer-Bergwald,Anna,,
"Mayer-Bibus, Ottilie",Mayer-Bibus Ottilie,Mayer-Bibus,Ottilie,,
"Mayer, Eugenie",Mayer Eugenie,Mayer,Eugenie,,
"Mayer, Friederike Elise",Mayer Elise Friederike,Mayer,Elise Friederike,,
"Mayer, Frl. Josefine",Mayer Josefine,Mayer,Josefine,Frl.,
"Mayer-Kempf, Charlotte",Mayer-Kempf Charlotte,Mayer-Kempf,Charlotte,,
"Mayer, Luise",Mayer Luise,Mayer,Luise,,
"Mayer, Frl. Rudolfine",Mayer Rudolfine,Mayer,Rudolfine,Frl.,
"Mayer, Sarah",Mayer Sarah,Mayer,Sarah,,
"Mayerffy, Marie v",Mayerffy Marie,Mayerffy,Marie,,v
"Mayr-Peyrimsky, Anna",Mayr-Peyrimsky Anna,Mayr-Peyrimsky,Anna,,
"Mayreder-Obermayer, Rosa",Mayreder-Obermayer Rosa,Mayreder-Obermayer,Rosa,,
"Maytner, Frau Alberta v",Maytner Alberta,Maytner,Alberta,Frau,v
"Mecke, Johanne",Mecke Johanne,Mecke,Johanne,,
"Mecklenburg-Schwerin, Ulrike Sophie",Mecklenburg-Schwerin Sophie Ulrike,Mecklenburg-Schwerin,Sophie Ulrike,,
"Medem, Friederike",Medem Friederike,Medem,Friederike,,
"Medem, Frau Baronin Ida v",Medem Ida,Medem,Ida,Frau Baronin,v
"Meeden, Frau v. der",Meeden der,Meeden,der,Frau,v.
"Meerheimb, Henriette von",Meerheimb Henriette,Meerheimb,Henriette,,von
"Meertz, A",Meertz A,Meertz,A,,
"Meffert, Frl. Antonie",Meffert Antonie,Meffert,Antonie,Frl.,
"Megede, Marie zur",Megede Marie,Megede,Marie,,zur
"Megerle von Mühlfeld, Therese",Megerle von Mühlfeld Therese,Megerle von Mühlfeld,Therese,,
"Mehler, Frieda",Mehler Frieda,Mehler,Frieda,,
"Meiche, Frl. Louise",Meiche Louise,Meiche,Louise,Frl.,
"Meichsner, Cl. v",Meichsner Cl.,Meichsner,Cl.,,v
"Meienberg, Marie",Meienberg Marie,Meienberg,Marie,,
"Meinardus, Amalie",Meinardus Amalie,Meinardus,Amalie,,
"Meinhardt, Adalbert",Meinhardt Adalbert,Meinhardt,Adalbert,,
"Meinhof, Elli",Meinhof Elli,Meinhof,Elli,,
"Meisner, Frl. Maria",Meisner Maria,Meisner,Maria,Frl.,
"Meisner, Maria",Meisner Maria,Meisner,Maria,,
"Meissner, Auguste",Meissner Auguste,Meissner,Auguste,,
"Meissner, Frau Fanny",Meissner Fanny,Meissner,Fanny,Frau,
"Meissner, Frl. Marie",Meissner Marie,Meissner,Marie,Frl.,
"Meister, Hulda",Meister Hulda,Meister,Hulda,,
"Meister, Hulda",Meister Hulda,Meister,Hulda,,
"Meister, Maria",Meister Maria,Meister,Maria,,
"Meister, Marianne",Meister Marianne,Meister,Marianne,,
"Meister, Sophie Friderike Elisabeth",Meister Sophie Friderike Elisabeth,Meister,Sophie Friderike Elisabeth,,
"Meixner, Auguste",Meixner Auguste,Meixner,Auguste,,
"Meixner, Maria Elisabetha",Meixner Elisabetha Maria,Meixner,Elisabetha Maria,,
