Original,Name,Vorname,Titel,Sonstiges,Name Vorname
"Bing, Bertha",Bing,Bertha,,,Bing Bertha
"Binzer, Emilie v",Binzer,Emilie,,v,Binzer Emilie
"Binzer, Ina v",Binzer,Ina,,v,Binzer Ina
"Birch-Pfeiffer, Charl",Birch-Pfeiffer,Charl,,,Birch-Pfeiffer Charl
"Bird, Isabella L",Bird,Isabella L,,,Bird Isabella L
"Birgfeld, Frau Louise",Birgfeld,Louise,Frau,,Birgfeld Louise
"Birkham, Lehrerin, Cäcilie",Birkham,Cäcilie,,,Birkham Cäcilie
"Birkhold, Hedwig",Birkhold,Hedwig,,,Birkhold Hedwig
"Birndt, Frl. Claudia C",Birndt,Claudia C,Frl.,,Birndt Claudia C
"Birndt, Frl. Fanny",Birndt,Fanny,Frl.,,Birndt Fanny
"Bischoff, Lehrerin Amanda",Bischoff,Amanda,,Lehrerin,Bischoff Amanda
"Bischoffshausen, L. v",Bischoffshausen,L.,,v,Bischoffshausen L.
"Bisland, Elisabeth",Bisland,Elisabeth,,,Bisland Elisabeth
"Bissing, Henriette v",Bissing,Henriette,,v,Bissing Henriette
"Bistram, Baronesse Ottilie von",Bistram,Ottilie,Baronesse,von,Bistram Ottilie
"Bistram, Baronin Lilli v",Bistram,Lilli,Baronin,v,Bistram Lilli
"Blacker, Frau Carola",Blacker,Carola,Frau,,Blacker Carola
"Blankenstein, Amanda M",Blankenstein,M Amanda,,,Blankenstein M Amanda
"Blangy-Lebzeltern, Seraphine, Freiin v",Blangy-Lebzeltern,,Freiin,v,Blangy-Lebzeltern 
"Blanzger, Frl. Minna",Blanzger,Minna,Frl.,,Blanzger Minna
"Blasche, Hedwig",Blasche,Hedwig,,,Blasche Hedwig
"Blaschke, Frl. Therese",Blaschke,Therese,Frl.,,Blaschke Therese
"Blaschnik-Arndt, Frau Fanny",Blaschnik-Arndt,Fanny,Frau,,Blaschnik-Arndt Fanny
"Blass, Auguste",Blass,Auguste,,,Blass Auguste
Blaze de Bury,Blaze de Bury,,,,Blaze de Bury 
"Bleibtreu, Marie",Bleibtreu,Marie,,,Bleibtreu Marie
"Blennerhassett, Lady Charlotte",Blennerhassett,Charlotte,Lady,,Blennerhassett Charlotte
"Bloch, Frl. Bianca",Bloch,Bianca,Frl.,,Bloch Bianca
"Bloch, Ida",Bloch,Ida,,,Bloch Ida
"Bloch, Mathilde",Bloch,Mathilde,,,Bloch Mathilde
"Blöde, Marie",Blöde,Marie,,,Blöde Marie
"Blok, Therese",Blok,Therese,,,Blok Therese
"Blomberg, Freiin Anna v",Blomberg,Anna,Freiin,v,Blomberg Anna
"Blondein, Karoline",Blondein,Karoline,,,Blondein Karoline
"Blücher, Luise v",Blücher,Luise,,v,Blücher Luise
"Blümmer, Minna",Blümmer,Minna,,,Blümmer Minna
"Bluhm, Agnes",Bluhm,Agnes,,,Bluhm Agnes
"Blum, Frl. Anna",Blum,Anna,Frl.,,Blum Anna
"Blum, Helene",Blum,Helene,,,Blum Helene
"Blum, Frl. Ida",Blum,Ida,Frl.,,Blum Ida
"Blum, Frl. Lodoiska v",Blum,Lodoiska,Frl.,v,Blum Lodoiska
"Blumberg, Frl. Malwina Amalie",Blumberg,Malwina Amalie,Frl.,,Blumberg Malwina Amalie
"Blumenau, Klara",Blumenau,Klara,,,Blumenau Klara
"Blumenfeld, Agnes",Blumenfeld,Agnes,,,Blumenfeld Agnes
"Blumenreich, Frau Franziska",Blumenreich,Franziska,Frau,,Blumenreich Franziska
"Bobertag, Frau Bianca",Bobertag,Bianca,Frau,,Bobertag Bianca
"Bobertag, Frl. Elisabeth",Bobertag,Elisabeth,Frl.,,Bobertag Elisabeth
"Bock, Annie",Bock,Annie,,,Bock Annie
"Bock, Frau Henriette",Bock,Henriette,Frau,,Bock Henriette
"Boddaert, Marie",Boddaert,Marie,,,Boddaert Marie
"Bodek-Ellgau, Freifrau Marie v",Bodek-Ellgau,Marie,Freifrau,v,Bodek-Ellgau Marie
"Bodin, Camilla",Bodin,Camilla,,,Bodin Camilla
"Bodisco, Frau Theophila v",Bodisco,Theophila,Frau,v,Bodisco Theophila
"Böck, J",Böck,J,,,Böck J
"Böckel, Marie",Böckel,Marie,,,Böckel Marie
"Böhlau, Helene",Böhlau,Helene,,,Böhlau Helene
"Böhm, Frl. Antonie",Böhm,Antonie,Frl.,,Böhm Antonie
"Böhm, Hanna",Böhm,Hanna,,,Böhm Hanna
"Böhme-Köhler, Frau Auguste",Böhme-Köhler,Auguste,Frau,,Böhme-Köhler Auguste
"Boenfoe, Caroline",Boenfoe,Caroline,,,Boenfoe Caroline
"Böttcher, Charlotte",Böttcher,Charlotte,,,Böttcher Charlotte
"Boettcher, Frau Prof. Mathilde v",Boettcher,Mathilde,Prof. Frau,v,Boettcher Mathilde
"Boetticher, Frau Professor Clarissa",Boetticher,Clarissa,Frau Professor,,Boetticher Clarissa
"Böhmer, Frau Hedwig",Böhmer,Hedwig,Frau,,Böhmer Hedwig
"Böhmer, Frl. Emma",Böhmer,Emma,Frl.,,Böhmer Emma
"Böhringer, P",Böhringer,P,,,Böhringer P
"Bölte, Amely",Bölte,Amely,,,Bölte Amely
"Bölte, Amely",Bölte,Amely,,,Bölte Amely
"Börner-Sandrini, Marie",Börner-Sandrini,Marie,,,Börner-Sandrini Marie
"Bösch, Nina",Bösch,Nina,,,Bösch Nina
"Böttger, Frl. Clementine",Böttger,Clementine,Frl.,,Böttger Clementine
"Böttger, Frl. Lucie",Böttger,Lucie,Frl.,,Böttger Lucie
"Bog, Marie",Bog,Marie,,,Bog Marie
"Bogler, Frau Agnes",Bogler,Agnes,Frau,,Bogler Agnes
"Bogler, Philipp",Bogler,Philipp,,,Bogler Philipp
"Boh, Frau Minni",Boh,Minni,Frau,,Boh Minni
"Bohde, Hermine",Bohde,Hermine,,,Bohde Hermine
"Bohm, Frl. Marie",Bohm,Marie,Frl.,,Bohm Marie
"Bohrers, Crescentia",Bohrers,Crescentia,,,Bohrers Crescentia
"Bohrmann, Frau Marianne",Bohrmann,Marianne,Frau,,Bohrmann Marianne
"Bohrn, Frl. Thesi",Bohrn,Thesi,Frl.,,Bohrn Thesi
"Bois, Carla du",Bois,Carla,,du,Bois Carla
"Bois-Reymond, Lili du",Bois-Reymond,Lili,,du,Bois-Reymond Lili
"Bomhard, Frau Constanze",Bomhard,Constanze,Frau,,Bomhard Constanze
"Bondy, Frau Ottilie",Bondy,Ottilie,Frau,,Bondy Ottilie
"Bonfort, Frl. H",Bonfort,H,Frl.,,Bonfort H
"Bonin, Frau Anna v",Bonin,Anna,Frau,v,Bonin Anna
"Boos-Jegher, Frau",Boos-Jegher,,Frau,,Boos-Jegher 
"Borch, Marie v",Borch,Marie,,v,Borch Marie
"Borggreve, Frl. Emma",Borggreve,Emma,Frl.,,Borggreve Emma
"Borgstede, Frl. Else v",Borgstede,Else,Frl.,v,Borgstede Else
"Borgstede, Frl. Emmy v",Borgstede,Emmy,Frl.,v,Borgstede Emmy
"Born, Ida",Born,Ida,,,Born Ida
"Bornhak, Frau Prof. F",Bornhak,F,Prof. Frau,,Bornhak F
"Borschitzky, Fanni",Borschitzky,Fanni,,,Borschitzky Fanni
"Bosch, Frl. Ida",Bosch,Ida,Frl.,,Bosch Ida
"Bost, Louise",Bost,Louise,,,Bost Louise
"Bosulka, Sava",Bosulka,Sava,,,Bosulka Sava
"Both, Frl. Nancy v",Both,Nancy,Frl.,v,Both Nancy
"Bothwell, Julie v",Bothwell,Julie,,v,Bothwell Julie
"Bousset, Frau Alice",Bousset,Alice,Frau,,Bousset Alice
"Boy-Ed, Frau Ida",Boy-Ed,Ida,Frau,,Boy-Ed Ida
"Boy-Ed, Ida",Boy-Ed,Ida,,,Boy-Ed Ida
"Boy, Johanna",Boy,Johanna,,,Boy Johanna
"Boye, Alwine",Boye,Alwine,,,Boye Alwine
"Bracht, Frau Franziska",Bracht,Franziska,Frau,,Bracht Franziska
"Brachvogel, Frau Carry",Brachvogel,Carry,Frau,,Brachvogel Carry
"Bracke, Frl. Toni",Bracke,Toni,Frl.,,Bracke Toni
"Brackel, Ferdinande",Brackel,Ferdinande,,,Brackel Ferdinande
"Brackel, Ferdinande",Brackel,Ferdinande,,,Brackel Ferdinande
"Brahmüller, G",Brahmüller,G,,,Brahmüller G
"Bramer, Frau Jeannette",Bramer,Jeannette,Frau,,Bramer Jeannette
"Branco, Dilia Helena",Branco,Helena Dilia,,,Branco Helena Dilia
"Brand, H",Brand,H,,,Brand H
"Brand, Frau Silvia",Brand,Silvia,Frau,,Brand Silvia
"Brandenburg, Bernhard",Brandenburg,Bernhard,,,Brandenburg Bernhard
"Brandes, Frau Bertha",Brandes,Bertha,Frau,,Brandes Bertha
"Brandes, Frau Mary",Brandes,Mary,Frau,,Brandes Mary
"Brandrup, Frau Marie",Brandrup,Marie,Frau,,Brandrup Marie
"Brand-Vrabely, S",Brand-Vrabely,S,,,Brand-Vrabely S
"Brandenfels, Hanna",Brandenfels,Hanna,,,Brandenfels Hanna
Brandis-Zelion,Brandis-Zelion,,,,Brandis-Zelion 
"Brandt, Frau Augusta",Brandt,Augusta,Frau,,Brandt Augusta
"Brandt, Frau Bertha",Brandt,Bertha,Frau,,Brandt Bertha
"Branitz, Franziska",Branitz,Franziska,,,Branitz Franziska
"Bransfeld, Margarete",Bransfeld,Margarete,,,Bransfeld Margarete
"Branth, Octavie",Branth,Octavie,,,Branth Octavie
"Brasch, Frau Frida",Brasch,Frida,Frau,,Brasch Frida
"Braeutigam, Frau Susanne",Braeutigam,Susanne,Frau,,Braeutigam Susanne
"Brauer, Frl. Agnes",Brauer,Agnes,Frl.,,Brauer Agnes
"Brauer, Hedwig",Brauer,Hedwig,,,Brauer Hedwig
"Brauer, Thekla",Brauer,Thekla,,,Brauer Thekla
"Braun, Hauptlehrerin Antonie Marie",Braun,Marie Antonie,Hauptlehrerin,,Braun Marie Antonie
"Braun, C",Braun,C,,,Braun C
"Braun, Clara",Braun,Clara,,,Braun Clara
"Braun, Clara",Braun,Clara,,,Braun Clara
"Braun, Frl. Caroline",Braun,Caroline,Frl.,,Braun Caroline
"Braun, Emilie",Braun,Emilie,,,Braun Emilie
"Braun, Emmy",Braun,Emmy,,,Braun Emmy
"Braun, Hedwig",Braun,Hedwig,,,Braun Hedwig
"Braun, Hedwig",Braun,Hedwig,,,Braun Hedwig
"Braun, Frau Hedwig",Braun,Hedwig,Frau,,Braun Hedwig
"Braun, Frau Irene",Braun,Irene,Frau,,Braun Irene
"Braun, Isabella",Braun,Isabella,,,Braun Isabella
"Braun, Isabella",Braun,Isabella,,,Braun Isabella
"Braun, Isabella",Braun,Isabella,,,Braun Isabella
"Braun, Kätchen",Braun,Kätchen,,,Braun Kätchen
"Braun, Frau Lily",Braun,Lily,Frau,,Braun Lily
"Braun, Louise",Braun,Louise,,,Braun Louise
"Braun, Frau Luise",Braun,Luise,Frau,,Braun Luise
"Braun, Jul. W",Braun,W Jul.,,,Braun W Jul.
"Braun, T. S",Braun,S T.,,,Braun S T.
"Braune, Frau Clara",Braune,Clara,Frau,,Braune Clara
"Braunrasch, Auguste v",Braunrasch,Auguste,,v,Braunrasch Auguste
"Brauns, Frl. Auguste",Brauns,Auguste,Frl.,,Brauns Auguste
"Brauns, Frau C. W. Emma",Brauns,Emma W. C.,Frau,,Brauns Emma W. C.
"Brauns, Emma",Brauns,Emma,,,Brauns Emma
"Braun-Steinmann, H",Braun-Steinmann,H,,,Braun-Steinmann H
"Braus, Henriette",Braus,Henriette,,,Braus Henriette
"Breckheyde, C. v",Breckheyde,C.,,v,Breckheyde C.
"Breden, Christiane",Breden,Christiane,,,Breden Christiane
"Breidenbach, Frau Emilie v",Breidenbach,Emilie,Frau,v,Breidenbach Emilie
"Bredow-Görne, A. Gräfin v",Bredow-Görne,A.,Gräfin,v,Bredow-Görne A.
"Brehmer, Johanna",Brehmer,Johanna,,,Brehmer Johanna
"Breithaupt, Adolphine",Breithaupt,Adolphine,,,Breithaupt Adolphine
"Breitzmann, Agnes",Breitzmann,Agnes,,,Breitzmann Agnes
"Brenning, Frl. Katharina",Brenning,Katharina,Frl.,,Brenning Katharina
"Brentano-Bauck, Frau Anna",Brentano-Bauck,Anna,Frau,,Brentano-Bauck Anna
"Breymann, Henriette",Breymann,Henriette,,,Breymann Henriette
"Briesen, Katharina v",Briesen,Katharina,,v,Briesen Katharina
"Britz, Frl. Clara",Britz,Clara,Frl.,,Britz Clara
"Brix, Frl. Helene",Brix,Helene,Frl.,,Brix Helene
"Brix, Laura",Brix,Laura,,,Brix Laura
"Brockdorff-Ahlefeldt, Gräfin Louise",Brockdorff-Ahlefeldt,Louise,Gräfin,,Brockdorff-Ahlefeldt Louise
"Brockdorff, Gräfin Sophie v",Brockdorff,Sophie,Gräfin,v,Brockdorff Sophie
"Brocke, D",Brocke,D,,,Brocke D
"Brockmann, Frl. Auguste",Brockmann,Auguste,Frl.,,Brockmann Auguste
"Brockmann, Maria",Brockmann,Maria,,,Brockmann Maria
"Broecker, Frl. Magdalene v",Broecker,Magdalene,Frl.,v,Broecker Magdalene
"Bröm, Lydia",Bröm,Lydia,,,Bröm Lydia
"Broicher, Frau Kammergerichtsrat",Broicher,,Frau Kammergerichtsrat,,Broicher 
"Broom, Mary",Broom,Mary,,,Broom Mary
"Brons, Frau Kommerzienrat",Brons,,Frau Kommerzienrat,,Brons 
"Bruch-Sinn, Frau Karoline",Bruch-Sinn,Karoline,Frau,,Bruch-Sinn Karoline
"Bruck-Auffenberg, Frau Natalie",Bruck-Auffenberg,Natalie,Frau,,Bruck-Auffenberg Natalie
"Bruckbräu, Therese",Bruckbräu,Therese,,,Bruckbräu Therese
"Bruder, Amalie Theodora",Bruder,Theodora Amalie,,,Bruder Theodora Amalie
"Brück, Frau C. René",Brück,C. René,Frau,,Brück C. René
"Brückner, Frl. Anna",Brückner,Anna,Frl.,,Brückner Anna
"Brüning, Frl. Antonie",Brüning,Antonie,Frl.,,Brüning Antonie
"Brug, Anna",Brug,Anna,,,Brug Anna
"Brugger, Marie",Brugger,Marie,,,Brugger Marie
"Brun, Frl. Ida",Brun,Ida,Frl.,,Brun Ida
"Brun-Barnow, Ida von",Brun-Barnow,Ida,,von,Brun-Barnow Ida
"Brun-Barnow, Ida v",Brun-Barnow,Ida,,v,Brun-Barnow Ida
"Brunn, Therese",Brunn,Therese,,,Brunn Therese
"Brunnemann, A",Brunnemann,A,,,Brunnemann A
"Brunnemann, Frl. Elisabeth",Brunnemann,Elisabeth,Frl.,,Brunnemann Elisabeth
"Bruns, Helene",Bruns,Helene,,,Bruns Helene
"Bube, Frl. Johanna",Bube,Johanna,Frl.,,Bube Johanna
"Buch, M",Buch,M,,,Buch M
"Buch, M. v",Buch,M.,,v,Buch M.
"Buchen, Helene",Buchen,Helene,,,Buchen Helene
"Buchholz, Wilhelmine",Buchholz,Wilhelmine,,,Buchholz Wilhelmine
"Buchmeier, Marie",Buchmeier,Marie,,,Buchmeier Marie
"Bucholtz, Frl. Margarete v",Bucholtz,Margarete,Frl.,v,Bucholtz Margarete
"Buchwald, Bertha",Buchwald,Bertha,,,Buchwald Bertha
"Buchwald, Frl. Valesca",Buchwald,Valesca,Frl.,,Buchwald Valesca
"Buddenbrock, Julie v",Buddenbrock,Julie,,v,Buddenbrock Julie
"Buddenbrock, Mathilde v",Buddenbrock,Mathilde,,v,Buddenbrock Mathilde
"Budéll, Frl. Paula",Budéll,Paula,Frl.,,Budéll Paula
"Büchner, Louise",Büchner,Louise,,,Büchner Louise
"Büdinger, Frl. Emma",Büdinger,Emma,Frl.,,Büdinger Emma
"Bügner, E",Bügner,E,,,Bügner E
"Bülow, Frau Babette v",Bülow,Babette,Frau,v,Bülow Babette
"Bülow, Frau Clara",Bülow,Clara,Frau,,Bülow Clara
"Bülow, Freifrl. Frieda v",Bülow,Frieda,Freifrl.,v,Bülow Frieda
"Bülow, Gabriele v",Bülow,Gabriele,,v,Bülow Gabriele
"Bülow, Margarethe v",Bülow,Margarethe,,v,Bülow Margarethe
"Bülow, Frau Marie v",Bülow,Marie,Frau,v,Bülow Marie
"Bülow, v. Dennewitz, Gräfin Gertrud v",Bülow,Gertrud,Gräfin,v.,Bülow Gertrud
"Bülow-Wendhusen, Baronin Bertha",Bülow-Wendhusen,Bertha,Baronin,,Bülow-Wendhusen Bertha
"Bürger, Gertrud",Bürger,Gertrud,,,Bürger Gertrud
"Bürger, Lucian",Bürger,Lucian,,,Bürger Lucian
"Bürkner, L",Bürkner,L,,,Bürkner L
"Bürkner, Marie",Bürkner,Marie,,,Bürkner Marie
"Buerstenbinder, Frl. Elise",Buerstenbinder,Elise,Frl.,,Buerstenbinder Elise
"Büstorff, Frl. Gertrud",Büstorff,Gertrud,Frl.,,Büstorff Gertrud
"Büttner, Rosalie",Büttner,Rosalie,,,Büttner Rosalie
"Bufalo della Valle, Emilia Marchesa",Bufalo della Valle,Emilia,Marchesa,,Bufalo della Valle Emilia
"Buhofer, Frau Marie",Buhofer,Marie,Frau,,Buhofer Marie
"Buissert, B",Buissert,B,,,Buissert B
"Bukes, Annie",Bukes,Annie,,,Bukes Annie
"Bulle, Lina",Bulle,Lina,,,Bulle Lina
"Bulyovsky, Lila",Bulyovsky,Lila,,,Bulyovsky Lila
"Bunsen, Emma",Bunsen,Emma,,,Bunsen Emma
"Bunsen, Frl. Marie v",Bunsen,Marie,Frl.,v,Bunsen Marie
"Burchard, Agnes",Burchard,Agnes,,,Burchard Agnes
"Burchardi, Elwine v",Burchardi,Elwine,,v,Burchardi Elwine
"Burchardt-Nienstein, Frl. Asta",Burchardt-Nienstein,Asta,Frl.,,Burchardt-Nienstein Asta
"Burckhard, Frau Fanny",Burckhard,Fanny,Frau,,Burckhard Fanny
"Burdach, Hans",Burdach,Hans,,,Burdach Hans
"Burg, Emma",Burg,Emma,,,Burg Emma
"Burg, Marie",Burg,Marie,,,Burg Marie
"Burgsdorff, Hedwig v",Burgsdorff,Hedwig,,v,Burgsdorff Hedwig
"Burgwedel, Frl. Ida",Burgwedel,Ida,Frl.,,Burgwedel Ida
"Burkart, Olga",Burkart,Olga,,,Burkart Olga
"Burns, Frau Dr. Mary",Burns,Mary,Dr. Frau,,Burns Mary
"Burow, Julie",Burow,Julie,,,Burow Julie
"Burow, Julie",Burow,Julie,,,Burow Julie
"Busch, Frl. Hedwig",Busch,Hedwig,Frl.,,Busch Hedwig
"Busch, Helene",Busch,Helene,,,Busch Helene
"Busch, Luise",Busch,Luise,,,Busch Luise
"Busch, W",Busch,W,,,Busch W
"Buss, Frau Aurelie",Buss,Aurelie,Frau,,Buss Aurelie
"Busse, Frau Emilie",Busse,Emilie,Frau,,Busse Emilie
"Busse, Katharine V",Busse,V Katharine,,,Busse V Katharine
"Butler-Haimhausen, Gräfin Victorine",Butler-Haimhausen,Victorine,Gräfin,,Butler-Haimhausen Victorine
"Butler, Frau Josephine E",Butler,E Josephine,Frau,,Butler E Josephine
"Buttlar, Frau Adele",Buttlar,Adele,Frau,,Buttlar Adele
"Buttlar, Minka v",Buttlar,Minka,,v,Buttlar Minka
"Buźello-Stürmer, Frl. Hedwig",Buźello-Stürmer,Hedwig,Frl.,,Buźello-Stürmer Hedwig
"Byern, Henriette v",Byern,Henriette,,v,Byern Henriette
"Cador, Anna",Cador,Anna,,,Cador Anna
"Calm, Marie",Calm,Marie,,,Calm Marie
"Camenisch, Nina",Camenisch,Nina,,,Camenisch Nina
"Camesina, de San Vittore",Camesina,San de Vittore,,,Camesina San de Vittore
"Campe, C. v",Campe,C.,,v,Campe C.
"Canelé, Dora",Canelé,Dora,,,Canelé Dora
"Cannot, Maria",Cannot,Maria,,,Cannot Maria
"Cantacuzene, Prinzessin Elsa",Cantacuzene,Elsa,Prinzessin,,Cantacuzene Elsa
"Canz, Wilhelmine",Canz,Wilhelmine,,,Canz Wilhelmine
"Cappilleri, Hermine",Cappilleri,Hermine,,,Cappilleri Hermine
"Cappy, Maria Crescentia Gräfin v",Cappy,Crescentia Maria,Gräfin,v,Cappy Crescentia Maria
"Carel, Frau George",Carel,George,Frau,,Carel George
Carla,Carla,,,,Carla 
"Carlowna, Lisa",Carlowna,Lisa,,,Carlowna Lisa
"Carlsen, A",Carlsen,A,,,Carlsen A
Carmen Sylva,Carmen Sylva,,,,Carmen Sylva 
Carmen Sylva,Carmen Sylva,,,,Carmen Sylva 
"Carmer, Hans",Carmer,Hans,,,Carmer Hans
"Carnap, Frau Anna",Carnap,Anna,Frau,,Carnap Anna
Carola,Carola,,,,Carola 
"Carola, M",Carola,M,,,Carola M
"Caroline, Luise",Caroline,Luise,,,Caroline Luise
"Cartheuser, Maximiliane",Cartheuser,Maximiliane,,,Cartheuser Maximiliane
"Caspari, Johanna",Caspari,Johanna,,,Caspari Johanna
"Castell, Henriette",Castell,Henriette,,,Castell Henriette
"Castner, Frl. Dr. Elvira",Castner,Elvira,Dr. Frl.,,Castner Elvira
"Castner, Elvira",Castner,Elvira,,,Castner Elvira
"Cauer, Frau Minna",Cauer,Minna,Frau,,Cauer Minna
"Cauwer-Mattick, Heloise de",Cauwer-Mattick,Heloise,,de,Cauwer-Mattick Heloise
"Cellaria, Mary",Cellaria,Mary,,,Cellaria Mary
"Chalupka, Frl. Emma",Chalupka,Emma,Frl.,,Chalupka Emma
"Chamney, Sophia",Chamney,Sophia,,,Chamney Sophia
"Chapell, Jenny",Chapell,Jenny,,,Chapell Jenny
"Chapelle, Mathilde de la",Chapelle,Mathilde,,de la,Chapelle Mathilde
Charaden,Charaden,,,,Charaden 
"Charisius, Frau Magdalena",Charisius,Magdalena,Frau,,Charisius Magdalena
"Charles, Emmy",Charles,Emmy,,,Charles Emmy
"Charlesworth, Maria Louisa",Charlesworth,Louisa Maria,,,Charlesworth Louisa Maria
Charlotte v. Russland,Charlotte v. Russland,,,,Charlotte v. Russland 
"Chevallerie, Frau A. de la",Chevallerie,de A. la,Frau,,Chevallerie de A. la
"Chezy, Helmina v",Chezy,Helmina,,v,Chezy Helmina
"Chezy, Wilh. v",Chezy,Wilh.,,v,Chezy Wilh.
"Chiger, Pauline",Chiger,Pauline,,,Chiger Pauline
"Chirol, Valentine",Chirol,Valentine,,,Chirol Valentine
"Christ, Jean",Christ,Jean,,,Christ Jean
"Christ, Frl. Sophie",Christ,Sophie,Frl.,,Christ Sophie
"Christen, Ada",Christen,Ada,,,Christen Ada
"Christine, Fürstin zu Lippe",Christine,,Fürstin Lippe zu,,Christine 
"Christine, Tante",Christine,Tante,,,Christine Tante
"Cichra, Emma",Cichra,Emma,,,Cichra Emma
"Ciotta, Natalie V",Ciotta,Natalie V,,,Ciotta Natalie V
"Chys, Frl. Julienne van der",Chys,Julienne,Frl.,van der,Chys Julienne
Clarissa,Clarissa,,,,Clarissa 
"Clark, Frl. Julie",Clark,Julie,Frl.,,Clark Julie
"Clarmann, Thora",Clarmann,Thora,,,Clarmann Thora
"Clasen-Schmid, Frau Mathilde",Clasen-Schmid,Mathilde,Frau,,Clasen-Schmid Mathilde
"Claudius, Clementine",Claudius,Clementine,,,Claudius Clementine
"Claudius, Martin",Claudius,Martin,,,Claudius Martin
"Claudius, Martin",Claudius,Martin,,,Claudius Martin
"Claud-Saar, Frau Anna",Claud-Saar,Anna,Frau,,Claud-Saar Anna
"Clausberg, Amalie v",Clausberg,Amalie,,v,Clausberg Amalie
"Clausius, Sabine",Clausius,Sabine,,,Clausius Sabine
"Clausnitzer-Hennes, M",Clausnitzer-Hennes,M,,,Clausnitzer-Hennes M
"Claussen, Anna",Claussen,Anna,,,Claussen Anna
"Clemen, Adele",Clemen,Adele,,,Clemen Adele
"Clemens, Gabriele",Clemens,Gabriele,,,Clemens Gabriele
"Clément, Frl. Bertha",Clément,Bertha,Frl.,,Clément Bertha
"Clima, Marie",Clima,Marie,,,Clima Marie
"Coellen, Frl. Marie",Coellen,Marie,Frl.,,Coellen Marie
"Cohn, Clara",Cohn,Clara,,,Cohn Clara
"Cohn, Frl. Clementine",Cohn,Clementine,Frl.,,Cohn Clementine
"Cohn, Sarah",Cohn,Sarah,,,Cohn Sarah
"Coester, Mathilde",Coester,Mathilde,,,Coester Mathilde
"Colomb, Marie v",Colomb,Marie,,v,Colomb Marie
"Commer, Frl. Clara",Commer,Clara,Frl.,,Commer Clara
Congress,Congress,,,,Congress 
"Conrad-Ramlo, Frau Marie",Conrad-Ramlo,Marie,Frau,,Conrad-Ramlo Marie
"Conradi, Johanna",Conradi,Johanna,,,Conradi Johanna
"Conring, Frl. Ida v",Conring,Ida,Frl.,v,Conring Ida
Constance,Constance,,,,Constance 
"Conwentz, Anna",Conwentz,Anna,,,Conwentz Anna
"Cooper, Frl. Luise",Cooper,Luise,Frl.,,Cooper Luise
"Čop-Marlet, Mara",Čop-Marlet,Mara,,,Čop-Marlet Mara
Cordelia,Cordelia,,,,Cordelia 
"Cornelia, Helene",Cornelia,Helene,,,Cornelia Helene
"Cornelius, Auguste",Cornelius,Auguste,,,Cornelius Auguste
"Cornelius, C",Cornelius,C,,,Cornelius C
"Corony, Frl. Blanda",Corony,Blanda,Frl.,,Corony Blanda
"Corvus, M",Corvus,M,,,Corvus M
"Cosel, Charlotte v",Cosel,Charlotte,,v,Cosel Charlotte
"Cosmar, A",Cosmar,A,,,Cosmar A
"Cosmar, A",Cosmar,A,,,Cosmar A
"Cossart, Frau Anna v",Cossart,Anna,Frau,v,Cossart Anna
"Cotta, Johanne",Cotta,Johanne,,,Cotta Johanne
"Coudenhove, Anna Maria Gräfin",Coudenhove,Anna Maria,Gräfin,,Coudenhove Anna Maria
"Cramm, Helga v",Cramm,Helga,,v,Cramm Helga
"Cranz, Frau Decan",Cranz,Decan,Frau,,Cranz Decan
"Crepaz, Frau Adele",Crepaz,Adele,Frau,,Crepaz Adele
"Cressieux, C",Cressieux,C,,,Cressieux C
"Creszenzia, Amalia",Creszenzia,Amalia,,,Creszenzia Amalia
"Croissant-Rust, Frau Anna",Croissant-Rust,Anna,Frau,,Croissant-Rust Anna
"Crome, Johanna",Crome,Johanna,,,Crome Johanna
"Cron, Clara",Cron,Clara,,,Cron Clara
"Cron, Clara",Cron,Clara,,,Cron Clara
"Crone, Cilli",Crone,Cilli,,,Crone Cilli
"Croon-Mayer, Frau Emma",Croon-Mayer,Emma,Frau,,Croon-Mayer Emma
"Crusius, Henriette",Crusius,Henriette,,,Crusius Henriette
"Cserhalmi-Gerö, Frau Irene H",Cserhalmi-Gerö,Irene H,Frau,,Cserhalmi-Gerö Irene H
"Cuba, Henriette de",Cuba,Henriette,,de,Cuba Henriette
"Cubäus, Olga",Cubäus,Olga,,,Cubäus Olga
"Cuno, Emma",Cuno,Emma,,,Cuno Emma
"Cuno, Louise",Cuno,Louise,,,Cuno Louise
"Cyré, Frau Auguste",Cyré,Auguste,Frau,,Cyré Auguste
"Czajkowska, C. v",Czajkowska,C.,,v,Czajkowska C.
"Czermak, Frl. Johanna",Czermak,Johanna,Frl.,,Czermak Johanna
"Czerska, Anna",Czerska,Anna,,,Czerska Anna
Czigler von Eny-Vecse,Czigler von Eny-Vecse,,,,Czigler von Eny-Vecse 
"Dachs, Milly",Dachs,Milly,,,Dachs Milly
"Dahlström, Maria",Dahlström,Maria,,,Dahlström Maria
"Dahm, A",Dahm,A,,,Dahm A
"Dahn, Ther",Dahn,Ther,,,Dahn Ther
"Dahnow, M",Dahnow,M,,,Dahnow M
"Dahnow, M",Dahnow,M,,,Dahnow M
"Daisenberger, Maria Katharina",Daisenberger,Katharina Maria,,,Daisenberger Katharina Maria
"Dalberg, Maria Feodora, Freifrau v",Dalberg,Maria Feodora,Freifrau,v,Dalberg Maria Feodora
